,ident_men,w1,w2,w3,p1,p2,p3,depenses_par_uc,depenses_tot,typmen,fumeur,strate,dip14pr,agepr,situapr,situacj,stalog,nenfants,nactifs,rural,petite_villes,villes_moyennes,grandes_villes,agglo_paris
0,0,0.0,0.09641714478828466,0.9035828552117153,135.9,117.459555265,113.293218747,36904.639920552574,55356.95988082886,3,0,4,20,50,4,1,3,0,2,0,0,0,0,0
1,1,0.04714003806047707,0.11998880367935341,0.8328711582601696,135.9,115.227218841,113.102034394,34471.75833662351,82732.22000789642,4,0,4,20,37,1,1,1,3,2,0,0,0,0,0
2,2,0.0,0.010107782681880919,0.989892217318119,135.9,116.063359813,111.454889048,19081.00666300456,28621.509994506836,5,1,4,20,26,1,0,4,0,2,0,0,0,0,0
3,3,0.0,0.1623386623175644,0.8376613376824357,135.9,117.137093738,120.029618893,21532.640102386475,21532.640102386475,1,1,4,41,61,5,0,1,0,0,0,0,0,0,0
4,4,0.01220708858809319,0.10013099053253215,0.8876619208793747,135.9,117.557119421,110.716984866,19879.159958203632,29818.73993730545,3,0,4,41,33,1,3,3,0,1,0,0,0,0,0
5,5,0.0,0.06270170837267684,0.9372982916273231,135.9,115.667481798,110.257302975,20283.01996231079,20283.01996231079,1,0,4,20,49,1,0,2,0,1,0,0,0,0,0
6,6,0.016816325934891217,0.08290332597356073,0.9002803480915481,135.9,119.419149943,112.484589841,61195.29323641459,91792.93985462189,3,0,4,20,70,5,6,1,0,0,0,0,0,0,0
7,7,0.0,0.28349076866067535,0.7165092313393246,135.9,116.38158669,113.687435337,13565.380007743835,27130.76001548767,4,1,4,70,54,1,5,5,1,2,0,0,0,0,0
8,8,0.05497096214527707,0.16141185888884124,0.7836171789658817,135.9,117.474872631,114.185885832,47669.773012797035,71504.65951919556,3,0,4,20,69,5,5,1,0,0,0,0,0,0,0
9,9,0.0,0.08574255232218084,0.9142574476778191,135.9,113.970077478,112.953274471,23747.213337580364,35620.820006370544,3,0,4,20,27,1,3,3,0,1,0,0,0,0,0
10,10,0.0,0.11998391417442915,0.8800160858255709,135.9,117.386667262,117.588834484,21832.7599029541,21832.7599029541,1,1,4,20,33,1,0,3,0,1,0,0,0,0,0
11,217,0.017229006420129128,0.1164682225182262,0.8663027710616447,135.9,117.167951393,111.556935255,39688.87994893392,59533.31992340088,3,0,4,41,78,5,5,1,0,0,0,0,0,0,0
12,218,0.0,0.21710004460309612,0.7828999553969038,135.9,117.031394796,110.14991969,13488.620040893555,13488.620040893555,1,0,4,70,85,5,0,3,0,0,0,0,0,0,0
13,219,0.01646319152207972,0.06046131051993293,0.9230754979579874,135.9,114.304952229,110.197364718,18003.799790064495,27005.69968509674,3,1,4,41,26,3,3,3,0,0,0,0,0,0,0
14,220,0.0,0.08826033292804214,0.9117396670719579,135.9,114.911837703,111.973887618,23908.81540445181,31081.460025787354,2,0,4,20,32,1,0,2,1,1,0,0,0,0,0
15,221,0.0,0.11463255515213318,0.8853674448478668,135.9,116.179612255,113.439858897,14906.7599995931,22360.13999938965,3,1,4,42,59,1,4,3,0,2,0,0,0,0,0
16,222,0.055348017451250876,0.25246029916981017,0.692191683378939,135.9,116.695984129,109.137856678,15838.908700113712,36429.490010261536,4,1,4,71,59,1,1,5,2,2,0,0,0,0,0
17,223,0.0,0.17153729214167843,0.8284627078583215,135.9,117.759976763,110.842692586,20950.079986572266,31425.1199798584,3,0,4,20,73,5,5,3,0,0,0,0,0,0,0
18,224,0.0,0.09945887621927196,0.900541123780728,135.9,118.729638947,106.37224185,7818.909989356995,15637.81997871399,5,0,4,20,57,1,0,3,1,2,0,0,0,0,0
19,225,0.0,0.19442788967380398,0.805572110326196,135.9,120.301517696,110.145429698,20536.560056050617,30804.840084075928,3,0,4,60,85,5,5,3,0,0,0,0,0,0,0
20,226,0.04608923687558766,0.04043283098257704,0.9134779321418353,135.9,116.83792752,113.44549378,37232.12004208565,37232.12004208565,1,1,4,20,39,1,0,3,0,1,0,0,0,0,0
21,227,0.0,0.12237948788109546,0.8776205121189046,135.9,115.38664339,113.590321151,23159.599994659424,23159.599994659424,1,0,4,20,36,1,0,1,0,1,0,0,0,0,0
22,228,0.021870773572798142,0.16613936991171654,0.8119898565154853,135.9,117.498032133,114.986196567,22926.878638267517,64195.26018714905,4,0,4,20,51,1,6,3,3,1,0,0,0,0,0
23,229,0.0,0.20202977946441947,0.7979702205355805,135.9,116.934426482,113.301334976,24850.00002161662,37275.00003242493,3,0,4,41,76,5,6,3,0,0,0,0,0,0,0
24,230,0.0,0.10026542940031678,0.8997345705996832,135.9,119.314602727,115.558770882,53166.67999744415,53166.67999744415,1,0,4,41,69,5,0,3,0,0,0,0,0,0,0
25,231,0.0,0.1862720697895862,0.8137279302104138,135.9,117.307757192,111.225544907,14407.02665901184,21610.53998851776,2,0,4,41,51,1,0,3,1,2,0,0,0,0,0
26,232,0.0,0.20954921456929798,0.790450785430702,135.9,115.365728599,106.052883567,29745.119903564453,44617.67985534668,2,0,4,20,43,4,0,2,1,1,0,0,0,0,0
27,233,0.0,0.24507286514511145,0.7549271348548885,135.9,117.424948481,114.342046487,7726.60000038147,7726.60000038147,1,0,4,20,55,1,0,3,0,1,0,0,0,0,0
28,234,0.0,0.11122684047929529,0.8887731595207047,135.9,118.258632952,111.174347823,41841.24994659424,83682.49989318848,4,0,4,20,67,5,1,2,1,1,0,0,0,0,0
29,235,0.0,0.03716053569432201,0.962839464305678,135.9,115.991847102,112.852977099,22312.38000679016,22312.38000679016,1,1,4,20,40,1,0,3,0,1,0,0,0,0,0
30,236,0.0,0.21459036884727115,0.7854096311527289,135.9,117.752163443,114.158972151,27710.992080688477,69277.48020172119,2,0,4,20,60,1,0,3,3,1,0,0,0,0,0
31,237,0.0,0.12480322198690733,0.8751967780130927,135.9,116.431862259,112.541732098,18882.3250134786,45317.58003234863,4,0,4,20,43,1,6,3,3,1,0,0,0,0,0
32,238,0.0,0.09628184198248588,0.9037181580175141,135.9,118.447905183,116.956269525,40163.61334609985,60245.42001914978,5,0,4,20,90,5,0,1,0,1,0,0,0,0,0
33,309,0.0773889019702621,0.17444219183356888,0.748168906196169,135.9,116.445084483,111.672673277,25113.42001914978,25113.42001914978,1,0,4,70,39,1,0,3,0,1,0,0,0,0,0
34,310,0.07310736867926168,0.0720743300305085,0.8548183012902298,135.9,119.985402483,112.580043485,10224.687517881393,16359.50002861023,2,0,4,31,29,1,0,3,2,1,0,0,0,0,0
35,311,0.02485390055196905,0.21177690206189287,0.7633691973861381,135.9,115.770188793,111.473256654,19671.914428529286,41311.0202999115,4,1,4,60,39,1,1,3,2,2,0,0,0,0,0
36,312,0.036168563994733505,0.249986383738823,0.7138450522664435,135.9,115.984435054,114.501063394,11506.493315696716,17259.739973545074,3,0,4,71,72,5,5,3,0,0,0,0,0,0,0
37,314,0.0,0.3904037389544061,0.609596261045594,135.9,119.228961162,110.088081638,11112.843465390413,25559.53997039795,4,0,4,71,78,5,6,3,2,0,0,0,0,0,0
38,315,0.09139014475071264,0.13419989826037929,0.7744099569889081,135.9,117.50365793,114.674286223,13276.413300832113,19914.61995124817,3,0,4,50,39,1,6,2,0,1,0,0,0,0,0
39,316,0.0,0.15610509753685295,0.843894902463147,135.9,117.280059479,109.489733442,11724.899994333586,28139.759986400604,4,0,4,41,52,1,1,3,3,2,0,0,0,0,0
40,317,0.0,0.15236264566685964,0.8476373543331404,135.9,115.540742612,117.844587649,11998.207161426544,33594.980051994324,5,1,4,71,20,1,0,3,2,2,0,0,0,0,0
41,318,0.0,0.08420561558118969,0.9157943844188103,135.9,115.052475579,115.803557108,39950.77984666824,39950.77984666824,1,1,4,20,31,1,0,3,0,1,0,0,0,0,0
42,319,0.0,0.03486020035891024,0.9651397996410898,135.9,116.58542087,109.535738814,37482.859828948975,37482.859828948975,1,1,4,41,29,1,0,3,0,1,0,0,0,0,0
43,320,0.0,0.09212113705798523,0.9078788629420148,135.9,115.480760685,113.385322978,21667.339945793152,21667.339945793152,1,1,4,31,22,3,0,3,0,0,0,0,0,0,0
44,321,0.0,0.1068313269531475,0.8931686730468525,135.9,121.243127545,113.144844062,22549.93999481201,22549.93999481201,1,0,4,20,34,1,0,2,0,1,0,0,0,0,0
45,322,0.0,0.08512011996963048,0.9148798800303696,135.9,116.395185173,110.273929605,19422.20000553131,19422.20000553131,1,0,4,41,38,1,0,2,0,1,0,0,0,0,0
46,323,0.0,0.06996556422655897,0.930034435773441,135.9,114.056430486,109.726675482,27767.659967422485,27767.659967422485,1,0,4,20,37,1,0,3,0,1,0,0,0,0,0
47,324,0.0,0.15006952767566323,0.8499304723243367,135.9,118.420995114,112.663327674,13807.600048065186,13807.600048065186,1,0,4,50,55,1,0,1,0,1,0,0,0,0,0
48,325,0.0,0.04989829091277777,0.9501017090872222,135.9,115.568842211,112.403703245,16606.18004322052,16606.18004322052,1,0,4,20,58,4,0,3,0,1,0,0,0,0,0
49,344,0.0,0.1495354717147626,0.8504645282852373,135.9,116.903676201,111.383793555,16190.13847204355,21047.180013656616,2,1,4,31,39,1,0,3,1,1,0,0,0,0,0
50,345,0.0,0.1535595419483778,0.8464404580516222,135.9,116.990910012,113.190274048,9811.774956583977,23548.259895801544,4,1,4,50,39,1,6,3,3,1,0,0,0,0,0
51,476,0.06286593722943573,0.23281614012795387,0.7043179226426104,135.9,116.183423903,108.963507725,22057.519982655842,33086.279973983765,3,1,4,20,27,1,1,3,0,2,0,0,0,0,0
52,478,0.0,0.4054024081364026,0.5945975918635974,135.9,117.585106359,114.403275598,10640.440000534058,10640.440000534058,1,0,4,50,72,5,0,3,0,0,0,0,0,0,0
53,479,0.05454878911365727,0.15065919924712584,0.7947920116392169,135.9,115.47297356,112.119310721,37344.54987335205,74689.0997467041,4,0,4,20,71,5,6,1,1,1,0,0,0,0,0
54,480,0.0489947959094213,0.1175817291051107,0.833423474985468,135.9,115.055930114,109.332722297,27680.685616447812,58129.439794540405,4,0,4,33,37,1,1,2,2,2,0,0,0,0,0
55,481,0.0,0.08286652635977733,0.9171334736402227,135.9,117.411672769,112.988202923,27972.533479054768,41958.80021858215,3,0,4,60,63,5,1,1,0,1,0,0,0,0,0
56,482,0.03548465570427425,0.14726982322647883,0.817245521069247,135.9,115.227196224,112.760983328,25484.25384888282,66259.06000709534,4,0,4,20,45,1,1,2,3,2,0,0,0,0,0
57,483,0.06480532608214885,0.20703832364867447,0.7281563502691767,135.9,114.776580708,109.90353599,16147.026692708334,24220.5400390625,3,0,4,50,57,1,1,3,0,2,0,0,0,0,0
58,484,0.0,0.39030090459141376,0.6096990954085862,135.9,117.323187773,109.318169476,17246.69335110982,25870.040026664734,3,0,4,50,81,5,6,1,0,0,0,0,0,0,0
59,485,0.0,0.155238090843251,0.844761909156749,135.9,116.250009109,114.914960972,18460.1600151062,18460.1600151062,1,0,4,70,79,5,0,1,0,0,0,0,0,0,0
60,486,0.06622466829630985,0.13745935392922054,0.7963159777744696,135.9,116.213107449,113.887152633,17760.60955002194,37297.28005504608,4,0,4,60,40,1,1,3,2,2,0,0,0,0,0
61,487,0.03109194629254725,0.2173629513486988,0.7515451023587539,135.9,115.768184305,110.4597124,14215.900022506714,28431.800045013428,4,0,4,50,46,1,1,2,1,2,0,0,0,0,0
62,488,0.06612234151916484,0.26067500267594235,0.6732026558048928,135.9,115.532605539,108.605491445,13019.199949264526,13019.199949264526,1,0,4,71,69,1,0,1,0,1,0,0,0,0,0
63,489,0.0,0.04920230230098516,0.9507976976990148,135.9,114.569179921,113.014062735,31959.48008441925,31959.48008441925,1,1,4,20,34,1,0,3,0,1,0,0,0,0,0
64,490,0.0184889414871288,0.08356527410298778,0.8979457844098834,135.9,117.721432428,112.780312595,16225.91537805704,42187.3799829483,4,0,4,20,43,1,4,1,3,2,0,0,0,0,0
65,491,0.0936777566063636,0.20284191230659565,0.7034803310870408,135.9,117.817384855,109.268538014,9815.920013427734,14723.880020141602,3,0,4,71,56,1,5,2,0,1,0,0,0,0,0
66,492,0.0,0.19090684451730752,0.8090931554826924,135.9,117.316714712,112.732049463,19096.966683864594,45832.720041275024,4,0,4,20,35,1,4,2,3,2,0,0,0,0,0
67,493,0.013012448625821512,0.21349090681551025,0.7734966445586682,135.9,115.684404711,111.392500424,16650.72215822008,29971.299884796143,4,0,4,20,35,1,1,2,1,2,0,0,0,0,0
68,494,0.0,0.22907403943257365,0.7709259605674263,135.9,116.180706435,111.460339492,6747.599987030029,6747.599987030029,1,0,4,70,84,5,0,1,0,0,0,0,0,0,0
69,495,0.027757271898047352,0.10160073786552119,0.8706419902364314,135.9,117.752485396,107.430282815,24897.260063171387,24897.260063171387,1,0,4,31,39,1,0,2,0,1,0,0,0,0,0
70,496,0.0,0.1827406481816281,0.8172593518183718,135.9,115.020452612,114.55539395,6622.573345820109,9933.860018730164,3,0,4,71,28,4,6,3,0,1,0,0,0,0,0
71,497,0.01979917524876455,0.16659071961635824,0.8136101051348772,135.9,116.449040206,110.669695498,34029.02671178182,51043.54006767273,3,0,4,50,75,5,5,1,0,0,0,0,0,0,0
72,565,0.0,0.2259141266145288,0.7740858733854712,135.9,117.640198102,113.361204394,20917.239881515503,20917.239881515503,1,0,4,60,76,5,0,3,0,0,0,0,0,0,0
73,566,0.05516320549044372,0.06044953760582897,0.8843872569037273,135.9,118.37838423,109.2771312,23566.43324915568,35349.64987373352,3,1,4,20,27,1,1,3,0,2,0,0,0,0,0
74,567,0.012539291738320774,0.17538835379461365,0.8120723544670656,135.9,116.413671673,108.687196791,19291.680021047592,48229.20005261898,4,0,4,20,42,1,1,5,2,2,0,0,0,0,0
75,568,0.05262326975266469,0.13955680029980105,0.8078199299475343,135.9,117.496273511,112.57036728,47978.266774495445,71967.40016174316,3,0,4,20,71,5,5,1,0,0,0,0,0,0,0
76,569,0.0,0.11832555476284197,0.881674445237158,135.9,118.363092313,111.272395901,19129.764291763306,19129.764291763306,1,0,4,31,79,5,0,1,0,0,0,0,0,0,0
77,570,0.0,0.12431651375523953,0.8756834862447604,135.9,116.77754198,110.265072395,30051.840005874634,30051.840005874634,1,0,4,50,62,5,0,1,0,0,0,0,0,0,0
78,571,0.031938372574063546,0.04171525939340094,0.9263463680325356,135.9,114.358415018,117.044353131,30860.923421042306,64807.93918418884,4,0,4,20,41,1,1,2,2,2,0,0,0,0,0
79,572,0.001387288112596972,0.1547582402313384,0.8438544716560646,135.9,118.435067923,107.380883556,30548.810072898865,61097.62014579773,2,0,4,31,56,1,0,1,2,1,0,0,0,0,0
80,573,0.058204959430701975,0.13862222672009467,0.8031728138492034,135.9,115.164486408,112.554701995,27184.212007141112,67960.53001785278,4,0,4,20,47,1,1,2,2,2,0,0,0,0,0
81,574,0.0,0.2054333397697303,0.7945666602302697,135.9,114.616339047,112.106680849,7941.447620391846,16677.040002822876,4,0,4,71,33,1,4,3,2,2,0,0,0,0,0
82,575,0.047291826180480334,0.07284259686923768,0.879865576950282,135.9,116.011118288,114.934635873,40492.97327486674,60739.45991230011,3,0,4,20,60,1,1,1,0,2,0,0,0,0,0
83,576,0.0,0.1443457410592445,0.8556542589407555,135.9,115.527347713,110.273619636,30154.913537979126,45232.37030696869,3,0,4,31,73,5,5,1,0,0,0,0,0,0,0
84,577,0.054032146124062444,0.18794935113093295,0.7580185027450046,135.9,117.793279162,108.930747178,22732.45415210724,54557.88996505737,4,0,4,20,44,1,6,3,3,1,0,0,0,0,0
85,578,0.06227845118980166,0.24527558764275056,0.6924459611674478,135.9,115.302107743,114.638443479,12509.485685825348,35026.559920310974,4,1,4,60,52,1,6,3,3,1,0,0,0,0,0
86,665,0.05243846940366687,0.13543807782792372,0.8121234527684094,135.9,116.713737051,111.581499255,19069.96926821195,24790.960048675537,2,0,4,31,45,1,0,2,1,1,0,0,0,0,0
87,666,0.0,0.07138118710291771,0.9286188128970823,135.9,115.395410934,115.73622727,15556.759999275208,15556.759999275208,1,0,4,71,75,5,0,3,0,0,0,0,0,0,0
88,667,0.0980249870804624,0.14849204305533104,0.7534829698642066,135.9,113.358759232,120.413128394,16444.78666114807,24667.179991722107,3,1,4,60,37,1,1,5,0,2,0,0,0,0,0
89,668,0.024110125639081312,0.08359199710771947,0.8922978772531992,135.9,115.577413579,112.407502447,23724.47197341919,59311.17993354797,4,0,4,20,52,1,1,2,2,2,0,0,0,0,0
90,669,0.0,0.10389531778082033,0.8961046822191797,135.9,116.654031331,112.472321774,30759.230012893677,30759.230012893677,1,0,4,20,44,1,0,3,0,1,0,0,0,0,0
91,670,0.0,0.010030497979832456,0.9899695020201675,135.9,114.1,113.932463795,10800.39431254069,19440.709762573242,4,0,4,43,32,1,4,3,1,2,0,0,0,0,0
92,671,0.0,0.08483546550344863,0.9151645344965513,135.9,117.662897645,105.967385863,28134.460032463074,28134.460032463074,1,0,4,20,27,1,0,5,0,1,0,0,0,0,0
93,672,0.012323532331686385,0.10105296516237183,0.8866235025059418,135.9,117.762876573,110.685951992,19925.744416978625,35866.33995056152,4,0,4,20,35,1,4,2,1,2,0,0,0,0,0
94,673,0.0,0.10276750000846896,0.897232499991531,135.9,112.634642017,119.661679672,14628.36001777649,14628.36001777649,1,1,4,20,44,1,0,1,0,1,0,0,0,0,0
95,674,0.02821498937737157,0.04693959472062898,0.9248454159019994,135.9,116.060508439,120.74311061,55486.347745895386,83229.52161884308,3,0,4,43,54,1,1,2,0,2,0,0,0,0,0
96,675,0.0,0.11815016236515113,0.8818498376348488,135.9,115.803672321,112.824699747,23370.260021209717,23370.260021209717,1,0,4,31,35,1,0,2,0,1,0,0,0,0,0
97,676,0.10613725332577657,0.08619670232885682,0.8076660443453666,135.9,119.165587355,114.808852887,22536.85605239868,33805.28407859802,3,1,4,20,50,1,1,3,0,2,0,0,0,0,0
98,677,0.0,0.1335496652099404,0.8664503347900596,135.9,117.370557824,108.942608257,39476.10031890869,39476.10031890869,1,1,4,70,61,5,0,1,0,0,0,0,0,0,0
99,678,0.01771267415086175,0.04965262564982431,0.9326347001993139,135.9,119.229988535,113.17707916,30336.093170166016,45504.13975524902,3,1,4,20,33,1,1,2,0,2,0,0,0,0,0
100,679,0.010794013156012944,0.09315578096703206,0.896050205876955,135.9,116.897861749,115.310430706,30458.549962997437,60917.09992599487,4,0,4,20,64,1,5,1,1,1,0,0,0,0,0
