,ident_men,ocde10,vag,typmen,revtot,fumeur,p1,p10,p11,p12,p2,p3,p4,p5,p6,p7,p8,p9,depenses_reelles,temps,mois,mois2,w1,w10,w11,w12,w2,w3,w4,w5,w6,w7,w8,w9
11,0.0,1.5,18.0,3.0,105050.0,0.0,117.459555265,115.2,121.8,108.57387218,109.4,103.024154149,114.105279915,118.893350217,97.0,110.85859937,88.4901421402,119.113494942,64762.0818638,89.0,5.0,25.0,0.0688462119679,0.0,0.0803886653391,0.0270285831431,0.00149988530928,0.00772206688047,0.485261722345,0.107722552045,0.0303207580096,0.0924074226482,0.019585356964,0.0792167753486
23,1.0,2.4,18.0,4.0,161200.0,0.0,115.22721884,115.2,120.304354073,119.091787992,143.4,104.917008676,116.416233581,114.233277769,97.0,119.625993827,88.3970876299,117.607535701,61121.8419654,89.0,5.0,25.0,0.0847956040573,0.0,0.162012623486,0.175093662434,0.0,0.0436217185113,0.226001920451,0.110725399439,0.00287438458762,0.108100986722,0.0232112341454,0.0635624661666
35,2.0,1.5,18.0,5.0,49991.0,1.0,116.063359813,115.2,121.8,107.7,126.322883326,103.174157304,113.629020251,107.7,103.9,117.119882468,88.3000000004,108.71713399,31698.5943061,89.0,5.0,25.0,0.00762399824635,0.0,0.0304328346912,0.00386650630554,0.0153699490449,0.049487328337,0.636044192071,0.0,0.0,0.111181990598,0.0302719618223,0.115721238885
47,3.0,1.0,18.0,1.0,22449.0,1.0,117.137093738,115.2,121.8,119.018204082,177.4,104.1,114.281013363,109.394515267,117.1,117.4,88.3,112.232796342,34636.3389826,89.0,5.0,25.0,0.126459912046,0.0,0.061212942379,0.0436383000701,0.105828099207,0.0,0.432359543973,0.0203198008614,0.0243472864405,0.0274685245513,0.0362417510748,0.122123839396
59,4.0,1.5,18.0,3.0,32131.0,0.0,117.557119422,115.2,117.739364435,115.229093749,143.4,104.423076923,113.857956205,102.205062682,103.9,116.157410297,88.3670981732,125.684659318,33682.2659985,89.0,5.0,25.0,0.0740509870142,0.0169900808024,0.18147019331,0.0793237471716,0.0,0.0299322064997,0.339148550327,0.046767461048,0.0,0.06569093375,0.0465490889515,0.120076751124
71,5.0,1.0,18.0,1.0,33865.0,0.0,115.667481798,115.2,114.312656365,115.426993865,143.4,102.5,113.450257954,101.356948427,97.3632092627,116.173248916,88.3,128.095265495,38295.3006107,89.0,5.0,25.0,0.0416132965149,0.0,0.133050527737,0.0105035433953,0.0,0.0224282266535,0.50644807713,0.0468751233447,0.0609321089441,0.0341664397371,0.00854227739334,0.135440379149
83,6.0,1.5,18.0,3.0,75595.0,0.0,119.419149943,115.2,121.925117296,110.514291038,103.853333333,102.939581909,115.141673732,103.193974813,97.0,117.230115205,88.3214252264,118.944953112,102241.485643,89.0,5.0,25.0,0.0621768097728,0.0,0.10941954233,0.128159957953,0.00672213295129,0.0588258623396,0.336694356184,0.0495924279268,0.00364567248989,0.180026539772,0.0151858837136,0.0495508145674
95,7.0,2.0,18.0,4.0,54564.0,1.0,116.38158669,115.2,121.8,108.570775099,167.503240209,103.513513514,112.600159952,112.2,111.667567568,116.227027027,88.3,124.570027752,21526.0771811,89.0,5.0,25.0,0.223857477006,0.0,0.00522515273116,0.0789936464424,0.0591196923805,0.036354826992,0.484335260777,0.00320231881111,0.0241583977396,0.0222493232415,0.0349528099909,0.0275510938884
107,8.0,1.5,18.0,3.0,72647.0,0.0,117.474872631,115.2,121.905965421,118.736157509,143.4,105.790960452,112.50804653,115.82396854,97.0,115.112623087,88.4113217113,119.101354745,78051.433076,89.0,5.0,25.0,0.12352738671,0.0,0.118465635526,0.0639554010345,0.0,0.0479642475996,0.221937582056,0.0495381735295,0.00548624699245,0.301425200465,0.0110070196895,0.0566931063975
119,9.0,1.5,18.0,3.0,53589.0,0.0,113.970077478,115.2,119.091278635,105.426960218,143.4,102.5,113.861290323,98.1902162631,97.0,115.043787134,88.4068292318,121.271875,46425.6872833,89.0,5.0,25.0,0.0549561539392,0.0565989998175,0.198004577804,0.0484480343975,0.0,0.0254999572681,0.523361660706,0.00530101973426,0.00605484388641,0.0325511341868,0.00888710021062,0.0403365180484
131,10.0,1.0,18.0,1.0,14117.0,1.0,117.386667262,115.2,120.304126528,120.113114526,160.830435714,107.900823558,113.426315789,107.513942719,97.0,117.4,88.3,106.119337088,35355.1296179,89.0,5.0,25.0,0.0928420759633,0.0,0.184385742707,0.0198623391079,0.125526386328,0.0496386632072,0.403287142143,0.00352339385493,0.00361759758188,0.0358800976639,0.0668313605094,0.0146052009341
143,217.0,1.5,18.0,3.0,72111.0,0.0,117.167951393,115.2,114.663818692,114.623306233,111.059614013,102.5,116.23957675,109.928875065,97.0,122.504356962,88.8882984785,119.720605493,66017.5343978,89.0,5.0,25.0,0.0877369639949,0.0,0.0471937351704,0.0689653242987,0.026132870841,0.00800951021363,0.439658447532,0.0966641541439,0.038164416361,0.0416997747358,0.0176763554321,0.128098447277
155,218.0,1.0,18.0,1.0,9481.0,0.0,117.031394797,115.2,118.8,120.97087111,143.4,104.1,111.582202383,106.0,117.1,111.2,88.3,124.014726028,21765.1222725,89.0,5.0,25.0,0.16859004819,0.0,0.0,0.0844049925871,0.0,0.0,0.527615613641,0.0939839117707,0.0154982059076,0.00713674384816,0.0438875051387,0.058882978917
167,219.0,1.5,18.0,3.0,10900.0,1.0,114.304952229,115.2,122.495608979,114.524716419,159.360667011,104.1,112.962857297,108.739066599,103.9,116.264152727,88.2999999999,122.941850134,41159.8960503,89.0,5.0,25.0,0.0331385173727,0.208551700504,0.0488877384444,0.0197676914268,0.0173583197165,0.0,0.489963875907,0.00213167792677,0.0,0.0502050524968,0.0859237905096,0.044071635696
179,220.0,1.3,18.0,2.0,37067.0,0.0,114.911837703,115.2,117.338064865,117.106787801,143.4,102.956988203,113.066847499,120.451719122,103.9,115.681927711,88.6799949933,116.899507753,49042.966884,89.0,5.0,25.0,0.0539153584833,0.0,0.132737179195,0.0523806538546,0.0,0.0498992370642,0.488179474747,0.0225107094462,0.0,0.0168514772904,0.0136449467312,0.169880963188
