,posteCOICOP,annee,description,categoriefiscale,supplementaire
0,111,1994,Pain et céréales,2,0
1,111,1995,Pain et céréales,2,0
2,111,1996,Pain et céréales,2,0
3,111,1997,Pain et céréales,2,0
4,111,1998,Pain et céréales,2,0
5,111,1999,Pain et céréales,2,0
6,111,2000,Pain et céréales,2,0
7,111,2001,Pain et céréales,2,0
8,111,2002,Pain et céréales,2,0
9,111,2003,Pain et céréales,2,0
10,111,2004,Pain et céréales,2,0
11,111,2005,Pain et céréales,2,0
12,111,2006,Pain et céréales,2,0
13,111,2007,Pain et céréales,2,0
14,111,2008,Pain et céréales,2,0
15,111,2009,Pain et céréales,2,0
16,111,2010,Pain et céréales,2,0
17,111,2011,Pain et céréales,2,0
18,111,2012,Pain et céréales,2,0
19,111,2013,Pain et céréales,2,0
20,111,2014,Pain et céréales,2,0
21,112,1994,Viande,2,0
22,112,1995,Viande,2,0
23,112,1996,Viande,2,0
24,112,1997,Viande,2,0
25,112,1998,Viande,2,0
26,112,1999,Viande,2,0
27,112,2000,Viande,2,0
28,112,2001,Viande,2,0
29,112,2002,Viande,2,0
30,112,2003,Viande,2,0
31,112,2004,Viande,2,0
32,112,2005,Viande,2,0
33,112,2006,Viande,2,0
34,112,2007,Viande,2,0
35,112,2008,Viande,2,0
36,112,2009,Viande,2,0
37,112,2010,Viande,2,0
38,112,2011,Viande,2,0
39,112,2012,Viande,2,0
40,112,2013,Viande,2,0
41,112,2014,Viande,2,0
42,113,1994,Poisson et fruits de mer,2,0
43,113,1995,Poisson et fruits de mer,2,0
44,113,1996,Poisson et fruits de mer,2,0
45,113,1997,Poisson et fruits de mer,2,0
46,113,1998,Poisson et fruits de mer,2,0
47,113,1999,Poisson et fruits de mer,2,0
48,113,2000,Poisson et fruits de mer,2,0
49,113,2001,Poisson et fruits de mer,2,0
50,113,2002,Poisson et fruits de mer,2,0
51,113,2003,Poisson et fruits de mer,2,0
52,113,2004,Poisson et fruits de mer,2,0
53,113,2005,Poisson et fruits de mer,2,0
54,113,2006,Poisson et fruits de mer,2,0
55,113,2007,Poisson et fruits de mer,2,0
56,113,2008,Poisson et fruits de mer,2,0
57,113,2009,Poisson et fruits de mer,2,0
58,113,2010,Poisson et fruits de mer,2,0
59,113,2011,Poisson et fruits de mer,2,0
60,113,2012,Poisson et fruits de mer,2,0
61,113,2013,Poisson et fruits de mer,2,0
62,113,2014,Poisson et fruits de mer,2,0
63,114,1994,"Lait, fromage et œufs",2,0
64,114,1995,"Lait, fromage et œufs",2,0
65,114,1996,"Lait, fromage et œufs",2,0
66,114,1997,"Lait, fromage et œufs",2,0
67,114,1998,"Lait, fromage et œufs",2,0
