,age,revenus,nomk,dm_k,dm_f,budget_share_kf,nomf
0,0,3,11112 : Plat Riz sans viande,2.08675456047,42.8307647705,0.0487209260464,PBD
10,0,3,11132 : Plats pâtes sans viande,10.8891029358,42.8307647705,0.25423553586,PBD
73,0,3,11773 : Plats cuisinés à base de légumes en conserve,5.85190916061,42.8307647705,0.136628642678,PBD
75,0,3,11783 : Plats à base de légumes frais et surgelés,1.28486299515,42.8307647705,0.0299986004829,PBD
80,0,3,11792 : Plat purée non deshydratée,1.35925233364,42.8307647705,0.0317354202271,PBD
94,0,3,11931 : Soupes sans viande,21.3588848114,42.8307647705,0.498680919409,PBD
1,0,3,11111 : Riz,9.71367549896,153.000366211,0.0634879246354,Starch
4,0,3,11121 : Pain et Panification sèche,44.8673706055,153.000366211,0.293250083923,Starch
12,0,3,11131 : Pâtes alimentaires,45.3217277527,153.000366211,0.296219736338,Starch
15,0,3,11151 : Autres céréales,15.5409812927,153.000366211,0.101574800909,Starch
16,0,3,11153 : Barre de céréales,4.82821464539,153.000366211,0.0315568819642,Starch
40,0,3,11442 : Yaourt au soja ,0.0,153.000366211,0.0,Starch
45,0,3,11464 : Laits végétaux,1.66908228397,153.000366211,0.0109090087935,Starch
66,0,3,11732 : Petits Pois et Haricot A Ecosser,0.0320600569248,153.000366211,0.000209542355151,Starch
68,0,3,11751 : Légumes secs ,0.863515019417,153.000366211,0.00564387533814,Starch
70,0,3,"11762 : Petits Pois , Haricot à Ecosser surgelés ",1.1854364872,153.000366211,0.00774793233722,Starch
72,0,3,11772 : Petits Pois et Haricot à ecosser en conserve,2.78771400452,153.000366211,0.0182203091681,Starch
76,0,3,11784 : Steak Soja,1.02407455444,153.000366211,0.00669328169897,Starch
81,0,3,11791 : Pommes de terre et  purée deshydratée,25.166519165,153.000366211,0.164486661553,Starch
2,0,3,11113 : Plat Riz préparé avec de la viande,4.25596523285,246.751525879,0.0172479785979,PrepM
8,0,3,11127 : Biscuits Apéritifs,26.5034484863,246.751525879,0.107409462333,PrepM
11,0,3,11133 : Plats pâtes  avec viande,10.3860235214,246.751525879,0.0420910194516,PrepM
13,0,3,11141 : Plats à base de céréales,80.3567962646,246.751525879,0.325658768415,PrepM
25,0,3,11262 : Plats cuisinés à base de viande,53.9121704102,246.751525879,0.21848769486,PrepM
32,0,3,11342 : Préparations à base de P.D.M,30.9369373322,246.751525879,0.125376880169,PrepM
78,0,3,11782 : Plats gratin : Gratin de légumes,0.452149361372,246.751525879,0.00183240754995,PrepM
79,0,3,11793 : Chips + Gratin Dauphinois,5.82249403,246.751525879,0.0235965885222,PrepM
93,0,3,11932 : Soupes contenant de la viande,2.66414070129,246.751525879,0.0107968561351,PrepM
96,0,3,11941 : Plats sans information sur la composition ,31.4614048004,246.751525879,0.1275023669,PrepM
3,0,3,11124 : Pâtisserie surgelée,13.5511445999,197.259460449,0.0686970576644,PrepD
5,0,3,11122 : Viennoiserie,26.5414829254,197.259460449,0.134551122785,PrepD
6,0,3,11123 : Pâtisseries fraîches,3.57500720024,197.259460449,0.0181233752519,PrepD
7,0,3,11126 : Biscuits secs sucrés et gâteaux industriels,42.8511505127,197.259460449,0.217232421041,PrepD
9,0,3,11125 : Pâtisseries de conservation,17.1803302765,197.259460449,0.0870950892568,PrepD
14,0,3,11142 : Pâte à pâtisser/Pâte à Tarte/Pâte à Garnir,13.0502986908,197.259460449,0.0661580339074,PrepD
37,0,3,11432 : Lait de conserve pour bébé,12.5761489868,197.259460449,0.063754349947,PrepD
44,0,3,11462 : Desserts lactés +  Lait bébé liquide,41.8573875427,197.259460449,0.212194576859,PrepD
87,0,3,11851 : Crèmes glacées et sorbets,26.0765094757,197.259460449,0.1321939677,PrepD
17,0,3,11152 : Céréales pour petit déjeuner,31.0744590759,151.40423584,0.205241680145,PBS
82,0,3,11811 : sucre,7.86585903168,151.40423584,0.051952701062,PBS
84,0,3,"11822 : Miel, gelées, pâtes de fruits",3.41785955429,151.40423584,0.0225743986666,PBS
85,0,3,11831 : Chocolat,63.4024963379,151.40423584,0.418763041496,PBS
86,0,3,11841 : Produits de confiserie,37.0603485107,151.40423584,0.244777485728,PBS
99,0,3,12131 : Cacao et chocolat en poudre,8.58321094513,151.40423584,0.0566906929016,PBS
18,0,3,11211 : Viande povine,133.642959595,134.445999146,0.994027018547,Beef
24,0,3,11262 : bœuf pané,0.803041815758,134.445999146,0.00597296934575,Beef
19,0,3,11221 : Viande Porcine,31.6977710724,215.043960571,0.147401347756,OM
20,0,3,11231 : Viande ovine,5.61862707138,215.043960571,0.026127807796,OM
21,0,3,11241 : Viande de volaille,110.496070862,215.043960571,0.513830125332,OM
26,0,3,11261 : produits de transformation des viandes,34.9016876221,215.043960571,0.162300243974,OM
27,0,3,11271 : Autres viandes fraîches,3.12833476067,215.043960571,0.0145474197343,OM
47,0,3,11471 : Œufs ,29.2014789581,215.043960571,0.135793060064,OM
22,0,3,"11252 : Jambon, saucisses, pâté",198.474075317,198.474075317,1.0,CM
23,0,3,11251 : Lard et Bacon,16.5901622772,80.4591827393,0.206193521619,ABF
43,0,3,11461 : Crème fraîche et autres crèmes,27.2773971558,80.4591827393,0.33902156353,ABF
48,0,3,11511 : Beurre,20.6402282715,80.4591827393,0.256530433893,ABF
52,0,3,11551 : Autres graisses  alimentaires animales,0.0,80.4591827393,0.0,ABF
88,0,3,11912 : Sauce d'origine animale,15.9513969421,80.4591827393,0.198254525661,ABF
28,0,3,11301 : Poissons frais ou réfrigérés,29.0220489502,153.069747925,0.189600154757,Fish
29,0,3,11311 : Poissons surgelés,19.2409610748,153.069747925,0.125700607896,Fish
30,0,3,11321 : Fruits de mer frais,30.4514408112,153.069747925,0.198938339949,Fish
31,0,3,"11331 : PDM séchés, fumés ou salés",22.3278675079,153.069747925,0.145867273211,Fish
33,0,3,11341 : PDM en conserve et poisson pané,52.0274276733,153.069747925,0.339893609285,Fish
34,0,3,11411 : lait entier,0.976199150085,102.645477295,0.00951039604843,Dairy
35,0,3,11421 : Lait Ecrémé/Demi-Ecrémé,40.6296730042,102.645477295,0.395825266838,Dairy
36,0,3,11431 : Lait de conserve,0.795520603657,102.645477295,0.00775017682463,Dairy
38,0,3,11441 : Yaourt et Petits suisses,58.9616661072,102.645477295,0.574420511723,Dairy
42,0,3,11452 : laits fermentés ,0.0358650051057,102.645477295,0.000349406589521,Dairy
46,0,3,11463 : boissons lactées (Lait aromatisé),1.24655354023,102.645477295,0.0121442619711,Dairy
39,0,3,11443 : Fromage frais ,24.2553081512,212.696105957,0.114037387073,Cheese
41,0,3,11451 : Fromages,188.440795898,212.696105957,0.885962605476,Cheese
