product,Juic,Alc,SD,Wat,Cof,FFV,Spices,PBF,PBD,PBS,Starch,PFV,Beef,OM,CM,ABF,Cheese,Fish,Dairy,PrepM,PrepD
Juic,-1.295,0.176,0.173,0.061,0.09,0.006,0.028,0.099,0.051,-0.001,0.032,0.039,0.155,0.129,0.087,0.085,-0.153,0.022,0.141,0.005,0.052
Alc,0.091,-1.206,0.117,0.041,0.071,0.007,0.016,0.032,0.024,0.102,0.02,0.039,0.044,0.069,0.071,0.033,0.122,0.124,0.071,0.05,0.062
SD,0.229,0.3,-1.518,0.041,0.098,0.018,0.01,0.032,-0.055,0.013,0.02,0.023,0.076,0.059,0.043,0.051,0.252,0.007,0.087,0.107,0.017
Wat,0.056,0.072,0.029,-1.389,0.025,0.071,0.007,0.036,0.06,0.011,0.062,0.03,0.122,0.016,0.09,0.056,0.313,0.012,0.117,0.08,0.0
Cof,0.098,0.149,0.08,0.03,-0.942,-0.022,0.025,0.023,0.03,0.021,0.012,0.014,0.078,0.022,0.039,0.052,0.005,0.116,0.094,0.056,0.105
FFV,0.011,0.025,0.026,0.151,-0.04,-1.086,0.006,-0.013,0.032,0.001,0.074,0.027,0.111,0.182,0.075,0.091,0.186,-0.056,0.025,0.13,0.082
Spices,0.093,0.104,0.026,0.027,0.079,0.011,-0.999,0.031,0.033,0.189,-0.006,0.018,0.131,0.099,0.056,-0.01,-0.051,0.101,0.083,-0.097,0.043
PBF,0.185,0.116,0.045,0.073,0.039,-0.012,0.017,-1.171,0.068,0.039,0.108,0.111,0.109,0.089,0.066,0.052,-0.249,0.036,0.211,0.002,0.056
PBD,0.067,0.06,-0.054,0.087,0.036,0.021,0.013,0.048,-1.018,0.045,0.027,0.032,0.173,0.051,0.073,0.037,-0.153,0.191,0.097,0.1,0.057
PBS,-0.002,0.274,0.013,0.017,0.027,0.0,0.078,0.029,0.048,-1.078,0.032,0.015,0.188,0.07,-0.042,-0.003,-0.074,0.264,-0.03,0.135,0.085
Starch,0.068,0.081,0.031,0.146,0.023,0.081,-0.004,0.124,0.044,0.049,-1.234,0.061,0.095,0.157,0.106,-0.008,-0.038,-0.01,0.098,0.007,0.003
PFV,0.087,0.166,0.038,0.073,0.03,0.031,0.012,0.132,0.055,0.024,0.064,-1.242,0.099,0.118,0.083,0.031,-0.083,0.097,0.094,0.002,0.035
Beef,0.091,0.05,0.033,0.078,0.042,0.033,0.023,0.034,0.077,0.079,0.026,0.026,-1.113,0.099,0.1,0.025,0.016,0.069,0.099,0.014,0.024
OM,0.11,0.114,0.038,0.015,0.017,0.08,0.025,0.04,0.033,0.043,0.063,0.045,0.145,-1.34,0.056,0.047,0.114,0.083,0.072,0.1,0.024
CM,0.093,0.146,0.035,0.105,0.039,0.041,0.018,0.038,0.06,-0.033,0.053,0.04,0.183,0.07,-1.199,0.069,0.039,0.001,0.096,0.04,0.058
ABF,0.161,0.12,0.073,0.117,0.091,0.088,-0.006,0.053,0.054,-0.004,-0.007,0.026,0.082,0.105,0.123,-1.402,0.019,0.067,0.056,0.025,-0.034
Cheese,-0.102,0.156,0.126,0.227,0.003,0.063,-0.01,-0.088,-0.077,-0.035,-0.012,-0.025,0.018,0.088,0.024,0.007,-0.774,-0.005,0.028,0.106,-0.158
Fish,0.02,0.221,0.005,0.012,0.098,-0.027,0.028,0.018,0.134,0.176,-0.004,0.04,0.108,0.09,0.001,0.032,-0.007,-1.148,0.093,0.051,0.065
Dairy,0.119,0.116,0.056,0.108,0.073,0.011,0.021,0.095,0.062,-0.018,0.039,0.036,0.143,0.071,0.076,0.025,0.036,0.085,-1.347,0.028,-0.043
PrepM,0.005,0.102,0.084,0.092,0.054,0.07,-0.03,0.001,0.08,0.103,0.003,0.001,0.025,0.123,0.039,0.014,0.169,0.058,0.035,-1.173,-0.023
PrepD,0.051,0.116,0.013,0.0,0.093,0.041,0.012,0.029,0.042,0.06,0.001,0.015,0.039,0.028,0.053,-0.017,-0.231,0.069,-0.049,-0.021,-1.532
