product,Juic,Alc,SD,Wat,Cof,FFV,Spices,PBF,PBD,PBS,Starch,PFV,Beef,OM,CM,ABF,Cheese,Fish,Dairy,PrepM,PrepD
Juic,-1.317,0.182,0.164,0.063,0.089,-0.011,0.025,0.098,0.055,-0.006,0.03,0.037,0.156,0.122,0.071,0.1,-0.137,0.014,0.141,0.014,0.004
Alc,0.093,-1.215,0.119,0.046,0.072,0.002,0.017,0.032,0.022,0.098,0.017,0.037,0.055,0.063,0.07,0.035,0.127,0.127,0.072,0.049,0.052
SD,0.211,0.299,-1.499,0.041,0.098,0.016,0.005,0.03,-0.049,0.01,0.015,0.018,0.074,0.057,0.053,0.052,0.26,0.022,0.085,0.113,0.025
Wat,0.054,0.078,0.027,-1.362,0.028,0.069,0.002,0.038,0.06,0.015,0.061,0.028,0.117,0.022,0.09,0.051,0.309,0.014,0.116,0.078,0.009
Cof,0.095,0.15,0.081,0.035,-0.943,-0.027,0.025,0.03,0.029,0.015,0.012,0.01,0.077,0.029,0.046,0.05,0.008,0.112,0.099,0.051,0.1
FFV,-0.022,0.007,0.025,0.16,-0.05,-1.069,-0.002,0.001,0.026,-0.018,0.079,0.028,0.074,0.215,0.082,0.073,0.225,-0.045,0.044,0.136,0.084
Spices,0.088,0.119,0.013,0.008,0.085,-0.003,-0.983,0.012,0.044,0.216,-0.016,0.025,0.155,0.079,0.045,0.016,-0.043,0.092,0.072,-0.088,0.05
PBF,0.186,0.117,0.044,0.085,0.054,0.001,0.006,-1.157,0.074,0.037,0.121,0.099,0.096,0.109,0.087,0.011,-0.246,0.039,0.222,-0.021,0.081
PBD,0.073,0.057,-0.05,0.093,0.037,0.018,0.016,0.052,-1.028,0.043,0.027,0.03,0.184,0.046,0.072,0.043,-0.166,0.193,0.097,0.095,0.046
PBS,-0.009,0.274,0.012,0.025,0.021,-0.013,0.087,0.028,0.046,-1.097,0.03,0.007,0.186,0.081,-0.056,0.01,-0.059,0.267,-0.027,0.146,0.073
Starch,0.066,0.074,0.025,0.155,0.026,0.087,-0.01,0.139,0.045,0.045,-1.24,0.058,0.089,0.165,0.115,-0.015,-0.023,-0.01,0.093,0.004,0.001
PFV,0.087,0.169,0.033,0.077,0.023,0.033,0.016,0.122,0.052,0.011,0.063,-1.24,0.106,0.127,0.078,0.043,-0.076,0.105,0.099,0.001,0.042
Beef,0.088,0.061,0.033,0.077,0.041,0.021,0.025,0.029,0.078,0.073,0.023,0.026,-1.098,0.092,0.096,0.036,0.018,0.065,0.094,0.017,0.01
OM,0.099,0.099,0.036,0.021,0.022,0.088,0.018,0.047,0.028,0.046,0.062,0.044,0.131,-1.323,0.057,0.04,0.127,0.097,0.076,0.096,0.024
CM,0.073,0.142,0.042,0.108,0.045,0.043,0.013,0.047,0.056,-0.04,0.054,0.034,0.174,0.073,-1.187,0.058,0.049,0.007,0.108,0.052,0.066
ABF,0.177,0.122,0.072,0.106,0.083,0.065,0.008,0.01,0.057,0.013,-0.012,0.033,0.113,0.087,0.1,-1.326,0.026,0.062,0.043,0.031,-0.015
Cheese,-0.085,0.153,0.124,0.223,0.005,0.071,-0.008,-0.08,-0.077,-0.026,-0.007,-0.02,0.02,0.097,0.03,0.009,-0.791,-0.009,0.025,0.114,-0.119
Fish,0.012,0.225,0.016,0.015,0.095,-0.021,0.023,0.019,0.132,0.168,-0.004,0.041,0.104,0.108,0.007,0.032,-0.014,-1.152,0.093,0.052,0.066
Dairy,0.117,0.116,0.054,0.112,0.077,0.019,0.017,0.097,0.061,-0.016,0.035,0.035,0.137,0.077,0.087,0.02,0.033,0.085,-1.344,0.028,-0.037
PrepM,0.015,0.102,0.092,0.096,0.051,0.073,-0.026,-0.011,0.075,0.107,0.002,0.0,0.032,0.125,0.053,0.018,0.195,0.061,0.035,-1.159,0.051
PrepD,0.004,0.096,0.019,0.01,0.089,0.04,0.013,0.041,0.032,0.048,0.0,0.017,0.017,0.028,0.061,-0.008,-0.182,0.069,-0.042,0.046,-1.488
