product,Juic,Alc,SD,Wat,Cof,FFV,Spices,PBF,PBD,PBS,Starch,PFV,Beef,OM,CM,ABF,Cheese,Fish,Dairy,PrepM,PrepD
Juic,-1.398,0.207,0.184,0.065,0.101,-0.017,0.027,0.116,0.057,-0.016,0.031,0.041,0.177,0.137,0.072,0.116,-0.183,0.016,0.15,0.003,-0.013
Alc,0.081,-1.181,0.107,0.048,0.074,0.006,0.017,0.035,0.021,0.091,0.017,0.036,0.065,0.065,0.065,0.037,0.121,0.132,0.063,0.045,0.044
SD,0.226,0.337,-1.583,0.04,0.109,0.017,0.003,0.034,-0.064,0.005,0.013,0.018,0.079,0.059,0.051,0.058,0.284,0.028,0.08,0.118,0.014
Wat,0.045,0.086,0.023,-1.355,0.033,0.071,0.002,0.042,0.057,0.014,0.06,0.028,0.124,0.025,0.086,0.053,0.303,0.025,0.107,0.073,0.002
Cof,0.083,0.154,0.072,0.038,-0.94,-0.021,0.025,0.034,0.028,0.015,0.013,0.012,0.085,0.034,0.043,0.05,0.011,0.118,0.088,0.046,0.088
FFV,-0.025,0.022,0.021,0.154,-0.039,-1.06,-0.001,0.007,0.025,-0.016,0.074,0.028,0.082,0.207,0.077,0.071,0.213,-0.028,0.037,0.125,0.074
Spices,0.08,0.127,0.008,0.009,0.089,-0.001,-0.983,0.016,0.041,0.214,-0.016,0.025,0.162,0.082,0.042,0.018,-0.045,0.102,0.065,-0.092,0.042
PBF,0.161,0.123,0.039,0.082,0.057,0.006,0.007,-1.13,0.067,0.035,0.109,0.09,0.102,0.106,0.079,0.015,-0.207,0.051,0.194,-0.017,0.07
PBD,0.067,0.063,-0.061,0.096,0.04,0.019,0.017,0.057,-1.034,0.042,0.027,0.031,0.197,0.048,0.07,0.046,-0.184,0.213,0.092,0.093,0.038
PBS,-0.02,0.291,0.005,0.025,0.024,-0.013,0.091,0.032,0.044,-1.105,0.03,0.006,0.198,0.085,-0.064,0.011,-0.068,0.288,-0.039,0.146,0.066
Starch,0.058,0.082,0.02,0.157,0.029,0.09,-0.01,0.145,0.043,0.044,-1.245,0.059,0.096,0.17,0.113,-0.014,-0.028,-0.001,0.086,-0.001,-0.008
PFV,0.078,0.177,0.028,0.077,0.027,0.035,0.016,0.124,0.05,0.01,0.061,-1.235,0.113,0.128,0.074,0.045,-0.076,0.115,0.091,-0.003,0.035
Beef,0.077,0.073,0.028,0.077,0.046,0.023,0.024,0.032,0.073,0.069,0.023,0.026,-1.076,0.092,0.089,0.038,0.021,0.075,0.084,0.015,0.006
OM,0.089,0.108,0.031,0.023,0.027,0.087,0.018,0.049,0.026,0.044,0.059,0.043,0.137,-1.303,0.054,0.041,0.122,0.105,0.067,0.089,0.018
CM,0.066,0.153,0.038,0.112,0.048,0.046,0.013,0.053,0.055,-0.047,0.056,0.035,0.188,0.077,-1.206,0.062,0.045,0.014,0.104,0.048,0.06
ABF,0.161,0.129,0.065,0.103,0.085,0.065,0.009,0.015,0.054,0.013,-0.011,0.032,0.119,0.089,0.094,-1.301,0.027,0.072,0.036,0.028,-0.018
Cheese,-0.097,0.163,0.122,0.228,0.007,0.074,-0.008,-0.079,-0.083,-0.029,-0.008,-0.021,0.025,0.101,0.026,0.01,-0.789,-0.001,0.016,0.112,-0.131
Fish,0.01,0.214,0.014,0.022,0.092,-0.012,0.022,0.024,0.115,0.146,0.0,0.038,0.109,0.103,0.01,0.033,-0.001,-1.109,0.08,0.047,0.056
Dairy,0.119,0.127,0.052,0.121,0.085,0.019,0.017,0.111,0.062,-0.025,0.037,0.038,0.152,0.083,0.09,0.021,0.024,0.1,-1.412,0.02,-0.058
PrepM,0.003,0.111,0.093,0.101,0.055,0.08,-0.03,-0.012,0.077,0.114,-0.001,-0.001,0.033,0.135,0.051,0.019,0.205,0.072,0.025,-1.186,0.043
PrepD,-0.012,0.104,0.01,0.003,0.1,0.045,0.013,0.047,0.029,0.049,-0.004,0.017,0.013,0.026,0.06,-0.012,-0.228,0.082,-0.067,0.041,-1.587
