product,Juic,Alc,SD,Wat,Cof,FFV,Spices,PBF,PBD,PBS,Starch,PFV,Beef,OM,CM,ABF,Cheese,Fish,Dairy,PrepM,PrepD
Juic,-1.31,0.168,0.166,0.055,0.085,-0.011,0.027,0.097,0.057,0.007,0.032,0.041,0.146,0.116,0.071,0.098,-0.146,0.007,0.16,0.017,0.01
Alc,0.1,-1.27,0.134,0.037,0.072,-0.002,0.02,0.032,0.022,0.119,0.019,0.043,0.042,0.057,0.074,0.035,0.121,0.13,0.093,0.052,0.057
SD,0.197,0.268,-1.445,0.035,0.09,0.017,0.008,0.029,-0.039,0.025,0.018,0.022,0.066,0.052,0.053,0.049,0.231,0.018,0.102,0.109,0.033
Wat,0.055,0.063,0.03,-1.431,0.022,0.075,0.002,0.04,0.065,0.025,0.069,0.033,0.112,0.01,0.096,0.053,0.33,0.0,0.143,0.085,0.008
Cof,0.099,0.142,0.088,0.026,-0.945,-0.032,0.029,0.031,0.031,0.026,0.014,0.014,0.068,0.02,0.046,0.051,-0.01,0.109,0.121,0.054,0.109
FFV,-0.023,-0.007,0.029,0.156,-0.056,-1.072,0.0,0.0,0.029,-0.007,0.082,0.032,0.065,0.214,0.084,0.073,0.218,-0.056,0.063,0.141,0.09
Spices,0.084,0.104,0.02,0.007,0.076,0.0,-0.981,0.014,0.045,0.203,-0.008,0.028,0.137,0.071,0.046,0.017,-0.038,0.08,0.09,-0.067,0.056
PBF,0.189,0.106,0.048,0.078,0.051,0.0,0.009,-1.16,0.077,0.05,0.125,0.104,0.087,0.104,0.088,0.01,-0.261,0.032,0.243,-0.019,0.087
PBD,0.073,0.048,-0.041,0.083,0.034,0.018,0.018,0.05,-1.022,0.055,0.029,0.033,0.169,0.042,0.071,0.041,-0.163,0.178,0.114,0.095,0.051
PBS,0.007,0.216,0.023,0.027,0.024,-0.004,0.07,0.027,0.046,-1.05,0.03,0.015,0.151,0.07,-0.028,0.014,-0.034,0.204,0.015,0.123,0.073
Starch,0.065,0.064,0.03,0.139,0.024,0.081,-0.005,0.129,0.046,0.056,-1.215,0.059,0.08,0.151,0.11,-0.013,-0.026,-0.012,0.109,0.01,0.011
PFV,0.081,0.146,0.038,0.066,0.023,0.031,0.018,0.106,0.052,0.027,0.058,-1.193,0.094,0.111,0.073,0.04,-0.063,0.09,0.112,0.011,0.049
Beef,0.093,0.045,0.036,0.072,0.037,0.02,0.028,0.029,0.085,0.09,0.025,0.03,-1.128,0.09,0.102,0.036,-0.001,0.059,0.117,0.016,0.011
OM,0.105,0.088,0.04,0.01,0.016,0.094,0.021,0.048,0.03,0.059,0.068,0.05,0.127,-1.367,0.059,0.04,0.12,0.093,0.097,0.104,0.027
CM,0.073,0.129,0.046,0.1,0.041,0.042,0.015,0.047,0.058,-0.027,0.056,0.038,0.165,0.067,-1.184,0.057,0.038,0.0,0.127,0.055,0.072
ABF,0.183,0.111,0.077,0.1,0.081,0.066,0.01,0.009,0.06,0.024,-0.012,0.037,0.106,0.083,0.103,-1.34,0.012,0.055,0.062,0.033,-0.012
Cheese,-0.107,0.151,0.143,0.244,-0.006,0.078,-0.009,-0.099,-0.095,-0.023,-0.01,-0.023,-0.001,0.097,0.027,0.005,-0.78,-0.028,0.038,0.129,-0.142
Fish,0.007,0.234,0.016,0.0,0.1,-0.029,0.027,0.017,0.149,0.202,-0.006,0.048,0.098,0.11,0.0,0.031,-0.04,-1.192,0.118,0.056,0.074
Dairy,0.101,0.099,0.054,0.091,0.066,0.019,0.018,0.079,0.057,0.009,0.034,0.036,0.116,0.068,0.078,0.021,0.033,0.07,-1.226,0.035,-0.01
