product,Juic,Alc,SD,Wat,Cof,FFV,Spices,PBF,PBD,PBS,Starch,PFV,Beef,OM,CM,ABF,Cheese,Fish,Dairy,PrepM,PrepD
Juic,-1.333,0.172,0.168,0.056,0.084,-0.014,0.023,0.1,0.057,-0.004,0.032,0.039,0.156,0.127,0.075,0.104,-0.154,0.006,0.168,0.014,0.013
Alc,0.098,-1.277,0.131,0.037,0.069,-0.003,0.016,0.031,0.02,0.112,0.018,0.041,0.048,0.065,0.077,0.038,0.125,0.132,0.097,0.051,0.062
SD,0.209,0.286,-1.5,0.034,0.091,0.015,0.003,0.029,-0.048,0.014,0.017,0.02,0.071,0.059,0.056,0.054,0.251,0.016,0.108,0.114,0.036
Wat,0.053,0.062,0.026,-1.427,0.019,0.074,-0.002,0.039,0.063,0.017,0.068,0.031,0.118,0.019,0.098,0.056,0.332,0.002,0.147,0.084,0.014
Cof,0.1,0.146,0.088,0.024,-0.948,-0.037,0.026,0.03,0.029,0.016,0.013,0.01,0.073,0.025,0.049,0.055,-0.013,0.116,0.128,0.053,0.119
FFV,-0.028,-0.011,0.025,0.158,-0.061,-1.075,-0.004,-0.002,0.027,-0.017,0.083,0.03,0.071,0.225,0.087,0.076,0.224,-0.057,0.067,0.142,0.096
Spices,0.092,0.108,0.009,-0.007,0.084,-0.008,-0.985,0.008,0.045,0.246,-0.019,0.027,0.162,0.083,0.048,0.016,-0.07,0.091,0.097,-0.106,0.06
PBF,0.193,0.105,0.045,0.08,0.048,-0.001,0.004,-1.171,0.077,0.042,0.129,0.106,0.094,0.114,0.093,0.011,-0.275,0.032,0.256,-0.023,0.094
PBD,0.071,0.045,-0.049,0.085,0.03,0.017,0.015,0.05,-1.026,0.046,0.029,0.031,0.179,0.049,0.074,0.044,-0.171,0.185,0.12,0.095,0.056
PBS,-0.005,0.243,0.014,0.022,0.017,-0.01,0.078,0.027,0.046,-1.079,0.031,0.01,0.173,0.081,-0.042,0.014,-0.054,0.239,0.005,0.137,0.081
Starch,0.063,0.062,0.026,0.141,0.02,0.081,-0.01,0.129,0.045,0.048,-1.219,0.057,0.086,0.16,0.113,-0.011,-0.025,-0.011,0.114,0.008,0.015
PFV,0.082,0.151,0.033,0.068,0.018,0.032,0.014,0.114,0.052,0.017,0.061,-1.22,0.102,0.124,0.078,0.044,-0.074,0.095,0.12,0.006,0.054
Beef,0.088,0.047,0.032,0.071,0.034,0.02,0.023,0.027,0.08,0.079,0.025,0.027,-1.106,0.095,0.1,0.038,0.007,0.059,0.118,0.018,0.02
OM,0.096,0.086,0.036,0.015,0.016,0.085,0.016,0.044,0.029,0.049,0.062,0.045,0.127,-1.308,0.06,0.041,0.116,0.089,0.098,0.096,0.036
CM,0.07,0.126,0.042,0.098,0.038,0.041,0.011,0.045,0.055,-0.032,0.054,0.035,0.167,0.074,-1.171,0.058,0.042,0.004,0.129,0.053,0.076
ABF,0.169,0.108,0.07,0.096,0.075,0.062,0.007,0.01,0.057,0.018,-0.009,0.034,0.11,0.088,0.101,-1.306,0.02,0.055,0.067,0.033,0.0
Cheese,-0.103,0.147,0.135,0.236,-0.007,0.075,-0.012,-0.095,-0.091,-0.029,-0.008,-0.024,0.009,0.103,0.03,0.008,-0.784,-0.023,0.044,0.124,-0.129
Fish,0.006,0.228,0.013,0.002,0.095,-0.028,0.023,0.016,0.145,0.19,-0.006,0.045,0.104,0.116,0.004,0.034,-0.034,-1.185,0.121,0.055,0.079
Dairy,0.096,0.097,0.05,0.09,0.062,0.019,0.014,0.076,0.055,0.002,0.034,0.033,0.121,0.075,0.079,0.024,0.038,0.071,-1.208,0.034,-0.001
PrepM,0.014,0.088,0.091,0.088,0.044,0.07,-0.027,-0.012,0.075,0.109,0.004,0.003,0.031,0.125,0.056,0.02,0.183,0.055,0.059,-1.152,0.062
PrepD,0.01,0.083,0.022,0.011,0.075,0.036,0.012,0.037,0.034,0.05,0.006,0.019,0.027,0.036,0.062,0.0,-0.146,0.06,-0.002,0.047,-1.385
