product,Juic,Alc,SD,Wat,Cof,FFV,Spices,PBF,PBD,PBS,Starch,PFV,Beef,OM,CM,ABF,Cheese,Fish,Dairy,PrepM,PrepD
Juic,-1.468,0.216,0.208,0.066,0.106,-0.022,0.028,0.129,0.059,-0.023,0.032,0.043,0.186,0.15,0.077,0.13,-0.226,0.007,0.168,-0.002,-0.021
Alc,0.078,-1.203,0.113,0.048,0.072,0.005,0.016,0.035,0.019,0.095,0.017,0.037,0.06,0.068,0.068,0.037,0.118,0.134,0.067,0.046,0.045
SD,0.211,0.319,-1.547,0.041,0.103,0.019,0.003,0.034,-0.06,0.007,0.013,0.018,0.077,0.062,0.051,0.057,0.267,0.028,0.082,0.115,0.016
Wat,0.04,0.081,0.025,-1.354,0.03,0.072,0.001,0.042,0.056,0.014,0.059,0.028,0.121,0.027,0.087,0.053,0.298,0.023,0.11,0.075,0.003
Cof,0.08,0.152,0.077,0.037,-0.942,-0.023,0.024,0.034,0.026,0.015,0.012,0.011,0.082,0.034,0.044,0.052,0.002,0.12,0.094,0.048,0.092
FFV,-0.028,0.019,0.024,0.15,-0.039,-1.056,-0.001,0.008,0.024,-0.014,0.072,0.027,0.08,0.204,0.076,0.07,0.203,-0.026,0.041,0.124,0.074
Spices,0.077,0.123,0.008,0.005,0.089,-0.002,-0.984,0.015,0.041,0.228,-0.019,0.025,0.165,0.085,0.043,0.018,-0.06,0.104,0.069,-0.101,0.043
PBF,0.155,0.117,0.041,0.082,0.054,0.007,0.006,-1.13,0.066,0.036,0.108,0.089,0.099,0.107,0.08,0.016,-0.211,0.05,0.197,-0.015,0.071
PBD,0.062,0.056,-0.063,0.097,0.037,0.02,0.016,0.058,-1.038,0.042,0.027,0.031,0.198,0.05,0.072,0.047,-0.199,0.216,0.097,0.097,0.038
PBS,-0.024,0.283,0.008,0.025,0.021,-0.011,0.088,0.032,0.043,-1.102,0.029,0.006,0.194,0.087,-0.061,0.012,-0.071,0.282,-0.035,0.146,0.067
Starch,0.053,0.076,0.022,0.159,0.026,0.092,-0.011,0.147,0.041,0.044,-1.251,0.06,0.093,0.174,0.116,-0.014,-0.035,-0.004,0.09,-0.001,-0.008
PFV,0.073,0.172,0.03,0.078,0.024,0.036,0.015,0.126,0.049,0.01,0.062,-1.24,0.11,0.132,0.075,0.046,-0.083,0.114,0.095,-0.002,0.036
Beef,0.073,0.066,0.03,0.077,0.042,0.024,0.023,0.033,0.073,0.071,0.022,0.026,-1.085,0.095,0.092,0.038,0.014,0.073,0.088,0.015,0.006
OM,0.082,0.102,0.033,0.024,0.025,0.087,0.017,0.049,0.026,0.044,0.058,0.042,0.132,-1.29,0.055,0.042,0.116,0.102,0.07,0.089,0.02
CM,0.06,0.146,0.04,0.111,0.045,0.047,0.012,0.052,0.053,-0.045,0.055,0.035,0.183,0.078,-1.199,0.062,0.041,0.014,0.106,0.049,0.061
ABF,0.153,0.123,0.066,0.103,0.081,0.065,0.008,0.016,0.052,0.013,-0.01,0.032,0.116,0.09,0.094,-1.294,0.023,0.07,0.04,0.029,-0.016
Cheese,-0.112,0.161,0.13,0.24,0.001,0.078,-0.011,-0.087,-0.092,-0.033,-0.01,-0.024,0.017,0.105,0.026,0.01,-0.785,-0.007,0.017,0.118,-0.142
Fish,0.004,0.211,0.016,0.022,0.09,-0.012,0.021,0.024,0.116,0.149,-0.001,0.038,0.106,0.107,0.01,0.034,-0.008,-1.116,0.084,0.049,0.058
Dairy,0.109,0.12,0.053,0.117,0.08,0.021,0.016,0.107,0.059,-0.021,0.036,0.036,0.146,0.083,0.088,0.022,0.022,0.096,-1.381,0.023,-0.051
PrepM,-0.001,0.105,0.093,0.1,0.052,0.079,-0.03,-0.01,0.075,0.112,0.0,-0.001,0.032,0.135,0.052,0.02,0.196,0.07,0.029,-1.177,0.044
PrepD,-0.016,0.098,0.013,0.004,0.096,0.045,0.012,0.047,0.028,0.049,-0.004,0.017,0.012,0.029,0.061,-0.01,-0.226,0.08,-0.061,0.042,-1.571
