product,Juic,Alc,SD,Wat,Cof,FFV,Spices,PBF,PBD,PBS,Starch,PFV,Beef,OM,CM,ABF,Cheese,Fish,Dairy,PrepM,PrepD
Juic,-1.345,0.178,0.173,0.05,0.085,-0.013,0.026,0.103,0.06,0.0,0.034,0.042,0.154,0.124,0.072,0.104,-0.169,0.002,0.168,0.016,0.006
Alc,0.094,-1.257,0.128,0.032,0.068,0.0,0.018,0.031,0.024,0.114,0.02,0.042,0.045,0.06,0.073,0.035,0.114,0.126,0.093,0.054,0.058
SD,0.204,0.285,-1.486,0.028,0.09,0.017,0.006,0.029,-0.044,0.02,0.018,0.022,0.067,0.055,0.053,0.051,0.238,0.014,0.105,0.116,0.032
Wat,0.052,0.063,0.025,-1.501,0.016,0.083,-0.001,0.041,0.069,0.019,0.075,0.034,0.119,0.007,0.102,0.057,0.36,-0.007,0.153,0.092,0.002
Cof,0.099,0.149,0.088,0.018,-0.948,-0.035,0.028,0.03,0.031,0.022,0.014,0.012,0.069,0.021,0.046,0.053,-0.021,0.113,0.126,0.056,0.113
FFV,-0.024,0.0,0.026,0.145,-0.054,-1.067,0.0,0.001,0.03,-0.008,0.08,0.032,0.067,0.209,0.082,0.071,0.205,-0.052,0.065,0.139,0.089
Spices,0.082,0.108,0.016,-0.002,0.076,-0.001,-0.983,0.012,0.046,0.213,-0.01,0.028,0.144,0.075,0.046,0.016,-0.053,0.081,0.092,-0.074,0.056
PBF,0.187,0.109,0.045,0.072,0.048,0.001,0.007,-1.163,0.078,0.047,0.127,0.105,0.09,0.107,0.088,0.01,-0.272,0.03,0.247,-0.018,0.088
PBD,0.068,0.051,-0.043,0.077,0.031,0.019,0.017,0.049,-1.02,0.051,0.03,0.033,0.169,0.045,0.07,0.041,-0.165,0.174,0.115,0.096,0.052
PBS,0.0,0.228,0.018,0.019,0.02,-0.005,0.073,0.027,0.047,-1.06,0.031,0.014,0.158,0.074,-0.034,0.013,-0.047,0.214,0.012,0.13,0.074
Starch,0.061,0.067,0.027,0.13,0.021,0.08,-0.006,0.126,0.047,0.053,-1.207,0.058,0.082,0.151,0.108,-0.011,-0.029,-0.011,0.11,0.013,0.012
PFV,0.078,0.149,0.034,0.061,0.02,0.033,0.017,0.107,0.053,0.024,0.059,-1.197,0.096,0.114,0.073,0.04,-0.07,0.089,0.114,0.012,0.05
Beef,0.088,0.049,0.033,0.066,0.034,0.021,0.027,0.028,0.085,0.086,0.026,0.03,-1.121,0.092,0.1,0.036,-0.004,0.058,0.117,0.019,0.013
OM,0.098,0.09,0.037,0.006,0.014,0.092,0.019,0.047,0.031,0.056,0.066,0.049,0.126,-1.343,0.058,0.04,0.112,0.09,0.097,0.103,0.029
CM,0.07,0.132,0.043,0.094,0.038,0.043,0.014,0.047,0.059,-0.031,0.057,0.038,0.167,0.07,-1.186,0.057,0.032,-0.001,0.129,0.057,0.072
ABF,0.178,0.114,0.074,0.093,0.078,0.067,0.009,0.009,0.061,0.021,-0.01,0.037,0.107,0.085,0.102,-1.336,0.007,0.054,0.063,0.035,-0.01
Cheese,-0.124,0.159,0.149,0.254,-0.013,0.083,-0.012,-0.11,-0.105,-0.033,-0.012,-0.028,-0.006,0.104,0.025,0.003,-0.773,-0.035,0.036,0.137,-0.159
Fish,0.002,0.24,0.012,-0.007,0.098,-0.029,0.026,0.017,0.152,0.203,-0.006,0.048,0.101,0.114,-0.001,0.032,-0.048,-1.199,0.12,0.058,0.074
Dairy,0.097,0.102,0.051,0.085,0.063,0.021,0.017,0.078,0.058,0.006,0.035,0.035,0.118,0.071,0.077,0.021,0.028,0.069,-1.22,0.037,-0.008
PrepM,0.015,0.092,0.088,0.08,0.044,0.069,-0.021,-0.009,0.075,0.11,0.007,0.006,0.03,0.117,0.053,0.019,0.168,0.052,0.058,-1.136,0.057
PrepD,0.005,0.087,0.021,0.001,0.078,0.039,0.014,0.038,0.036,0.056,0.005,0.021,0.018,0.029,0.06,-0.005,-0.172,0.059,-0.012,0.05,-1.428
