product,Juic,Alc,SD,Wat,Cof,FFV,Spices,PBF,PBD,PBS,Starch,PFV,Beef,OM,CM,ABF,Cheese,Fish,Dairy,PrepM,PrepD
Juic,-1.298,0.182,0.157,0.063,0.089,-0.009,0.025,0.096,0.055,-0.005,0.029,0.036,0.152,0.117,0.068,0.095,-0.125,0.018,0.133,0.016,0.004
Alc,0.094,-1.2,0.115,0.047,0.073,0.003,0.018,0.032,0.023,0.095,0.017,0.036,0.056,0.06,0.067,0.033,0.127,0.127,0.066,0.05,0.049
SD,0.217,0.308,-1.513,0.041,0.101,0.016,0.006,0.031,-0.051,0.009,0.014,0.018,0.073,0.055,0.051,0.051,0.266,0.024,0.08,0.115,0.022
Wat,0.056,0.081,0.027,-1.36,0.03,0.069,0.003,0.039,0.06,0.015,0.06,0.028,0.116,0.019,0.088,0.049,0.31,0.016,0.11,0.079,0.007
Cof,0.095,0.152,0.078,0.036,-0.942,-0.025,0.026,0.031,0.03,0.015,0.012,0.011,0.077,0.027,0.044,0.047,0.013,0.113,0.092,0.052,0.096
FFV,-0.019,0.011,0.024,0.16,-0.048,-1.069,-0.001,0.002,0.027,-0.019,0.078,0.028,0.073,0.212,0.08,0.07,0.227,-0.043,0.039,0.137,0.081
Spices,0.088,0.121,0.014,0.011,0.084,-0.001,-0.982,0.013,0.043,0.202,-0.014,0.024,0.15,0.075,0.044,0.015,-0.032,0.092,0.066,-0.078,0.048
PBF,0.187,0.121,0.043,0.085,0.056,0.002,0.008,-1.154,0.074,0.037,0.119,0.098,0.096,0.105,0.085,0.009,-0.239,0.042,0.215,-0.019,0.079
PBD,0.076,0.061,-0.051,0.093,0.039,0.018,0.017,0.052,-1.027,0.042,0.026,0.03,0.183,0.044,0.07,0.041,-0.162,0.195,0.092,0.095,0.043
PBS,-0.008,0.281,0.01,0.025,0.022,-0.014,0.09,0.029,0.046,-1.1,0.029,0.006,0.188,0.079,-0.06,0.008,-0.06,0.274,-0.034,0.149,0.071
Starch,0.069,0.077,0.024,0.158,0.026,0.089,-0.009,0.144,0.045,0.045,-1.25,0.059,0.088,0.166,0.116,-0.019,-0.025,-0.01,0.089,0.003,-0.004
PFV,0.089,0.173,0.032,0.077,0.024,0.033,0.017,0.123,0.053,0.01,0.062,-1.241,0.105,0.124,0.076,0.041,-0.074,0.108,0.094,0.002,0.04
Beef,0.091,0.065,0.032,0.078,0.043,0.021,0.026,0.029,0.079,0.073,0.022,0.026,-1.1,0.089,0.094,0.034,0.02,0.068,0.089,0.018,0.008
OM,0.104,0.103,0.035,0.019,0.022,0.091,0.019,0.048,0.028,0.046,0.063,0.045,0.133,-1.343,0.056,0.038,0.131,0.101,0.071,0.099,0.021
CM,0.076,0.147,0.042,0.11,0.046,0.044,0.014,0.049,0.057,-0.044,0.055,0.035,0.178,0.071,-1.199,0.057,0.051,0.008,0.105,0.053,0.065
ABF,0.191,0.128,0.074,0.11,0.088,0.069,0.009,0.009,0.059,0.01,-0.016,0.034,0.115,0.087,0.103,-1.358,0.024,0.065,0.036,0.03,-0.023
Cheese,-0.078,0.155,0.121,0.218,0.007,0.069,-0.006,-0.077,-0.074,-0.024,-0.007,-0.019,0.021,0.093,0.028,0.007,-0.792,-0.005,0.021,0.113,-0.116
Fish,0.016,0.224,0.016,0.017,0.095,-0.019,0.024,0.019,0.128,0.162,-0.004,0.04,0.103,0.103,0.006,0.029,-0.007,-1.141,0.087,0.053,0.063
Dairy,0.126,0.121,0.055,0.117,0.081,0.018,0.018,0.104,0.063,-0.021,0.036,0.036,0.141,0.076,0.089,0.017,0.032,0.091,-1.386,0.027,-0.048
PrepM,0.017,0.105,0.091,0.096,0.052,0.072,-0.024,-0.01,0.075,0.106,0.001,0.001,0.032,0.121,0.051,0.016,0.196,0.063,0.03,-1.155,0.049
PrepD,0.004,0.099,0.017,0.008,0.092,0.041,0.014,0.042,0.032,0.048,-0.002,0.017,0.013,0.024,0.06,-0.012,-0.192,0.072,-0.052,0.046,-1.516
