product,Juic,Alc,SD,Wat,Cof,FFV,Spices,PBF,PBD,PBS,Starch,PFV,Beef,OM,CM,ABF,Cheese,Fish,Dairy,PrepM,PrepD
Juic,-1.377,0.209,0.176,0.065,0.099,-0.014,0.027,0.112,0.056,-0.014,0.03,0.039,0.171,0.13,0.069,0.109,-0.164,0.017,0.143,0.006,-0.011
Alc,0.081,-1.159,0.102,0.049,0.073,0.007,0.017,0.034,0.023,0.088,0.017,0.035,0.064,0.062,0.062,0.033,0.125,0.127,0.059,0.046,0.044
SD,0.233,0.35,-1.601,0.039,0.111,0.017,0.004,0.034,-0.066,0.004,0.012,0.017,0.077,0.056,0.049,0.055,0.296,0.026,0.078,0.121,0.012
Wat,0.047,0.093,0.022,-1.352,0.033,0.071,0.003,0.041,0.058,0.014,0.059,0.028,0.121,0.022,0.084,0.049,0.309,0.024,0.104,0.074,0.002
Cof,0.085,0.161,0.072,0.038,-0.94,-0.02,0.025,0.033,0.029,0.015,0.012,0.011,0.083,0.03,0.041,0.047,0.019,0.117,0.085,0.047,0.088
FFV,-0.022,0.03,0.021,0.152,-0.037,-1.058,0.0,0.007,0.026,-0.015,0.073,0.027,0.08,0.2,0.074,0.067,0.217,-0.027,0.035,0.125,0.073
Spices,0.08,0.133,0.008,0.011,0.087,0.001,-0.983,0.016,0.042,0.206,-0.015,0.024,0.157,0.077,0.041,0.015,-0.033,0.1,0.061,-0.086,0.042
PBF,0.166,0.13,0.038,0.083,0.057,0.006,0.008,-1.135,0.069,0.035,0.11,0.091,0.1,0.103,0.078,0.011,-0.207,0.051,0.194,-0.017,0.07
PBD,0.068,0.071,-0.06,0.095,0.04,0.02,0.017,0.056,-1.032,0.041,0.026,0.03,0.193,0.045,0.068,0.042,-0.171,0.209,0.088,0.093,0.037
PBS,-0.019,0.299,0.004,0.025,0.023,-0.013,0.092,0.031,0.045,-1.106,0.029,0.006,0.197,0.081,-0.067,0.008,-0.062,0.289,-0.043,0.148,0.066
Starch,0.06,0.088,0.019,0.16,0.028,0.092,-0.01,0.147,0.043,0.044,-1.252,0.06,0.094,0.169,0.113,-0.019,-0.023,-0.003,0.083,-0.001,-0.01
PFV,0.081,0.185,0.027,0.078,0.026,0.036,0.017,0.126,0.051,0.009,0.062,-1.243,0.111,0.126,0.073,0.042,-0.073,0.116,0.089,-0.003,0.034
Beef,0.08,0.078,0.027,0.078,0.045,0.024,0.025,0.032,0.075,0.07,0.022,0.025,-1.083,0.089,0.089,0.034,0.026,0.074,0.081,0.015,0.004
OM,0.094,0.114,0.03,0.021,0.025,0.092,0.019,0.05,0.027,0.044,0.061,0.044,0.137,-1.33,0.053,0.039,0.133,0.107,0.065,0.093,0.016
CM,0.069,0.161,0.037,0.115,0.048,0.047,0.014,0.053,0.056,-0.05,0.057,0.035,0.189,0.073,-1.218,0.06,0.051,0.012,0.103,0.049,0.06
ABF,0.178,0.138,0.068,0.109,0.089,0.07,0.008,0.013,0.057,0.01,-0.015,0.033,0.12,0.088,0.099,-1.347,0.028,0.072,0.031,0.027,-0.026
Cheese,-0.083,0.164,0.113,0.214,0.011,0.07,-0.006,-0.071,-0.072,-0.024,-0.006,-0.018,0.028,0.094,0.026,0.009,-0.793,0.004,0.016,0.107,-0.117
Fish,0.012,0.221,0.013,0.022,0.092,-0.011,0.023,0.023,0.116,0.146,-0.001,0.038,0.107,0.1,0.008,0.03,0.005,-1.111,0.077,0.048,0.056
Dairy,0.126,0.135,0.052,0.125,0.088,0.02,0.018,0.116,0.064,-0.029,0.037,0.038,0.153,0.08,0.091,0.017,0.028,0.102,-1.443,0.02,-0.065
PrepM,0.006,0.117,0.091,0.101,0.055,0.079,-0.029,-0.011,0.077,0.111,-0.001,-0.001,0.032,0.129,0.049,0.016,0.209,0.071,0.022,-1.179,0.043
PrepD,-0.011,0.11,0.009,0.002,0.1,0.045,0.014,0.046,0.03,0.049,-0.005,0.016,0.009,0.021,0.059,-0.016,-0.225,0.081,-0.072,0.042,-1.595
