product,Juic,Alc,SD,Wat,Cof,FFV,Spices,PBF,PBD,PBS,Starch,PFV,Beef,OM,CM,ABF,Cheese,Fish,Dairy,PrepM,PrepD
Juic,-1.274,0.168,0.158,0.056,0.083,-0.007,0.028,0.092,0.058,0.007,0.032,0.04,0.138,0.106,0.068,0.09,-0.127,0.013,0.139,0.021,0.01
Alc,0.101,-1.236,0.13,0.039,0.071,0.001,0.021,0.033,0.026,0.11,0.019,0.042,0.042,0.052,0.071,0.033,0.117,0.126,0.078,0.053,0.052
SD,0.192,0.264,-1.411,0.038,0.088,0.019,0.01,0.031,-0.031,0.023,0.018,0.023,0.065,0.048,0.052,0.046,0.22,0.023,0.087,0.107,0.03
Wat,0.06,0.07,0.033,-1.419,0.024,0.076,0.004,0.041,0.067,0.022,0.068,0.033,0.109,0.007,0.094,0.051,0.325,0.004,0.129,0.086,0.004
Cof,0.102,0.148,0.09,0.028,-0.944,-0.029,0.03,0.032,0.034,0.023,0.014,0.014,0.065,0.017,0.045,0.048,-0.007,0.11,0.107,0.055,0.103
FFV,-0.015,0.005,0.032,0.151,-0.049,-1.066,0.003,0.003,0.032,-0.008,0.079,0.032,0.063,0.201,0.081,0.069,0.209,-0.047,0.051,0.138,0.084
Spices,0.085,0.109,0.026,0.013,0.074,0.004,-0.98,0.016,0.047,0.184,-0.005,0.028,0.129,0.065,0.045,0.016,-0.028,0.079,0.076,-0.054,0.051
PBF,0.186,0.112,0.051,0.078,0.052,0.003,0.011,-1.149,0.077,0.046,0.12,0.1,0.085,0.096,0.085,0.009,-0.244,0.035,0.221,-0.014,0.081
PBD,0.076,0.057,-0.033,0.082,0.036,0.019,0.02,0.05,-1.016,0.05,0.029,0.033,0.161,0.038,0.068,0.038,-0.15,0.173,0.099,0.093,0.047
PBS,0.008,0.234,0.024,0.026,0.024,-0.005,0.076,0.029,0.049,-1.062,0.031,0.014,0.155,0.067,-0.036,0.011,-0.043,0.22,-0.004,0.13,0.069
Starch,0.07,0.071,0.033,0.14,0.025,0.082,-0.003,0.13,0.049,0.053,-1.213,0.059,0.077,0.145,0.108,-0.014,-0.026,-0.008,0.096,0.012,0.006
PFV,0.086,0.153,0.041,0.067,0.025,0.033,0.02,0.108,0.055,0.024,0.058,-1.194,0.092,0.106,0.072,0.038,-0.063,0.093,0.099,0.012,0.045
Beef,0.1,0.051,0.039,0.074,0.038,0.021,0.03,0.03,0.089,0.088,0.026,0.03,-1.137,0.086,0.102,0.035,-0.003,0.062,0.105,0.017,0.005
OM,0.115,0.095,0.042,0.007,0.015,0.102,0.023,0.052,0.031,0.057,0.072,0.053,0.129,-1.411,0.059,0.04,0.124,0.101,0.085,0.11,0.019
CM,0.079,0.137,0.049,0.102,0.042,0.044,0.017,0.049,0.061,-0.033,0.057,0.038,0.164,0.063,-1.191,0.056,0.037,0.002,0.115,0.056,0.067
ABF,0.197,0.12,0.082,0.104,0.085,0.07,0.012,0.01,0.064,0.019,-0.014,0.038,0.105,0.08,0.105,-1.367,0.008,0.058,0.047,0.033,-0.021
Cheese,-0.102,0.158,0.146,0.245,-0.005,0.079,-0.007,-0.097,-0.092,-0.027,-0.009,-0.023,-0.003,0.092,0.026,0.003,-0.78,-0.025,0.025,0.13,-0.147
Fish,0.015,0.232,0.02,0.004,0.098,-0.024,0.028,0.019,0.145,0.189,-0.004,0.047,0.095,0.102,0.002,0.029,-0.034,-1.176,0.102,0.057,0.068
Dairy,0.117,0.109,0.06,0.101,0.072,0.02,0.021,0.092,0.063,-0.002,0.036,0.038,0.121,0.065,0.083,0.018,0.026,0.078,-1.3,0.033,-0.028
PrepM,0.023,0.096,0.095,0.087,0.048,0.07,-0.019,-0.007,0.077,0.11,0.006,0.006,0.025,0.11,0.052,0.016,0.174,0.056,0.043,-1.139,0.052
PrepD,0.01,0.091,0.026,0.004,0.086,0.041,0.017,0.042,0.037,0.056,0.003,0.021,0.007,0.018,0.06,-0.01,-0.19,0.064,-0.035,0.05,-1.48
