product,Juic,Alc,SD,Wat,Cof,FFV,Spices,PBF,PBD,PBS,Starch,PFV,Beef,OM,CM,ABF,Cheese,Fish,Dairy,PrepM,PrepD
Juic,-1.259,0.17,0.148,0.057,0.085,-0.005,0.028,0.09,0.057,0.003,0.03,0.038,0.142,0.107,0.065,0.085,-0.111,0.02,0.126,0.02,0.008
Alc,0.101,-1.216,0.12,0.041,0.074,0.003,0.021,0.033,0.027,0.101,0.018,0.04,0.051,0.056,0.068,0.03,0.124,0.128,0.067,0.051,0.049
SD,0.214,0.294,-1.484,0.037,0.098,0.018,0.009,0.032,-0.042,0.015,0.016,0.021,0.07,0.05,0.05,0.047,0.252,0.024,0.08,0.113,0.024
Wat,0.062,0.075,0.027,-1.408,0.028,0.075,0.005,0.041,0.066,0.017,0.066,0.032,0.115,0.011,0.091,0.048,0.328,0.011,0.117,0.083,0.002
Cof,0.101,0.148,0.08,0.031,-0.942,-0.024,0.029,0.032,0.034,0.02,0.014,0.014,0.073,0.022,0.044,0.044,0.007,0.111,0.093,0.052,0.096
FFV,-0.011,0.01,0.027,0.151,-0.044,-1.064,0.003,0.004,0.032,-0.013,0.078,0.031,0.07,0.202,0.078,0.066,0.216,-0.041,0.04,0.134,0.08
Spices,0.087,0.113,0.02,0.014,0.078,0.005,-0.98,0.017,0.047,0.177,-0.006,0.027,0.135,0.068,0.044,0.014,-0.018,0.084,0.065,-0.055,0.048
PBF,0.186,0.116,0.045,0.078,0.055,0.004,0.011,-1.145,0.077,0.041,0.117,0.098,0.091,0.099,0.082,0.007,-0.23,0.041,0.208,-0.015,0.077
PBD,0.079,0.061,-0.04,0.084,0.039,0.02,0.02,0.051,-1.016,0.045,0.028,0.032,0.169,0.041,0.067,0.036,-0.142,0.179,0.089,0.091,0.044
PBS,0.004,0.258,0.015,0.023,0.025,-0.009,0.085,0.03,0.05,-1.082,0.03,0.011,0.173,0.072,-0.049,0.007,-0.05,0.249,-0.024,0.139,0.069
Starch,0.073,0.075,0.027,0.145,0.028,0.085,-0.004,0.135,0.049,0.048,-1.226,0.059,0.084,0.153,0.109,-0.018,-0.022,-0.006,0.087,0.008,0.001
PFV,0.09,0.16,0.034,0.069,0.027,0.033,0.02,0.112,0.055,0.017,0.059,-1.205,0.099,0.112,0.071,0.036,-0.06,0.1,0.09,0.008,0.041
Beef,0.098,0.059,0.033,0.073,0.042,0.022,0.03,0.03,0.085,0.079,0.024,0.029,-1.113,0.086,0.096,0.032,0.012,0.067,0.091,0.017,0.006
OM,0.113,0.099,0.037,0.011,0.02,0.098,0.023,0.051,0.032,0.051,0.068,0.05,0.133,-1.381,0.056,0.037,0.13,0.103,0.073,0.104,0.018
CM,0.082,0.144,0.044,0.105,0.046,0.045,0.017,0.05,0.061,-0.041,0.057,0.038,0.175,0.066,-1.202,0.055,0.045,0.006,0.107,0.054,0.065
ABF,0.212,0.127,0.08,0.111,0.093,0.075,0.011,0.009,0.066,0.011,-0.019,0.038,0.114,0.086,0.109,-1.406,0.011,0.064,0.035,0.029,-0.031
Cheese,-0.082,0.155,0.129,0.224,0.004,0.073,-0.004,-0.083,-0.077,-0.024,-0.007,-0.019,0.012,0.091,0.026,0.003,-0.789,-0.011,0.019,0.118,-0.128
Fish,0.021,0.223,0.017,0.01,0.096,-0.019,0.028,0.02,0.135,0.17,-0.003,0.044,0.1,0.1,0.005,0.027,-0.015,-1.149,0.088,0.054,0.064
Dairy,0.13,0.117,0.057,0.111,0.081,0.019,0.021,0.104,0.067,-0.016,0.037,0.039,0.137,0.071,0.088,0.015,0.027,0.088,-1.38,0.028,-0.047
PrepM,0.023,0.101,0.092,0.09,0.052,0.072,-0.021,-0.009,0.079,0.108,0.004,0.004,0.029,0.116,0.051,0.014,0.189,0.062,0.032,-1.151,0.049
PrepD,0.009,0.095,0.019,0.003,0.092,0.042,0.017,0.043,0.037,0.052,0.0,0.02,0.009,0.02,0.059,-0.014,-0.197,0.07,-0.052,0.047,-1.516
