product,Juic,Alc,SD,Wat,Cof,FFV,Spices,PBF,PBD,PBS,Starch,PFV,Beef,OM,CM,ABF,Cheese,Fish,Dairy,PrepM,PrepD
Juic,-1.352,0.212,0.166,0.06,0.094,-0.013,0.027,0.106,0.055,-0.012,0.029,0.038,0.168,0.125,0.066,0.103,-0.146,0.024,0.134,0.011,-0.011
Alc,0.081,-1.132,0.095,0.045,0.068,0.008,0.018,0.032,0.023,0.083,0.016,0.034,0.068,0.059,0.059,0.03,0.127,0.127,0.055,0.049,0.042
SD,0.249,0.375,-1.649,0.034,0.112,0.016,0.004,0.032,-0.073,0.002,0.011,0.017,0.077,0.053,0.047,0.055,0.316,0.027,0.077,0.13,0.008
Wat,0.05,0.099,0.019,-1.39,0.028,0.074,0.002,0.04,0.059,0.012,0.061,0.028,0.125,0.017,0.085,0.049,0.332,0.025,0.104,0.08,-0.004
Cof,0.09,0.172,0.072,0.032,-0.942,-0.024,0.027,0.032,0.028,0.014,0.011,0.011,0.084,0.026,0.039,0.046,0.019,0.125,0.083,0.051,0.089
FFV,-0.021,0.036,0.018,0.15,-0.042,-1.061,0.001,0.004,0.025,-0.017,0.073,0.028,0.081,0.202,0.073,0.066,0.225,-0.025,0.031,0.13,0.071
Spices,0.081,0.14,0.007,0.009,0.083,0.001,-0.982,0.015,0.041,0.198,-0.014,0.024,0.156,0.074,0.039,0.014,-0.023,0.103,0.057,-0.076,0.04
PBF,0.176,0.139,0.036,0.08,0.055,0.004,0.008,-1.147,0.071,0.035,0.115,0.096,0.102,0.104,0.078,0.008,-0.221,0.054,0.2,-0.017,0.07
PBD,0.071,0.078,-0.063,0.091,0.037,0.019,0.018,0.054,-1.033,0.041,0.025,0.03,0.194,0.043,0.066,0.04,-0.169,0.214,0.084,0.097,0.035
PBS,-0.017,0.309,0.002,0.02,0.02,-0.014,0.094,0.03,0.045,-1.109,0.028,0.006,0.199,0.08,-0.07,0.005,-0.06,0.296,-0.048,0.153,0.064
Starch,0.063,0.094,0.016,0.161,0.024,0.095,-0.011,0.152,0.044,0.044,-1.269,0.062,0.095,0.173,0.115,-0.023,-0.025,-0.002,0.082,0.0,-0.015
PFV,0.083,0.193,0.025,0.074,0.024,0.035,0.017,0.124,0.051,0.009,0.061,-1.241,0.112,0.124,0.071,0.04,-0.068,0.119,0.085,0.001,0.032
Beef,0.082,0.086,0.025,0.073,0.043,0.023,0.025,0.03,0.074,0.069,0.021,0.025,-1.08,0.087,0.086,0.032,0.032,0.078,0.077,0.019,0.003
OM,0.098,0.122,0.028,0.015,0.022,0.093,0.019,0.049,0.026,0.044,0.061,0.045,0.14,-1.345,0.051,0.037,0.139,0.113,0.062,0.099,0.013
CM,0.073,0.172,0.035,0.113,0.045,0.048,0.014,0.052,0.057,-0.055,0.058,0.036,0.195,0.072,-1.233,0.06,0.054,0.013,0.102,0.053,0.059
ABF,0.192,0.149,0.069,0.109,0.09,0.073,0.009,0.009,0.058,0.007,-0.02,0.034,0.123,0.088,0.101,-1.381,0.028,0.077,0.026,0.029,-0.034
Cheese,-0.074,0.17,0.107,0.202,0.01,0.068,-0.004,-0.068,-0.067,-0.021,-0.006,-0.016,0.033,0.09,0.025,0.007,-0.795,0.011,0.014,0.107,-0.111
Fish,0.016,0.222,0.012,0.02,0.087,-0.01,0.023,0.022,0.111,0.139,-0.001,0.037,0.107,0.096,0.008,0.027,0.015,-1.097,0.072,0.052,0.053
Dairy,0.135,0.145,0.051,0.126,0.088,0.018,0.019,0.121,0.066,-0.034,0.037,0.04,0.16,0.079,0.093,0.014,0.028,0.109,-1.488,0.021,-0.076
PrepM,0.011,0.124,0.084,0.093,0.052,0.075,-0.025,-0.01,0.074,0.105,0.0,0.0,0.038,0.122,0.046,0.015,0.204,0.075,0.021,-1.158,0.041
PrepD,-0.011,0.118,0.006,-0.005,0.1,0.046,0.014,0.045,0.03,0.049,-0.007,0.016,0.006,0.017,0.057,-0.02,-0.236,0.086,-0.082,0.045,-1.629
