product,Juic,Alc,SD,Wat,Cof,FFV,Spices,PBF,PBD,PBS,Starch,PFV,Beef,OM,CM,ABF,Cheese,Fish,Dairy,PrepM,PrepD,age,revenus
Juic,-1.252,0.17,0.149,0.056,0.08,-0.005,0.028,0.09,0.057,0.006,0.031,0.039,0.133,0.102,0.066,0.084,-0.121,0.017,0.125,0.021,0.007,0,3
Alc,0.101,-1.212,0.123,0.04,0.07,0.003,0.022,0.034,0.027,0.103,0.019,0.041,0.042,0.051,0.069,0.03,0.109,0.124,0.067,0.052,0.047,0,3
SD,0.203,0.279,-1.438,0.037,0.09,0.019,0.011,0.033,-0.035,0.019,0.018,0.023,0.062,0.046,0.051,0.045,0.224,0.023,0.078,0.108,0.024,0,3
Wat,0.063,0.076,0.031,-1.415,0.024,0.076,0.005,0.043,0.067,0.019,0.067,0.033,0.107,0.006,0.093,0.049,0.318,0.006,0.118,0.084,0.0,0,3
Cof,0.106,0.153,0.087,0.028,-0.945,-0.028,0.031,0.034,0.034,0.021,0.014,0.014,0.064,0.016,0.045,0.046,-0.013,0.112,0.096,0.054,0.098,0,3
FFV,-0.01,0.012,0.03,0.15,-0.048,-1.064,0.004,0.005,0.032,-0.01,0.078,0.032,0.061,0.197,0.079,0.066,0.202,-0.044,0.041,0.135,0.078,0,3
Spices,0.087,0.114,0.024,0.015,0.073,0.006,-0.979,0.019,0.047,0.174,-0.004,0.028,0.125,0.063,0.045,0.014,-0.028,0.079,0.065,-0.05,0.046,0,3
PBF,0.181,0.116,0.048,0.076,0.051,0.005,0.012,-1.136,0.075,0.043,0.114,0.096,0.082,0.093,0.082,0.008,-0.23,0.038,0.202,-0.011,0.074,0,3
PBD,0.08,0.063,-0.036,0.083,0.036,0.02,0.021,0.052,-1.016,0.048,0.029,0.033,0.16,0.037,0.068,0.036,-0.155,0.175,0.089,0.092,0.042,0,3
PBS,0.009,0.248,0.02,0.025,0.023,-0.006,0.081,0.031,0.049,-1.071,0.031,0.013,0.158,0.067,-0.041,0.008,-0.055,0.232,-0.018,0.133,0.065,0,3
Starch,0.073,0.076,0.031,0.141,0.025,0.083,-0.003,0.133,0.049,0.05,-1.217,0.06,0.076,0.146,0.108,-0.017,-0.032,-0.007,0.086,0.01,0.0,0,3
PFV,0.089,0.158,0.038,0.068,0.025,0.033,0.021,0.109,0.055,0.021,0.058,-1.191,0.09,0.104,0.071,0.036,-0.067,0.094,0.088,0.011,0.04,0,3
Beef,0.104,0.056,0.036,0.075,0.038,0.022,0.032,0.032,0.09,0.086,0.025,0.031,-1.143,0.086,0.103,0.033,-0.01,0.064,0.096,0.014,-0.001,0,3
OM,0.119,0.101,0.04,0.006,0.014,0.104,0.024,0.054,0.031,0.055,0.072,0.053,0.128,-1.42,0.058,0.038,0.12,0.103,0.075,0.11,0.013,0,3
CM,0.082,0.143,0.047,0.103,0.042,0.045,0.018,0.051,0.061,-0.036,0.057,0.039,0.164,0.062,-1.195,0.054,0.031,0.003,0.105,0.055,0.062,0,3
ABF,0.214,0.128,0.084,0.11,0.089,0.075,0.012,0.01,0.066,0.014,-0.018,0.04,0.106,0.082,0.11,-1.407,-0.003,0.061,0.035,0.03,-0.033,0,3
Cheese,-0.112,0.169,0.152,0.261,-0.009,0.084,-0.008,-0.106,-0.103,-0.036,-0.013,-0.027,-0.012,0.095,0.023,-0.001,-0.773,-0.03,0.011,0.135,-0.169,0,3
Fish,0.019,0.233,0.019,0.006,0.096,-0.022,0.029,0.021,0.142,0.182,-0.004,0.046,0.092,0.099,0.003,0.027,-0.036,-1.167,0.091,0.055,0.062,0,3
Dairy,0.131,0.118,0.06,0.11,0.077,0.019,0.022,0.105,0.067,-0.013,0.038,0.041,0.128,0.067,0.089,0.015,0.013,0.085,-1.379,0.029,-0.048,0,3
PrepM,0.025,0.102,0.094,0.089,0.048,0.072,-0.019,-0.007,0.078,0.11,0.005,0.006,0.022,0.111,0.052,0.014,0.172,0.058,0.032,-1.146,0.047,0,3
PrepD,0.008,0.096,0.021,0.0,0.09,0.043,0.018,0.045,0.037,0.055,0.0,0.021,-0.002,0.014,0.061,-0.016,-0.223,0.067,-0.056,0.048,-1.543,0,3
Juic,-1.259,0.17,0.148,0.057,0.085,-0.005,0.028,0.09,0.057,0.003,0.03,0.038,0.142,0.107,0.065,0.085,-0.111,0.02,0.126,0.02,0.008,1,3
Alc,0.101,-1.216,0.12,0.041,0.074,0.003,0.021,0.033,0.027,0.101,0.018,0.04,0.051,0.056,0.068,0.03,0.124,0.128,0.067,0.051,0.049,1,3
SD,0.214,0.294,-1.484,0.037,0.098,0.018,0.009,0.032,-0.042,0.015,0.016,0.021,0.07,0.05,0.05,0.047,0.252,0.024,0.08,0.113,0.024,1,3
Wat,0.062,0.075,0.027,-1.408,0.028,0.075,0.005,0.041,0.066,0.017,0.066,0.032,0.115,0.011,0.091,0.048,0.328,0.011,0.117,0.083,0.002,1,3
Cof,0.101,0.148,0.08,0.031,-0.942,-0.024,0.029,0.032,0.034,0.02,0.014,0.014,0.073,0.022,0.044,0.044,0.007,0.111,0.093,0.052,0.096,1,3
FFV,-0.011,0.01,0.027,0.151,-0.044,-1.064,0.003,0.004,0.032,-0.013,0.078,0.031,0.07,0.202,0.078,0.066,0.216,-0.041,0.04,0.134,0.08,1,3
Spices,0.087,0.113,0.02,0.014,0.078,0.005,-0.98,0.017,0.047,0.177,-0.006,0.027,0.135,0.068,0.044,0.014,-0.018,0.084,0.065,-0.055,0.048,1,3
PBF,0.186,0.116,0.045,0.078,0.055,0.004,0.011,-1.145,0.077,0.041,0.117,0.098,0.091,0.099,0.082,0.007,-0.23,0.041,0.208,-0.015,0.077,1,3
