product,Well-off/Aged less than 30,Well-off/Aged between 30 and 45,Well-off/Aged between 45 and 60,Well-off/Aged more than 60,Upper Average/Aged less than 30,Upper-Average/Aged between 30 and 45,Upper-Average/Aged between 45 and 60,Upper-Average/Aged more than 60,Lower- Average/Aged less than 30,Lower-Average/Aged between 30 and 45,Lower-Average/Aged between 45 and 60,Lower-Average/Aged more than 60,Modest/Aged less than 30,Modest/Aged between 30 and 45,Modest/Aged between 45 and 60,Modest/Aged more than 60,Whole sample
Juic,0.978,0.98,0.979,0.976,0.979,0.982,0.98,0.976,0.978,0.982,0.98,0.975,0.975,0.979,0.977,0.968,0.967
Alc,0.961,0.965,0.97,0.972,0.963,0.966,0.969,0.972,0.962,0.965,0.969,0.971,0.961,0.964,0.967,0.966,0.953
SD,1.045,1.043,1.044,1.055,1.038,1.04,1.041,1.047,1.038,1.038,1.039,1.045,1.044,1.039,1.04,1.048,1.037
Wat,0.899,0.911,0.919,0.916,0.909,0.924,0.927,0.928,0.912,0.925,0.929,0.929,0.893,0.919,0.92,0.921,0.939
Cof,1.014,1.012,1.011,1.012,1.013,1.011,1.011,1.01,1.013,1.011,1.011,1.01,1.014,1.013,1.012,1.012,1.01
FFV,0.837,0.854,0.855,0.862,0.852,0.859,0.864,0.875,0.852,0.866,0.868,0.875,0.85,0.86,0.86,0.865,0.862
Spices,1.03,1.028,1.03,1.032,1.028,1.028,1.03,1.031,1.029,1.03,1.031,1.032,1.034,1.036,1.038,1.038,1.037
PBF,0.972,0.974,0.973,0.974,0.973,0.974,0.975,0.977,0.973,0.975,0.976,0.978,0.971,0.974,0.974,0.976,0.977
PBD,0.837,0.854,0.843,0.833,0.855,0.859,0.853,0.846,0.854,0.866,0.857,0.845,0.847,0.858,0.842,0.821,0.839
PBS,0.972,0.973,0.97,0.969,0.976,0.977,0.973,0.972,0.979,0.978,0.974,0.972,0.976,0.977,0.972,0.97,0.954
Starch,0.809,0.823,0.806,0.801,0.831,0.84,0.827,0.825,0.839,0.853,0.838,0.832,0.833,0.848,0.834,0.809,0.825
PFV,0.883,0.89,0.878,0.877,0.895,0.898,0.887,0.885,0.901,0.904,0.89,0.891,0.892,0.897,0.881,0.876,0.882
Beef,1.006,1.005,1.005,1.004,1.005,1.005,1.004,1.004,1.005,1.004,1.004,1.004,1.005,1.004,1.004,1.004,1.002
OM,0.871,0.893,0.902,0.904,0.887,0.905,0.911,0.913,0.902,0.918,0.918,0.92,0.9,0.92,0.915,0.913,0.9
CM,0.948,0.953,0.953,0.949,0.955,0.958,0.958,0.955,0.958,0.963,0.961,0.958,0.955,0.963,0.958,0.954,0.955
ABF,0.996,0.996,0.996,0.996,0.996,0.997,0.997,0.997,0.997,0.997,0.997,0.997,0.997,0.997,0.997,0.997,0.997
Cheese,0.085,0.33,0.411,0.44,0.245,0.403,0.437,0.453,0.287,0.454,0.439,0.413,0.174,0.365,0.351,0.299,0.395
Fish,0.852,0.876,0.893,0.903,0.863,0.882,0.892,0.904,0.863,0.887,0.891,0.906,0.85,0.876,0.873,0.893,0.869
Dairy,0.931,0.938,0.93,0.926,0.948,0.953,0.943,0.937,0.959,0.962,0.95,0.941,0.957,0.963,0.951,0.938,0.952
PrepM,0.939,0.944,0.945,0.944,0.947,0.949,0.949,0.944,0.948,0.953,0.95,0.943,0.947,0.951,0.946,0.939,0.934
PrepD,0.988,0.989,0.989,0.988,0.99,0.992,0.991,0.989,0.991,0.993,0.991,0.99,0.991,0.993,0.991,0.989,1.003
