,conso_CN_2017,conso_bdf2017,inflator
poste_01_1_1,23186100000.0,22535825214.630714,1.0288551574737594
poste_01_1_2,30573700000.0,27538446883.950653,1.1102187472242049
poste_01_1_3,7408100000.0,8487781487.206177,0.8727957960706688
poste_01_1_4,18608400000.0,16487830797.485495,1.1286142021082546
poste_01_1_5,3151800000.0,2575687827.075906,1.2236731357224044
poste_01_1_6,9991100000.0,9672861024.963253,1.0329001909792201
poste_01_1_7,15425100000.0,12846024040.616179,1.2007684207369826
poste_01_1_8,11204100000.0,7465012180.88168,1.5008816768838418
poste_01_1_9,15107000000.0,4330709842.148578,3.488342685296373
poste_01_2_1,2812000000.0,2899172131.2092237,0.9699320608559848
poste_01_2_2,3652500000.0,2868069027.4373913,1.2735049139537253
poste_01_2_3,545800000.0,595183246.3698637,0.9170285005986617
poste_01_2_5,2416600000.0,1896022067.0569525,1.274563224757769
poste_01_2_6,2236700000.0,1362309160.6168551,1.641844644858161
poste_01_2_9,1322700000.0,164136699.17484775,8.058526866017846
poste_02_1_1,5440400000.0,2860386245.2142076,1.9019808982449435
poste_02_1_2,11311800000.0,5022633157.57053,2.2521652776790826
poste_02_1_3,3749000000.0,1768971655.5461185,2.1193103847911035
poste_02_1_9,236600000.0,1497122138.6785183,0.1580365381603684
poste_02_3,20277700000.0,11497954446.730877,1.7635919583735522
poste_02_4,3357000000.0,0.0,inf
poste_03_1_1,124800000.0,120837999.11651453,1.0327877067847278
poste_03_1_2,34785100000.0,25637462252.392654,1.3568074584587102
poste_03_1_3,3964300000.0,1204551921.2916133,3.2910993124722863
poste_03_1_4,422000000.0,473525452.26517963,0.8911875760453848
poste_03_2_1,7246300000.0,8154023002.057882,0.8886778953372103
poste_03_2_2,142300000.0,81235799.26623589,1.7516907728529518
poste_04_1_1,58326800000.0,56689449113.303635,1.028882815273506
poste_04_1_2,764100000.0,1383504065.404967,0.5522932813185044
poste_04_2_1,166267000000.0,135074281361.28577,1.230930109894736
poste_04_2_2,22887700000.0,0.0,inf
poste_04_3_1,2674100000.0,3212941672.655723,0.8322902412945665
poste_04_3_2,22127600000.0,1802354834.4746735,12.277049766645678
poste_04_4_1,4445600000.0,7197061437.626135,0.6176965471988979
poste_04_4_2,4233700000.0,9231038.254483702,458.6374666948874
poste_04_4_3,5507200000.0,0.0,inf
poste_04_4_4,5092700000.0,16817670902.102823,0.30281838844659675
poste_04_5_1,26769800000.0,21465412869.26898,1.2471132124518818
poste_04_5_2,11917600000.0,7365550802.830944,1.6180188446218413
poste_04_5_3,3062400000.0,3546685647.8919063,0.8634540255407868
poste_04_5_4,2514300000.0,1584849602.522965,1.5864596842485355
poste_04_5_5,1950400000.0,17662571.28857266,110.42559818353688
poste_05_1,15799300000.0,12205635378.27807,1.2944266734460579
poste_05_2,2936100000.0,2461191032.6348042,1.1929590028031212
poste_05_3_1,8094300000.0,4873893403.023397,1.6607462106124242
poste_05_3_2,1943600000.0,646428382.147019,3.0066749135373847
poste_05_3_3,584300000.0,77621341.5748391,7.527568941032068
poste_05_4,4250300000.0,2279928673.9484735,1.8642249858804385
poste_05_5_1,1224300000.0,1871777693.5829265,0.6540840849836526
poste_05_5_2,2590700000.0,3800558828.3552895,0.6816629124830935
poste_05_5_3,584300000.0,294647439.8004895,1.9830479450140104
poste_05_6_1,10710000000.0,6694845293.5886,1.5997382359614136
poste_05_6_2,3105500000.0,8046160635.091629,0.3859604774053377
poste_06_1,17974300000.0,7277704217.488353,2.469776108351269
poste_06_2,20965400000.0,6304308676.415036,3.3255668584936795
poste_06_3,6295500000.0,729265559.8362052,8.632657767924737
poste_06_4,3534900000.0,250170134.41739348,14.129984013608263
poste_07_1_1,35944400000.0,51787441731.311356,0.6940756059449747
poste_07_1_2,2362300000.0,2130890611.7158916,1.1085974976903046
poste_07_1_3,1291200000.0,1022979862.2843302,1.2621949342352936
poste_07_2_1,25940600000.0,3760211522.7082567,6.898707650711237
poste_07_2_2,42463600000.0,31655043439.452442,1.3414481670581628
poste_07_2_3,4668300000.0,8249290432.025004,0.565903217793975
poste_07_2_4,13508400000.0,3884905051.0096445,3.4771506182601075
poste_07_3_1,6992200000.0,4862097705.205358,1.4381035561079236
poste_07_3_2,5722300000.0,1815183459.5279145,3.152463719280602
poste_07_3_3,10811300000.0,4413331389.235417,2.449691411428996
poste_07_3_4,569400000.0,563330793.6065831,1.010773787732356
poste_07_3_5,2474000000.0,3164541806.315959,0.7817877441411141
poste_07_4_1,2110199999.9999998,647518867.5576651,3.258901177597076
poste_07_4_9,1435300000.0,0.0,inf
poste_08_1,14683200000.0,5096746075.159929,2.8808969062754928
poste_08_2,233800000.0,0.0,inf
poste_08_3,30948300000.0,17819838687.951912,1.7367328931503914
poste_09_1_1,879600000.0,556994291.4345188,1.5791903319774099
poste_09_1_2,6464800000.0,2705081590.206356,2.389872462037951
poste_09_2_1,7939800000.0,3458459906.426278,2.295761759518101
poste_09_2_2,6575500000.0,3520012179.925645,1.8680333089469303
poste_09_3_1,5475000000.0,4172353733.640834,1.312208971127303
poste_09_3_2,5487000000.0,4656730282.359113,1.178294568784918
poste_09_4_1,140000000.0,187434286.40059108,0.7469284445684987
poste_09_4_2,11195700000.0,9480498994.849606,1.1809188531196722
poste_09_4_7,10137000000.0,1094940831.4570613,9.258034506312525
poste_09_5_1,263500000.0,458957413.501023,0.5741273422079991
poste_09_5_2,938100000.0,1399905937.062649,0.6701164522299028
poste_09_6_1,7165200000.0,2846067621.1858034,2.517578973409861
poste_09_6_2,866000000.0,523951385.9998752,1.6528250962584652
poste_09_6_3,4575600000.0,2412202461.6204967,1.8968557046103631
poste_09_6_9,313200000.0,7534041248.353699,0.04157131474007245
poste_09_7_1,3727600000.0,3379200933.936286,1.103101020884804
poste_09_7_2,4858700000.0,3333871693.8576756,1.4573746221102832
poste_09_7_3,742000000.0,361807921.48796946,2.05081192514651
poste_09_7_4,1555100000.0,2054210866.685084,0.7570303639321566
poste_09_8,3859100000.0,10481775890.772015,0.3681723440965275
poste_10_1,590700000.0,620958221.7620968,0.9512717269831248
poste_10_2,785300000.0,717299190.8555076,1.0948011792169865
poste_10_3,105800000.0,0.0,inf
poste_10_4,3109700000.0,3322043117.3524923,0.9360805655280839
poste_10_5,4287399999.9999995,688211645.3415204,6.229769619594864
poste_11_1_1,54876800000.0,29459959387.570732,1.862758847629394
poste_11_1_2,10530200000.0,10325810352.059898,1.019794054023017
poste_11_2,19389200000.0,9787912255.497667,1.9809331646909165
poste_12_1_1,27801300000.0,1088138490.3651779,25.54941328347821
poste_12_1_2,12433500000.0,31466950070.812603,0.3951288565310555
poste_12_1_3,7077300000.0,10710746827.415243,0.6607662485201249
poste_12_1_4,8169700000.0,19305764735.63632,0.4231741198482354
poste_12_1_9,1834800000.0,4228838948.744961,0.43387795615733576
poste_12_2,14567700000.0,4212446036.9871697,3.4582520160707215
