Code,conso_CN_2017,conso_bdf2017,inflateur
poste_01,147641700000.0,126558517616.19775,1.1665884112813272
poste_02,44372500000.0,22769282779.833675,1.9487877782123153
poste_03,46684800000.0,39373557642.18781,1.1856891476318707
poste_04,338541000000.0,263341119399.63644,1.2855607235657076
poste_05,51822700000.0,44626189503.00444,1.1612620431442182
poste_06,48770100000.0,14561448588.157013,3.349261559022724
poste_07,156293500000.0,128803946002.77725,1.2134216757352296
poste_08,45865300000.0,22916584763.111813,2.001402062048447
poste_09,83158500000.0,71440594852.93701,1.1640230623944932
poste_10,8878900000.0,6137827496.527738,1.4465867613618872
poste_11,84796200000.0,56919092435.17008,1.4897672533444115
poste_12,71884300000.0,73651981566.5035,0.9759995382485754
