poste2005,posteCOICOP,label2005
111,111,riz sous toutes ses formes et produits à base de riz
112,111,pain et autres produits de boulangerie et de viennoiserie (y.c. biscuits et gate
113,111,pâtes alimentaires sous toutes leurs formes et plats à base de pâtes
114,111,"préparations telles que pâte à patisser, gateau industriel, tarte, tourte, quich"
115,111,"autres céréales et produits à base de céréales (y.c. farine, semoule, céréales p"
121,112,viande bovine fraîche ou surgelée
122,112,viande porcine fraîche ou surgelée
123,112,viande ovine ou caprine fraîche ou surgelée
124,112,viande de volaille fraîche ou surgelée
125,112,"viande séchée salée ou fumée, charcuterie et abats, frais ou surgelé"
126,112,"conserve viande, produit de transformation des viandes, plat préparé à base de v"
127,112,"autres viandes comestibles fraîches ou surgelées (cheval, lapin, gibier)"
130,113,poissons frais ou s.a.i.
131,113,poissons surgelés ou congelés (hors poissons panés ou cuisinés)
132,113,"fruits de mer frais ou surgelés (y.c. cuits , nc cuisinés )"
133,113,"poissons et fruits de mer salés, fumés, séchés yc surgelé"
134,113,conserves de poisson et de fruits de mer ou produits de la transformation de poi
141,114,lait entier
142,114,"lait demi-écrémé, écrémé"
143,114,lait de conserve
144,114,"yaourts, fromage blanc et petits suisses y.c. de soja"
145,114,fromage et lait caillé
146,114,"autres produits laitiers (dessert à base de lait, crème fraîche, lait aromatisés"
147,114,oeufs
151,115,beurre
152,1151,margarine et autres graisses végétales
153,115,huiles alimentaires d'olives
154,115,"huiles alimentaires d'arachide, de tournesol, de maÏs, colza…"
155,115,saindoux et autres graisses d'origine animale
161,116,agrumes (frais ou congelés)
162,116,bananes fraiches
163,116,pommes
164,116,poires
165,116,fruits à noyaux (frais ou congelés)
166,116,baies (fraîches ou congelées)
167,116,"autres fruits, fruits tropicaux (frais ou congelés)"
168,116,fruits séchés
169,116,fruits au sirop et fruits surgelés
171,117,"légumes frais à feuilles et à tiges, herbes aromatiques (frais)"
172,117,choux (frais)
173,117,légumes frais cultivés pour leurs fruits
174,117,racines alimentaires fraiches et champignons frais
175,117,légumes secs
176,117,légumes surgelés (non cuisinés)
177,117,"légumes et plats à base de légume, en conserve (sans pommes de terre)"
178,117,"légumes préparés et plats à base de légumes, frais et surgelés"
179,117,"pomme de terre, autres tubercules, produits à base de pommes de terre et tubercu"
181,118,sucre
182,118,"confitures, marmelade, compote, gelées, purées et pâtes de fruits, miel"
183,118,chocolat
184,1181,"sucreries, bonbons et autres confiseries"
185,118,"crèmes glacées, sorbets, entremets glacés"
186,118,autres produits à base de sucre
191,119,sauces et condiments
192,119,sel et épices sèches
193,119,"levure , préparations pour desserts, soupes"
194,119,autres produits alimentaires
211,121,café
212,121,thé et plantes à infusion
213,121,cacao et chocolat en poudre
221,122,eaux minérales
222,122,boissons gazeuses
223,122,"jus de fruits et de légumes, sirops, boissons aromatisées"
224,122,jus de légumes
311,119,"autres dépenses d'alimentation : cérémonies, séjours hors domicile, personne viv"
312,119,autres dépenses d'alimentation : cadeau offert (à destination d'un autre ménage
111,211,spiritueux et liqueurs
121,212,vins et cidres
122,212,"autres apéritifs à base de vin, champagne et autres mousseux, saké et autres"
131,213,bière et boissons à base de bière
211,2201,cigarettes
212,2202,cigares et cigarillos
213,2203,tabac sous d'autres formes et produits connexes
111,311,tissus pour vêtements
121,312,"manteaux, imperméables, fourrures, veste, blouson, anorak…"
122,312,"costumes, tailleurs, complet, ensemble…"
123,312,"pantalons, robes et jupes, jeans, salopette, bermuda, calecons longs, short.."
124,312,"pull-over, chandail, cardigans, sweat shirt, sweat polaire…"
125,312,"tee shirt, chemises, chemisiers, polos, corsages, sous pulls, surchemises…"
126,312,"survêtements, shorts, coupe-vent (k.way), maillots de bain… et vêtement spéciaux"
127,312,"chaussettes, mi-bas, collants"
128,312,"sous-vêtements, pyjamas, chemises de nuit, robes de chambre…s.a.i."
131,313,accessoires du vetement et mercerie
141,314,"nettoyage, réparation et location de vêtements"
211,321,chaussures de ville et de travail y.c. boots s.a.i.
212,321,"chaussures de sport et de loisirs hors chaussures spéciales (ski, golf, foot…)"
213,321,"autres chaussures et articles chaussants (pantoufles, espadrilles, chaussures de"
214,321,"achat d'ustensiles des chaussures : lacets, talons, semelles, formes, embauchoir"
221,322,réparation et location de chaussures
311,312,"autres dépenses d'habillement : cérémonies, séjours hors domicile, personnes viv"
312,312,autres dépenses d'habillement : cadeau offert (à destination d'un autre ménage)
111,411,loyers et charges des locataires résidence principale
121,412,loyers et charges des locataires autres résidences
311,431,produits destinés aux travaux courants d'entretien et de réparation du logement
321,432,services d'entretien et petites réparations dans le logement
411,442,enlèvement des ordures
431,441,"factures d'eau résidence principale, autre logement, dépendance, terrain"
441,444,charges collectives relatives au logement (payées isolément du loyer ou crédit)
500,4511,facture électicité + gaz (non dissociables)
511,451,facture d'électricité
521,452,facture de gaz
522,4522,"achats de butane, propane"
531,453,"combustibles liquides pour la résidence princiaple : fuel, mazout, pétrole"
532,453,combustibles liquides résidence secondaire ou autre logement
541,454,combustible solide pour la résidence principale
611,411,autres dépenses d'habitation : cadeau offert (à destination d'un autre ménage)
110,511,meubles informatiques
111,511,"mobilier de chambre (lit, armoire, commode, chevet, bureaux enfant, sommier) hor"
112,511,"mobilier de séjour (buffet, bahut, bibliothèque…)"
113,511,"mobilier de cuisine et de salle de bain y.c. éléments intégrés ou non, tabourets"
114,511,"tables, sièges, chaises hors cuisine et salle de bain"
115,511,"mobilier de jardin (balancelle, table, fauteuil, abri de jardin, portique…) et d"
116,511,"autres meubles, accessoires du mobilier (y.c. luminaires, décoration, équipement"
121,512,"tapis et autres revêtements de sol (lino,moquette…), pose et réparation de ces a"
211,520,"articles de literie (matelas, futon, oreiller, couette, couverture, drap, alèse…"
212,520,"autres articles de ménages en textile (tissu d'ameublement, voilages, linge de m"
311,531,"réfrigérateurs, congélateurs et réfrigérateurs-congélateurs, , cave à vin"
312,531,"lave linge, sèche linge et lave vaisselle"
313,531,gros appareils de cuisson
314,531,appareils de chauffage et de climatisation
315,531,appareils de nettoyage
316,531,machine à coudre et à tricoter
317,531,autres gros appareils ménagers
321,532,petit électroménager
331,533,réparation et entretien des appareils électroménagers
411,540,"verrerie et cristallerie, vaisselle, articles de ménage ou de toilette en faÏenc"
412,540,coutellerie et argenterie
413,540,ustensiles de cuisine et autres articles de ménage et reparation de ces articles
511,551,gros outillage de bricolage
512,551,gros outillage de jardinage
513,551,réparation du gros outillage
521,552,petit outillage et accessoires divers de bricolage yc reparation
522,552,"petit outillage et accessoires divers de jardinage, matériaux d'aménagement exté"
611,561,produits de nettoyage et d'entretien
612,561,"autres produits ménagers (articles en papier et plastique, brosserie, produits d"
621,562,"services domestiques (ménage, garde enfant, jardinage…)"
622,562,"autres services d'entretien pour le logement (blanchisserie, location appareils,"
712,532,autres dépenses en équipement : cadeau offert (à destination d'un autre ménage)
111,611,"produits pharmaceutiques à ingurgiter et traitants, compléments alimentaires, vi"
112,612,autres produits pharmaceutiques
113,613,"appareils et matériels thérapeutiques (lunettes, prothèses…)"
211,621,services médicaux
221,622,"dentiste, orthodonthie"
231,623,services des laboratoires d'analyse médicale et des cabinets de radiologie
232,623,"services des auxiliaires médicaux (infirmier, kiné, laboratoire…)"
233,623,"services extra hospitaliers (ambulance, location matériel)"
311,630,services et soins hospitaliers
412,611,autres dépenses de santé : cadeau offert (à destination d'un autre ménage)
111,711,achats d'automobiles neuves
112,711,achats d'automobiles occasion
121,712,achats de motocycles neufs et occasion
131,713,achats de cycles neufs et occasion
141,711,achats d'autres véhicules neufs et occasion
211,721,pièces détachées et accessoires (hors ceux installés par un professionnel)
221,722,"carburants, électricité,huiles,lubrifiants…"
231,723,"réparations, dépannages, révisions, lavage, entretien et controle technique"
241,724,"services de location d'un local, frais parking"
242,724,"autres services liés à l'utilisation de véhicules personnels (péages, auto école"
300,735,services combinés de transport de voyageurs
311,731,services de transports de voyageurs par chemin de fer
321,732,services de transports de voyageurs par route
331,733,services de transports de voyageurs par air
341,734,services de transport par mer et voies navigables intérieures
351,736,autres services de transport y.c. car scolaire
411,736,"autres dépenses de transport : cérémonie, séjours hors domicile, personnes vivan"
412,736,autres dépenses de transport : cadeau offert (à destination d'un autre ménage)
111,810,services postaux
121,831,"achats et réparation téléphones, télécopieurs et accessoires"
131,832,"services de téléphone, télégraphe et télécopie, internet, recharges tel"
111,911,appareils de réception d'enregistrement et de reproduction du son
112,911,"téléviseurs, home cinéma, magnétoscopes et lecteur dvd de salon"
121,912,equipement photographique et cinématographique et optique yc reparation
131,913,"micro-ordinateurs, matériels et accessoires informatiques, consommables"
141,914,supports vierges ou enregistrés pour l'image et le son
211,922,instruments de musique (non compris petits instruments et accessoires)
212,921,gros équipements liés aux sports et aux loisirs yc reparation
311,931,"jeux jouets et passe temps, petits instruments de musique"
312,932,"equipements de sport, de camping et de loisirs en plein air (pêche, chasse, uste"
321,933,horticulture
331,934,animaux d'agrément
411,941,"services sportifs et récréatifs (spectacles sportifs, participation loisirs, loc"
421,942,"cinémas, théâtres, salles de concert"
422,942,"musées, jardins zoologiques et similaires"
423,942,"services de télévision et de radiodiffusion (location, redevance, abonnement)"
424,942,"autres services de loisirs (animateurs, photographes, services pour animaux)"
431,943,"jeux de hasard (loto, flipper…)"
511,951,livres
521,952,journaux et périodiques
531,953,imprimés divers
541,954,articles de papeterie et de dessin
611,960,"voyages à forfait, week end, excursions… y.c. voyage scolaire"
711,941,"autres dépenses de loisirs : séjours hors domicile, personnes vivant hors du dom"
712,941,autres dépenses de loisirs : cadeau offert (à destination d'un autre ménage)
0111,1010,enseignement maternel et primaire
0121,1020,enseignement secondaire
0131,1040,enseignement supérieur
0141,1050,enseignement ne correspondant à aucun niveau particulier
0152,1050,dépenses d'enseignement offertes en cadeau
1111,11112,restaurants
1112,11113,"cafés bars et assimilés (buffets, buvettes, salons de thé, restauration rapide…)"
1121,1112,cantines
1131,11112,"autres dépenses de restauration : séjours hors domicile, personnes vivant hors d"
1132,11112,autres dépenses de restauration : cadeau offert (à destination d'un autre ménage
1211,1120,services d'hébergement
2111,1211,salons de coiffure et esthétique corporelle
2121,1212,appareils électriques pour les soins personnels
2122,1213,autres articles et produits pour les soins personnels
2211,1231,"articles de bijouterie, de joaillerie et d'horlogerie"
2221,1232,articles de voyage et autre contenants d'effets personnels
2222,1232,autres effets personnels
2311,1240,"services de protection sociale (assistante maternelle, crèche, maison de retrait"
2411,1251,"assurances vie, décès"
2421,1252,assurance liées au logement
2431,1253,assurances liées à la santé
2441,1254,assurances liées aux transports
2451,1255,autres assurances
2511,1261,services financiers
2611,1270,autres services divers
2612,9901,caution pour la location d'un logement
2711,1270,autres dépenses occasionnées par une cérémonie
3111,9911,impôts et taxes de la résidence principale
3121,9912,impôts et taxes résidence secondaire ou autre logement
3141,9913,impôts sur le revenu
3151,9914,taxes automobile
3161,9915,autres impôts et taxes
3211,9903,gros travaux d'entretien et d'équipement dans la résidence principale
3221,9903,gros travaux d'entretien et d'équipement résidence secondaire ou autre logement
3311,9921,remboursements de prêts résidence principale
3321,9922,remboursements de prêts résidence secondaire ou autre logement
3331,9923,autres remboursements de prêts
3411,9931,argent donné au sein du ménage
3541,9932,aides et cadeaux en argent offerts par le ménage (à des membres de la famille ne
3551,9933,cadeaux offerts (argent ou bien) sai
3611,9941,prélèvements de l'employeur
3711,9902,"achats de logements, garages, parkings, box et terrains"
