posteCOICOP;annee;description;categoriefiscale;supplementaire
0111;1994;Pain et céréales;2;0
0111;1995;Pain et céréales;2;0
0111;1996;Pain et céréales;2;0
0111;1997;Pain et céréales;2;0
0111;1998;Pain et céréales;2;0
0111;1999;Pain et céréales;2;0
0111;2000;Pain et céréales;2;0
0111;2001;Pain et céréales;2;0
0111;2002;Pain et céréales;2;0
0111;2003;Pain et céréales;2;0
0111;2004;Pain et céréales;2;0
0111;2005;Pain et céréales;2;0
0111;2006;Pain et céréales;2;0
0111;2007;Pain et céréales;2;0
0111;2008;Pain et céréales;2;0
0111;2009;Pain et céréales;2;0
0111;2010;Pain et céréales;2;0
0111;2011;Pain et céréales;2;0
0111;2012;Pain et céréales;2;0
0111;2013;Pain et céréales;2;0
0111;2014;Pain et céréales;2;0
0112;1994;Viande;2;0
0112;1995;Viande;2;0
0112;1996;Viande;2;0
0112;1997;Viande;2;0
0112;1998;Viande;2;0
0112;1999;Viande;2;0
0112;2000;Viande;2;0
0112;2001;Viande;2;0
0112;2002;Viande;2;0
0112;2003;Viande;2;0
0112;2004;Viande;2;0
0112;2005;Viande;2;0
0112;2006;Viande;2;0
0112;2007;Viande;2;0
0112;2008;Viande;2;0
0112;2009;Viande;2;0
0112;2010;Viande;2;0
0112;2011;Viande;2;0
0112;2012;Viande;2;0
0112;2013;Viande;2;0
0112;2014;Viande;2;0
0113;1994;Poisson et fruits de mer;2;0
0113;1995;Poisson et fruits de mer;2;0
0113;1996;Poisson et fruits de mer;2;0
0113;1997;Poisson et fruits de mer;2;0
0113;1998;Poisson et fruits de mer;2;0
0113;1999;Poisson et fruits de mer;2;0
0113;2000;Poisson et fruits de mer;2;0
0113;2001;Poisson et fruits de mer;2;0
0113;2002;Poisson et fruits de mer;2;0
0113;2003;Poisson et fruits de mer;2;0
0113;2004;Poisson et fruits de mer;2;0
0113;2005;Poisson et fruits de mer;2;0
0113;2006;Poisson et fruits de mer;2;0
0113;2007;Poisson et fruits de mer;2;0
0113;2008;Poisson et fruits de mer;2;0
0113;2009;Poisson et fruits de mer;2;0
0113;2010;Poisson et fruits de mer;2;0
0113;2011;Poisson et fruits de mer;2;0
0113;2012;Poisson et fruits de mer;2;0
0113;2013;Poisson et fruits de mer;2;0
0113;2014;Poisson et fruits de mer;2;0
0114;1994;Lait, fromage et œufs;2;0
0114;1995;Lait, fromage et œufs;2;0
0114;1996;Lait, fromage et œufs;2;0
0114;1997;Lait, fromage et œufs;2;0
0114;1998;Lait, fromage et œufs;2;0
0114;1999;Lait, fromage et œufs;2;0
0114;2000;Lait, fromage et œufs;2;0
0114;2001;Lait, fromage et œufs;2;0
0114;2002;Lait, fromage et œufs;2;0
0114;2003;Lait, fromage et œufs;2;0
0114;2004;Lait, fromage et œufs;2;0
0114;2005;Lait, fromage et œufs;2;0
0114;2006;Lait, fromage et œufs;2;0
0114;2007;Lait, fromage et œufs;2;0
0114;2008;Lait, fromage et œufs;2;0
0114;2009;Lait, fromage et œufs;2;0
0114;2010;Lait, fromage et œufs;2;0
0114;2011;Lait, fromage et œufs;2;0
0114;2012;Lait, fromage et œufs;2;0
0114;2013;Lait, fromage et œufs;2;0
0114;2014;Lait, fromage et œufs;2;0
0115;1994;Huiles et graisses;2;0
0115;1995;Huiles et graisses;2;0
0115;1996;Huiles et graisses;2;0
0115;1997;Huiles et graisses;2;0
0115;1998;Huiles et graisses;2;0
0115;1999;Huiles et graisses;2;0
0115;2000;Huiles et graisses;2;0
0115;2001;Huiles et graisses;2;0
0115;2002;Huiles et graisses;2;0
0115;2003;Huiles et graisses;2;0
0115;2004;Huiles et graisses;2;0
0115;2005;Huiles et graisses;2;0
0115;2006;Huiles et graisses;2;0
0115;2007;Huiles et graisses;2;0
0115;2008;Huiles et graisses;2;0
0115;2009;Huiles et graisses;2;0
0115;2010;Huiles et graisses;2;0
0115;2011;Huiles et graisses;2;0
0115;2012;Huiles et graisses;2;0
0115;2013;Huiles et graisses;2;0
0115;2014;Huiles et graisses;2;0
01151;1994;Margarines et autres graisses végétales;3;1
01151;1995;Margarines et autres graisses végétales;3;1
01151;1996;Margarines et autres graisses végétales;3;1
01151;1997;Margarines et autres graisses végétales;3;1
01151;1998;Margarines et autres graisses végétales;3;1
01151;1999;Margarines et autres graisses végétales;3;1
01151;2000;Margarines et autres graisses végétales;3;1
01151;2001;Margarines et autres graisses végétales;3;1
01151;2002;Margarines et autres graisses végétales;3;1
