;label_groupe;divisions;groupes
2;Produits alimentaires;1;1
3;Boissons non alcoolisées;1;2
4;Boissons alcoolisées;2;1
5;Tabac;2;2
6;Habillement;3;1
7;Chaussures y.c. réparation;3;2
8;Loyers d'habitation effectifs;4;1
9;Entretien et réparation courante du logement;4;3
10;Fourniture d'eau et autres services lies au logement;4;4
11;Électricité, gaz et autres combustibles;4;5
12;Meubles, articles d'ameublement, tapis et autres revêt. de sol y.c.réparation;5;1
13;Articles de ménage en textile;5;2
14;Appareils ménagers;5;3
15;Verrerie, vaisselle et ustensiles de ménage;5;4
16;Outillage et autres matériels pour la maison et le jardin;5;5
17;Biens et services pour l'entretien courant de l'habitation;5;6
18;Médicaments et autres prod. pharmaceutiques, appareils et mat. thérapeutiques;6;1
19;Médecine non hospitalière et services paramédicaux (services ambulatoires);6;2
20;Achats de véhicules;7;1
21;Utilisation de véhicules personnels;7;2
22;Services de transport;7;3
23;Communications;8;1
24;Équipements   audio-visuels, photographiques  et informatiques;9;1
25;Autres biens durables importants pour les loisirs et la culture y.c. réparation;9;2
26;Autres articles et équipements de loisirs, fleurs et animaux d'agrément;9;3
27;Services récréatifs et culturels;9;4
28;Presse, livres et papeterie;9;5
29;Voyages touristiques tout compris;9;6
30;Services d'éducation;10;1
31;Restauration et cafés;11;1
32;Services d'hébergement;11;2
33;Soins personnels;12;1
34;Effets personnels n.d.a.;12;3
35;Protection sociale;12;4
36;Assurances;12;5
37;Services financiers;12;6
38;Autres services;12;7
