;code_coicop;label_poste;divisions;groupes;classes;sous_classes;postes
2;01.1.1.1.1;Pain;1;1;1;1;1
3;01.1.1.2.1;Pâtisserie fraîche;1;1;1;2;1
4;01.1.1.2.2;Viennoiserie;1;1;1;2;2
5;01.1.1.3.1;Biscottes, triscottes, pains durs;1;1;1;3;1
6;01.1.1.3.2;Biscuits et gâteaux;1;1;1;3;2
7;01.1.1.3.3;Pâtisserie de conservation;1;1;1;3;3
8;01.1.1.4.1;Farines, semoules, céréales;1;1;1;4;1
9;01.1.1.4.2;Pâtes alimentaires;1;1;1;4;2
10;01.1.1.4.3;Riz;1;1;1;4;3
11;01.1.1.4.4;Plats cuisinés à base de céréales;1;1;1;4;4
12;01.1.2.1.1;Bœuf à rôtir;1;1;2;1;1
13;01.1.2.1.2;Bœuf à braiser et bouillir;1;1;2;1;2
14;01.1.2.1.3;Bœuf haché;1;1;2;1;3
15;01.1.2.2.1;Veau à rôtir;1;1;2;2;1
16;01.1.2.2.2;Veau à braiser et bouillir;1;1;2;2;2
17;01.1.2.3.1;Agneau;1;1;2;3;1
18;01.1.2.3.2;Cheval;1;1;2;3;2
19;01.1.2.4.1;Porc frais, salé, fumé;1;1;2;4;1
20;01.1.2.4.2;Jambon;1;1;2;4;2
21;01.1.2.4.3;Pâté;1;1;2;4;3
22;01.1.2.4.4;Saucisson;1;1;2;4;4
23;01.1.2.4.5;Saucisse;1;1;2;4;5
24;01.1.2.4.6;Autres charcuteries et conserves de viande;1;1;2;4;6
25;01.1.2.5.1;Poulet;1;1;2;5;1
26;01.1.2.5.2;Dinde;1;1;2;5;2
27;01.1.2.5.3;Autres volailles;1;1;2;5;3
28;01.1.2.6.1;Lapin, gibier;1;1;2;6;1
29;01.1.2.6.2;Triperie;1;1;2;6;2
30;01.1.2.6.3;Plats cuisinés à base de viande;1;1;2;6;3
31;01.1.3.1.1;Poissons frais;1;1;3;1;1
32;01.1.3.1.2;Crustacés et mollusques frais;1;1;3;1;2
33;01.1.3.2.1;Poissons en conserves, surgelés, séchés, fumés;1;1;3;2;1
34;01.1.3.2.2;Plats cuisinés à base de poisson;1;1;3;2;2
35;01.1.4.1.1;Laits;1;1;4;1;1
36;01.1.4.1.2;Crèmes fraîches;1;1;4;1;2
37;01.1.4.2.1;Yaourts;1;1;4;2;1
38;01.1.4.2.2;Desserts lactés frais;1;1;4;2;2
39;01.1.4.3.1;Fromages frais;1;1;4;3;1
40;01.1.4.3.2;Fromages à pâte molle et à pâte persillée;1;1;4;3;2
41;01.1.4.3.3;Fromages à pâte pressée;1;1;4;3;3
42;01.1.4.3.4;Fromages de chèvre;1;1;4;3;4
43;01.1.4.3.5;Fromages fondus;1;1;4;3;5
44;01.1.4.4.1;Œufs;1;1;4;4;1
45;01.1.5.1.1;Beurres;1;1;5;1;1
46;01.1.5.2.1;Huiles alimentaires;1;1;5;2;1
47;01.1.5.2.2;Margarine végétale et autres graisses;1;1;5;2;2
48;01.1.6.1.1;Fruits frais;1;1;6;1;1
49;01.1.6.2.1;Fruits surgelés, appertisés ou secs;1;1;6;2;1
50;01.1.7.1.1;Légumes frais;1;1;7;1;1
