;TICPE loi finance initiale;TICPE réalisé;TICPE douanes;chèque énergie masse;chèque énergie nombre;tabac;;;;;
2022;;;;;;;;;;;
2021;;;;1,5461;5,6;;chèque énergie 2021;file:///C:/Users/c.lallemand/Downloads/FR_2021_PLF_BG_PGM_174.pdf;;;
2020;6,9;12,5;28,451;1,6388;5,8;15,328;(TICPE 2019 réalisé et 2020);https://www.ccomptes.fr/fr/documents/55417;https://www.ccomptes.fr/system/files/2019-05/NEB-2018-Recettes-fiscales.pdf;chèque énergie;file:///C:/Users/c.lallemand/Downloads/FR_2020_PLF_BG_PGM_174.pdf
2019;11,3;;33,321;;;13,485;;;;;
2018;13,6;13,7;33,334;;3,7;12,742;;;;;
2017;;11,1;30,554;0;0;12,304;tabacs ;https://www.douane.gouv.fr/sites/default/files/2021-04/02/Bilan-annuel-de-la-douane-2020.pdf;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;ATTENTION chèque énergie prévue avec un taux d'usage inférieur à 100 %; ;;
;;;;;;;;ATTENTION : problème TICPE est que sauf erreur ce n'est pas uniquement sur les ménages;;;
;;;;;;;;difficile de déterminer la masse qui va aux ménages non ?;;;
;;;;;;;;TODO : faire le coût des réformes;;;
;;;;;;;;Les chiffres TICPE concernent la part de l'Etat;;;
;;;;;;;;Voir bilan des douanes pour les montants totaux de TICPE;;;
