"","X","aba","agepr","aise","amr","ancons","cataeu","chaufp","cs42cj","cs42pr","decuc","dip14cj","dip14pr","htl","ident_men","mchof","mchof_d","mfac_eau1_d","mfac_eg1_d","mloy_d","nactifs","nbh1","nbphab","nenfants","ocde10","pondmen","poste_coicop_451","poste_coicop_4511","poste_coicop_452","poste_coicop_453","revtot","situacj","situapr","surfhab_d","tau","tuu","typmen","zeat","part_energies_revtot","gchauf_1","gchauf_2","gchauf_3","gchauf_4","gchauf_5","gchauf_6","gchauf_7","gchaufs_1","gchaufs_2","gchaufs_3","gchaufs_4","gchaufs_4","gmur","gtoit2","part_energies_revenu"
"1",0,1,40,4,435,4,111,1,56,85,2,50,50,2,1,600,600,NA,NA,NA,1,4,6,1,1.8,2901.5943338266,340,0,912,0,22071,1,7,93,8,7,4,5,0.0567260205699787,1,2,2,2,2,1,2,2,1,2,2,2,2,1,0.051722578895
"2",1,2,55,3,0,6,112,2,55,21,10,50,50,1,100,NA,NA,NA,NA,NA,2,2,7,0,1.5,3901.78202054114,858,0,0,2300,72842,1,1,120,8,0,3,2,0.0433541088932209,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0.0469120812407
"3",2,2,40,2,0,1,400,4,0,62,8,0,50,2,1000,NA,NA,NA,NA,375,1,0,3,0,1,2462.48117069511,635,0,0,60,27868,0,1,63,0,0,1,2,0.0249389981340606,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.0216465834476
"4",3,2,77,2,0,2,111,2,0,77,4,0,71,1,10000,NA,NA,160,NA,237,0,1,3,0,1,2311.85347947249,240,0,660,0,16410,0,5,40,7,5,1,2,0.0548446069469835,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0646341463415
"5",4,1,23,3,70,1,111,2,55,68,7,42,50,2,10003,NA,NA,NA,NA,290,2,0,2,0,1.5,2890.75123799076,400,0,738,0,33493,4,1,47,8,7,3,4,0.0339772489773983,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0340929374665
"6",5,2,65,2,0,4,212,6,72,72,5,60,50,1,10004,NA,NA,385,NA,NA,0,3,6,0,1.5,2182.48737742203,1900,0,0,1800,27444,5,5,120,2,0,3,2,0.134819997084973,2,2,1,1,2,2,2,2,1,1,2,2,2,3,0.1290419499
"7",6,2,63,3,0,1,111,2,64,78,4,71,50,1,10005,NA,NA,370,NA,NA,1,7,6,0,1.5,2257.88772568914,1159,0,0,2000,23460,6,5,148,8,7,3,3,0.134654731457801,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0.12101910828
"8",7,2,38,2,0,4,112,5,55,43,7,50,41,1,10006,NA,NA,450,NA,NA,2,1,10,2,3.3,770.842112882202,1200,0,0,0,72351,1,1,120,6,0,5,9,0.0165858108388274,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0177550907174
"9",8,2,90,3,0,1,300,4,0,78,3,0,71,1,10007,NA,NA,150,NA,NA,0,6,4,0,1,3256.20701267666,1370,0,0,0,12352,0,5,80,0,0,1,5,0.110913212435233,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0.121555915721
"10",9,2,70,3,0,6,111,2,77,74,8,50,70,1,10009,NA,NA,318,NA,NA,0,2,7,0,1.5,981.89931710131,382,1037,1072,0,39346,5,5,137,8,7,3,5,0.0369542011894475,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0.0372644131171
"11",10,2,77,4,0,1,111,4,77,78,3,50,70,2,1001,NA,NA,NA,NA,NA,0,3,4,0,1.5,2693.91186601135,365,0,117,0,21626,5,5,80,9,7,3,8,0.0222879866826968,2,1,2,2,2,2,2,1,2,2,2,2,3,0,0.0234075033538
"12",11,2,55,2,0,4,111,1,52,46,7,50,41,2,10010,NA,NA,NA,NA,375,2,6,2,0,1.5,3734.09285627233,336,0,0,0,32697,1,1,68,8,7,3,4,0.0102761721258831,2,1,2,2,2,2,2,2,1,2,2,2,1,0,0.0113087597041
"13",12,2,60,4,0,5,111,1,77,78,2,71,71,2,10011,NA,NA,NA,NA,290,0,1,4,0,1.5,6186.46536322618,600,0,0,0,16390,7,5,78,6,5,3,7,0.036607687614399,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0.0305511426127
"14",13,1,54,4,164,2,111,2,0,56,1,0,20,2,10014,NA,NA,212,NA,296,1,1,3,1,1.5,3134.07119405837,500,1200,790,0,4603,0,4,40,7,6,2,7,0.280252009558983,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0.206810110717
"15",14,2,77,3,0,4,111,1,0,77,4,0,71,8,10016,NA,NA,NA,NA,237,0,9,4,0,1,3884.46661849509,216,0,192,0,16106,0,5,60,7,6,1,2,0.0253321743449646,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0.0235381565907
"16",15,2,64,2,0,5,112,4,74,75,8,70,70,1,10017,NA,NA,180,NA,NA,0,2,4,0,1.5,1682.58338104787,1385,0,0,0,37148,5,5,71,10,0,3,2,0.0372832992354905,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.0365536661973
"17",16,2,58,3,0,5,112,2,0,78,9,0,50,1,10018,NA,NA,258,NA,NA,1,1,4,1,1.5,2244.32444049126,560,1327,836,0,46604,0,5,98,7,1,2,7,0.0299545103424599,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0.0330294906166
"18",17,2,73,3,0,1,221,5,0,77,3,0,70,2,10019,NA,NA,NA,NA,201,0,2,2,0,1,2292.47768159003,930,0,0,0,14226,0,5,50,1,3,1,7,0.065373260227752,2,2,1,1,2,2,2,2,1,2,2,2,3,4,0.0642547841877
"19",18,2,34,1,0,5,111,4,0,34,10,0,10,2,1002,NA,NA,119,NA,NA,1,0,2,0,1,1971.79348867184,470,0,0,0,53695,0,1,45,8,6,1,5,0.00875314275072167,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.00559419695303
"20",19,2,40,2,0,8,111,1,67,45,6,50,31,1,10020,NA,NA,225,NA,NA,2,0,5,2,2.3,2529.36786964505,457,0,693,0,47272,1,1,110,7,6,4,7,0.024327297343036,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0.0215060598356
"21",20,2,22,2,0,7,111,4,0,46,7,0,50,2,10021,NA,NA,NA,NA,445,1,0,1,0,1,3672.72744317044,430,0,0,0,21830,0,1,18,9,7,1,8,0.0196976637654604,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0.0246981339188
"22",21,2,67,3,0,99,111,2,78,77,8,70,70,2,10022,NA,NA,NA,NA,NA,1,2,5,0,2,1918.11176867876,310,0,330,0,53490,5,5,90,8,7,5,5,0.0119648532435969,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0168205434904
"23",22,2,62,2,0,7,111,5,71,77,4,71,60,1,10025,NA,NA,NA,NA,NA,0,1,4,0,1.5,3507.8951889102,770,0,0,0,22532,5,5,125,9,7,3,7,0.0341736197408131,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0345436876049
"24",23,2,35,1,0,5,111,1,37,37,10,12,31,2,10027,NA,NA,NA,NA,NA,2,0,4,1,1.8,4131.03549679608,350,0,0,0,183051,1,1,72,10,8,4,1,0.00191203544367417,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
"25",24,2,49,3,0,7,112,2,56,62,4,71,71,1,10028,NA,NA,470,NA,NA,3,1,5,2,2.5,3152.52422762072,1300,0,0,0,39812,1,1,100,7,0,4,7,0.0326534713151813,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.032098455356
"26",25,2,45,2,0,7,112,4,48,48,8,42,71,1,10029,NA,NA,337,NA,NA,2,0,5,2,2.5,2277.88017196663,1177,47,0,0,65199,1,1,100,10,1,4,2,0.0180524241169343,2,2,2,2,2,1,2,1,2,2,2,2,1,0,0.016519571103
"27",26,1,68,3,19,1,120,2,0,78,4,0,71,1,1003,NA,NA,NA,NA,NA,0,0,3,0,1,5430.65449159105,28,0,70,0,15936,0,5,40,0,2,1,2,0.0061495983935743,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
"28",27,2,54,3,0,8,112,4,0,62,3,0,60,1,10030,NA,NA,328,NA,NA,2,0,4,1,1.5,1846.93849002694,1408,0,0,0,20569,0,1,98,7,1,2,5,0.0684525256453887,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0.0631558492033
"29",28,1,23,2,35,1,111,4,0,42,6,0,41,2,10031,NA,NA,200,NA,NA,2,0,1,0,1.5,5360.80955785072,350,0,0,0,31263,0,1,35,5,4,5,8,0.0111953427374212,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0123062170369
"30",29,2,48,3,0,5,111,2,43,64,5,42,71,1,10032,NA,NA,439,NA,NA,2,0,5,3,2.8,2162.69517879468,434,880,0,1000,48691,1,1,150,6,4,4,4,0.0294510279107022,2,1,2,2,2,2,2,1,1,2,2,2,1,0,0.0200337323625
"31",30,2,39,4,0,8,112,2,52,43,7,44,33,1,10033,NA,NA,NA,NA,NA,2,0,5,2,2.1,1690.96559641802,700,0,960,0,50833,1,1,128,8,2,4,9,0.0326559518423072,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0.0286742557603
"32",31,2,52,1,0,1,112,2,0,34,10,0,10,2,10034,NA,NA,NA,NA,503,1,0,2,0,1,1638.99638740084,250,0,1050,0,44968,0,1,45,10,4,1,2,0.0289094467176659,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0.0311519547852
"33",32,2,72,2,0,5,111,2,77,75,7,71,50,1,10036,NA,NA,681,NA,NA,0,3,4,0,1.5,3222.97032248096,750,0,0,1300,32961,5,5,90,9,7,3,8,0.0621947149661721,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0.0532303199903
"34",33,1,41,3,226,4,111,2,63,68,5,71,50,2,10037,NA,NA,NA,NA,NA,3,0,3,1,2,2612.19679645235,322,0,760,0,33882,4,1,50,8,7,4,2,0.0319343604273656,2,2,2,1,2,2,2,2,1,2,2,2,2,4,0.032945622011
"35",34,2,68,2,0,5,112,4,75,74,8,33,31,1,10038,NA,NA,168,NA,NA,0,2,6,0,1.5,1873.28915719936,1930,0,0,0,37617,6,5,160,7,0,3,4,0.0513065901055374,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0.0531900747321
