,aba,agepr,aise,amr,ancons,cataeu,chaufp,cs42cj,cs42pr,decile,decuc,dip14cj,dip14pr,htl,ident_men,mchof,mchof_d,mfac_eau1_d,mfac_eg1_d,mloy_d,nactifs,nbh1,nbphab,nenfants,ocde10,pondmen,poste_coicop_451,poste_coicop_4511,poste_coicop_452,poste_coicop_453,revtot,situacj,situapr,surfhab_d,tau,tuu,typmen,zeat,part_energies_revtot
0,1,40.0,4,435.0,4,111,1,56,85,4,2.0,50,50,2,1,600.0,600.0,,,,1.0,4.0,6.0,1.0,1.8,2901.594333826595,340.0,0.0,912.0,0.0,22071.0,1,7,93.0,8,7.0,4,5,0.056726020569978705
1,2,55.0,3,0.0,6,112,2,55,21,10,10.0,50,50,1,100,,,,,,2.0,2.0,7.0,0.0,1.5,3901.7820205411404,858.0,0.0,0.0,2300.0,72842.0,1,1,120.0,8,0.0,3,2,0.043354108893220944
2,2,40.0,2,0.0,1,400,4,0,62,5,8.0,0,50,2,1000,,,,,375.0,1.0,0.0,3.0,0.0,1.0,2462.481170695108,635.0,0.0,0.0,60.0,27868.0,0,1,63.0,0,0.0,1,2,0.024938998134060572
3,2,77.0,2,0.0,2,111,2,0,77,2,4.0,0,71,1,10000,,,160.0,,237.0,0.0,1.0,3.0,0.0,1.0,2311.85347947249,240.0,0.0,660.0,0.0,16410.0,0,5,40.0,7,5.0,1,2,0.054844606946983544
4,1,23.0,3,70.0,1,111,2,55,68,6,7.0,42,50,2,10003,,,,,290.0,2.0,0.0,2.0,0.0,1.5,2890.751237990757,400.0,0.0,738.0,0.0,33493.0,4,1,47.0,8,7.0,3,4,0.03397724897739826
5,2,65.0,2,0.0,4,212,6,72,72,5,5.0,60,50,1,10004,,,385.0,,,0.0,3.0,6.0,0.0,1.5,2182.487377422031,1900.0,0.0,0.0,1800.0,27444.0,5,5,120.0,2,0.0,3,2,0.13481999708497303
6,2,63.0,3,0.0,1,111,2,64,78,4,4.0,71,50,1,10005,,,370.0,,,1.0,7.0,6.0,0.0,1.5,2257.887725689142,1159.0,0.0,0.0,2000.0,23460.0,6,5,148.0,8,7.0,3,3,0.13465473145780052
7,2,38.0,2,0.0,4,112,5,55,43,10,7.0,50,41,1,10006,,,450.0,,,2.0,1.0,10.0,2.0,3.3,770.8421128822018,1200.0,0.0,0.0,0.0,72351.0,1,1,120.0,6,0.0,5,9,0.016585810838827382
8,2,90.0,3,0.0,1,300,4,0,78,1,3.0,0,71,1,10007,,,150.0,,,0.0,6.0,4.0,0.0,1.0,3256.207012676663,1370.0,0.0,0.0,0.0,12352.0,0,5,80.0,0,0.0,1,5,0.11091321243523317
9,2,70.0,3,0.0,6,111,2,77,74,7,8.0,50,70,1,10009,,,318.0,,,0.0,2.0,7.0,0.0,1.5,981.8993171013101,382.0,1037.0,1072.0,0.0,39346.0,5,5,137.0,8,7.0,3,5,0.036954201189447464
10,2,77.0,4,0.0,1,111,4,77,78,3,3.0,50,70,2,1001,,,,,,0.0,3.0,4.0,0.0,1.5,2693.911866011353,365.0,0.0,117.0,0.0,21626.0,5,5,80.0,9,7.0,3,8,0.022287986682696753
11,2,55.0,2,0.0,4,111,1,52,46,6,7.0,50,41,2,10010,,,,,375.0,2.0,6.0,2.0,0.0,1.5,3734.0928562723343,336.0,0.0,0.0,0.0,32697.0,1,1,68.0,8,7.0,3,4,0.010276172125883108
