,aba,agepr,amr,ancons,cataeu,coml13,coml3,cs42cj,cs42pr,dip14pr,gchauf_1,gchauf_2,gchauf_3,gchauf_4,gchauf_5,gchauf_6,gchauf_7,gchaufs_1,gchaufs_2,gchaufs_3,gchaufs_4,gchaufs_5,gmoy1,gmur,gtoit2,gtt1,gvit1,gvit1b,htl,iaat,idlog,mchof_d,mdiplo,mdiploc,mfac_eau1_d,mloy_d,mtyad,nactifs,nbh1,nbphab,nenfants,ocde10,pondmen,poste_coicop_451,poste_coicop_452,poste_coicop_453,revtot,situacj,situapr,surfhab_d,tau,tuu,zeat,part_energies_revenu
0,2,80.0,0.0,1,111,0.0,0.0,72,72,12,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,2,1,2,1,115667,,9,9,0.0,,400,0.0,2.0,6.0,0.0,1.5,962.62686085,580.0,1200.0,0.0,71202.0,5,5,167.0,10,8,1,0.0249992977725
1,2,22.0,0.0,1,111,0.0,0.0,54,67,50,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,35.0,1,2,2,3,119467,540.0,4,9,0.0,298.0,400,2.0,0.0,2.0,0.0,1.5,325.997017499,0.0,0.0,0.0,11928.0,1,1,39.0,10,8,1,0.0
2,2,75.0,0.0,1,111,0.0,0.0,0,52,10,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,40.0,1,2,2,3,121791,545.0,9,0,0.0,287.0,120,0.0,2.0,2.0,0.0,1.0,411.226022504,290.0,0.0,0.0,24305.0,0,5,39.0,10,8,1,0.011931701296
3,2,50.0,0.0,9,111,0.0,0.0,54,37,10,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,45.0,1,2,1,10,120392,,9,4,1300.0,1300.0,402,2.0,0.0,6.0,2.0,2.3,552.076340617,1400.0,2400.0,0.0,123800.0,1,1,120.0,10,8,1,0.0306946688207
4,2,58.0,0.0,1,111,0.0,0.0,0,46,50,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,45.0,1,1,2,3,105921,600.0,4,0,0.0,235.0,120,1.0,0.0,2.0,0.0,1.0,447.287757446,400.0,150.0,0.0,15134.0,0,1,48.0,10,8,1,0.0363420113651
5,1,24.0,189.0,1,111,0.0,0.0,0,53,71,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,,1,2,2,2,111923,516.0,1,0,0.0,237.0,200,4.0,0.0,2.0,0.0,5.0,404.607870027,700.0,240.0,0.0,8730.0,0,1,47.0,10,8,1,0.107674684994
6,2,34.0,0.0,1,111,0.0,0.0,0,22,12,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,10.0,1,2,2,2,131659,,9,0,0.0,1100.0,120,1.0,0.0,2.0,0.0,1.0,1199.74713554,720.0,0.0,0.0,49100.0,0,1,47.0,10,8,1,0.0146639511202
7,2,46.0,0.0,1,111,0.0,0.0,37,37,10,2,2,2,2,2,1,2,1,1,2,2,2,3,2,0,50.0,1,2,2,3,126732,,9,9,0.0,,402,2.0,0.0,4.0,2.0,2.1,330.710374182,682.0,0.0,0.0,154675.0,1,1,114.0,10,8,1,0.00440924519153
8,2,79.0,0.0,1,111,0.0,0.0,0,63,41,2,2,2,1,2,2,2,2,1,1,1,2,1,2,0,15.0,2,2,2,1,107998,,7,0,0.0,,120,0.0,0.0,4.0,0.0,1.0,1063.55621305,300.0,800.0,0.0,44904.0,0,5,70.0,10,8,1,0.0244967040798
9,2,46.0,0.0,1,111,0.0,0.0,33,34,10,2,2,2,2,2,1,2,1,1,2,2,2,1,2,0,35.0,2,2,2,3,130796,597.0,9,9,0.0,1228.0,401,2.0,0.0,3.0,1.0,1.8,381.750092468,723.0,136.0,0.0,83502.0,1,1,49.0,10,8,1,0.0102871787502
10,2,30.0,0.0,9,111,0.0,0.0,54,38,12,0,0,0,0,0,0,0,0,0,0,0,0,3,1,1,60.0,1,2,1,10,125847,,9,9,142.0,,400,2.0,0.0,4.0,0.0,1.5,283.822530309,0.0,0.0,0.0,50135.0,1,1,89.0,10,8,1,0.0
11,2,66.0,0.0,4,111,0.0,0.0,0,77,44,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,2,1,2,6,132764,411.0,5,0,0.0,702.0,120,0.0,0.0,1.0,0.0,1.0,687.770214839,249.0,79.0,0.0,20624.0,0,5,30.0,10,8,1,0.0159038013964
12,2,76.0,0.0,1,111,0.0,0.0,74,74,12,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,1,2,2,3,127170,1140.0,9,7,0.0,2150.0,400,0.0,2.0,5.0,0.0,1.5,949.769764678,450.0,0.0,0.0,119225.0,5,5,130.0,10,8,1,0.00377437617949
13,2,53.0,0.0,1,111,0.0,0.0,37,31,10,2,2,2,2,2,1,2,1,2,2,2,2,0,1,1,,1,2,1,3,102977,,9,9,523.0,,403,2.0,0.0,7.0,4.0,2.9,226.048297131,0.0,0.0,0.0,408266.0,1,1,295.0,10,8,1,0.0
