,aba,agepr,aise,amr,ancons,cataeu,chaufp,cs42cj,cs42pr,decuc,depenses_combustibles_liquides,depenses_combustibles_solides,depenses_electricite,depenses_gaz_liquefie,depenses_gaz_ville,depenses_tot,dip14cj,dip14pr,htl,ident_men,identifiant_menage,mchof,mchof_d,mfac_eau1_d,mloy_d,nactifs,nbh1,nbphab,nenfants,npers,ocde10,pondmen,poste_04_5_1_1_1_a,poste_04_5_1_1_1_b,poste_04_5_2_1_1,poste_04_5_5_1_1,revtot,situacj,situapr,stalog,surfhab_d,tau,tuu,typmen,zeat,fioul,gaz_ville,electricite,strate,rural,petite_ville,moyenne_ville,grande_ville,paris,bat_av_49,bat_49_74,bat_ap_74,log_indiv,log_colec,ouest_sud,est_nord,aides_logement,depenses_energies,part_energies_depenses_tot,part_energies_revtot,niveau_vie,niveau_vie_decile,niveau_vie_quintile,donation_class_1,donation_class_2,donation_class_3,donation_class_4
0,2.0,73,3.0,0.0,9.0,112.0,5.0,77.0,71,7,0.0,216.97705539539805,362.70198702090966,0.0,0.0,19890.26,70.0,71.0,1.0,1,201700000,,,205.0,,0,4.0,5.0,0,2,1.5,1443.2610177,0.0,337.0,0.0,0,35243.0,5.0,5,1,119.0,4.0,0,3,5,0,0,1,0,1,0,0,0,0,0,0,1,1,0,1,0,0,579.6790424163078,0.02914386450535628,0.01644806181131878,23495.333333333332,6,3,6,6_1,6_0,6_0_0
1,2.0,45,2.0,0.0,1.0,111.0,2.0,37.0,37,10,0.0,0.0,684.5058271373844,0.0,2254.240808240619,60307.479999999996,20.0,12.0,1.0,100,201700001,,,405.0,,2,0.0,6.0,1,3,1.8,2769.2862169,0.0,636.0,1310.0,0,107062.0,1.0,1,2,143.0,10.0,8,4,1,0,1,1,4,0,0,0,0,1,1,0,0,1,0,0,1,0,2938.7466353780037,0.04872938871559554,0.027449016788197528,59478.88888888889,10,5,10,10_1,10_4,10_1_0
2,2.0,54,2.0,0.0,4.0,111.0,1.0,21.0,45,7,0.0,0.0,784.5986603508699,0.0,0.0,48613.6,71.0,41.0,1.0,1000,201700002,,,,,3,0.0,5.0,1,3,2.0,2682.0381495,0.0,729.0,0.0,0,51770.0,1.0,1,1,100.0,10.0,8,4,1,0,0,1,4,0,0,0,0,1,0,1,0,1,0,0,1,0,784.5986603508699,0.016139488956811877,0.015155469583752556,25885.0,7,4,7,7_1,7_4,7_0_1
3,,44,3.0,272.0,5.0,111.0,2.0,,85,2,0.0,0.0,774.9122571366615,0.0,0.0,5462.44,,60.0,2.0,10001,201700003,,,,,0,0.0,1.0,0,1,1.0,12125.921549,0.0,720.0,0.0,0,12986.0,,7,3,35.0,9.0,7,1,9,0,0,1,3,0,0,0,1,0,0,0,1,0,1,1,0,0,774.9122571366615,0.1418619256480001,0.059672898285589214,12986.0,2,1,2_0,2_0_0,2_3_0,2_0_0_0
4,2.0,47,4.0,0.0,1.0,111.0,2.0,68.0,63,7,0.0,0.0,927.7421745163921,0.0,1660.5667022535858,41429.42,71.0,71.0,1.0,10003,201700004,,,271.0,,3,1.0,5.0,1,3,2.0,3320.2935327,0.0,862.0,965.0,0,48481.0,1.0,1,1,80.0,9.0,7,4,3,0,1,1,3,0,0,0,1,0,1,0,0,1,0,0,1,0,2588.308876769978,0.06247514150017012,0.053388108264474286,24240.5,7,4,7,7_1,7_3,7_1_0
5,2.0,44,2.0,0.0,9.0,112.0,4.0,37.0,38,10,0.0,0.0,2156.8391156970415,154.87150590966084,0.0,61679.780000000006,12.0,12.0,1.0,10005,201700005,,,,,2,0.0,5.0,2,4,2.3,4103.151021,0.0,2004.0,0.0,0,93808.0,1.0,1,2,150.0,9.0,3,4,9,0,0,1,1,0,1,0,0,0,0,0,1,1,0,1,0,0,2311.7106216067023,0.037479229361821687,0.024643000827293007,40786.08695652174,10,5,10,10_1,10_1,10_0_0
6,,35,1.0,0.0,1.0,111.0,1.0,38.0,33,10,0.0,0.0,219.55847285538746,0.0,0.0,64056.06,20.0,12.0,2.0,10007,201700006,,,,1132.0,2,0.0,3.0,0,2,1.5,3812.1083373,0.0,204.0,0.0,0,74204.0,1.0,1,3,51.0,10.0,8,3,1,0,0,1,4,0,0,0,0,1,1,0,0,0,1,0,1,0,219.55847285538746,0.003427598776062522,0.0029588495614170053,49469.333333333336,10,5,10,10_0,10_4,10_1_0
7,2.0,60,3.0,0.0,6.0,112.0,5.0,22.0,22,6,0.0,157.3083651616636,1370.0879212985697,0.0,0.0,30585.34,42.0,50.0,1.0,10009,201700007,,,176.0,,2,2.0,4.0,0,2,1.5,3079.9409455,0.0,1273.0,0.0,0,31815.0,1.0,1,1,89.0,8.0,0,3,4,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,1,0,1527.3962864602333,0.0499388362679713,0.04800868415716591,21210.0,6,3,6,6_1,6_0,6_0_0
8,,49,3.0,0.0,4.0,111.0,1.0,64.0,64,3,0.0,0.0,462.7948202343951,0.0,1032.4767060644056,21949.074956300003,50.0,71.0,8.0,1001,201700008,600.0,600.0,,273.0,2,0.0,3.0,0,2,1.5,1518.3133034,0.0,430.0,600.0,0,24138.0,1.0,1,3,55.0,7.0,5,3,2,0,1,1,2,0,0,1,0,0,0,1,0,0,1,0,1,0,1495.2715262988006,0.0681245806156225,0.06194678624156105,16092.0,3,2,3_0,3_0_0,3_2_0,3_0_1_0
9,2.0,63,1.0,0.0,1.0,111.0,2.0,,46,8,0.0,0.0,314.748068243423,0.0,713.3653136249396,41801.82,,30.0,2.0,10010,201700009,,,,,1,2.0,3.0,0,1,1.0,2678.775772,707.0,0.0,0.0,0,28228.0,,1,1,73.0,9.0,7,1,8,0,1,1,3,0,0,0,1,0,1,0,0,0,1,0,1,0,1028.1133818683627,0.024594943040000716,0.03642175789529413,28228.0,8,4,8,8_0,8_3,8_1_0
10,,80,3.0,38.0,1.0,111.0,2.0,,77,3,0.0,0.0,322.88010714027564,0.0,1982.3552756436588,14650.440000000002,,71.0,2.0,10011,201700010,,,,283.0,0,0.0,2.0,0,1,1.0,6662.5196275,0.0,300.0,1152.0,0,15253.0,,5,3,55.0,10.0,8,1,1,0,1,1,4,0,0,0,0,1,1,0,0,0,1,0,1,0,2305.2353827839343,0.15734922519623532,0.15113324479013535,15253.0,3,2,3_0,3_0_0,3_4_0,3_1_0_0
11,2.0,66,2.0,0.0,5.0,112.0,2.0,77.0,78,3,0.0,0.0,716.7938378514119,0.0,1407.6099092678064,48398.82000000001,71.0,50.0,1.0,10012,201700011,,,354.0,,0,5.0,5.0,0,2,1.5,1763.0747419,0.0,666.0,818.0,0,24648.0,7.0,5,1,109.0,9.0,3,3,5,0,1,1,1,0,1,0,0,0,0,0,1,1,0,1,0,0,2124.403747119218,0.043893709539183354,0.08618970087306144,16432.0,3,2,3_0,3_1_0,3_1_0,3_0_0_0
12,2.0,67,2.0,0.0,6.0,300.0,5.0,72.0,78,5,0.0,162.73279154654855,791.0562624936754,92.92290354579652,0.0,18914.019999999997,70.0,50.0,1.0,10013,201700012,,,,,0,2.0,4.0,0,2,1.5,1863.0369579,0.0,735.0,0.0,0,30189.0,5.0,5,1,100.0,0.0,0,3,8,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,1,0,1046.7119575860204,0.055340533508266385,0.03467196520540662,20126.0,5,3,5,5_1,5_0,5_0_0
13,,37,3.0,550.0,9.0,111.0,4.0,,85,2,0.0,0.0,309.9649028546646,224.047445215976,0.0,15830.856658450002,,60.0,2.0,10014,201700013,,,550.0,,0,0.0,4.0,3,4,1.9,687.64842672,0.0,288.0,0.0,0,24376.0,,4,3,80.0,10.0,8,2,1,0,0,1,4,0,0,0,0,1,0,0,1,0,1,0,1,0,534.0123480706407,0.03373237213828236,0.021907300134174624,12829.473684210527,2,1,2_0,2_0_0,2_4_0,2_0_0_0
14,,69,3.0,42.0,1.0,400.0,5.0,,78,2,0.0,282.0701720140175,376.6934583303216,192.7289851320224,0.0,13445.460000000001,,50.0,1.0,10015,201700014,,,,,0,1.0,2.0,0,1,1.0,3623.222005,0.0,350.0,0.0,0,13114.0,,5,3,65.0,0.0,0,1,8,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,1,0,851.4926154763616,0.06332937775846728,0.06493004540768352,13114.0,2,1,2_0,2_1_0,2_0_0,2_1_0_0
