"","X","age_carte_grise","age_vehicule","agepr","cataeu","cs42pr","dip14pr","etat_veh_achat","ident_men","km_autre_carbu","km_diesel","km_essence","mloy_d","nactifs","nbphab","nenfants","npers","ocde10","pondmen","poste_07_2_2_1","prix_achat","revtot","situapr","stalog","tau","tuu","typmen","veh_tot","vp_deplacements_pro","vp_domicile_travail","rural","petite_ville","moyenne_ville","grande_ville","paris","aides_logement","nb_essence","nb_diesel","niveau_vie","niveau_vie_decile","niveau_vie_quintile","donation_class_1","donation_class_3","distance","distance_autre_carbu","distance_diesel","distance_essence","age_carte_grise","age_vehicule","distance_routiere_hebdomadaire_teg","duree_moyenne_trajet_aller_retour_teg","mode_principal_deplacement_teg","vp_deplacements_pro","vp_domicile_travail"
"28",27,0,0,40,111,38,31,0,10031,0,0,0,700,1,1,0,1,1,3084.9728435,0,0,9115,1,3,10,8,1,0,0,0,0,0,0,0,1,0,0,0,9115,1,1,"1_0","1_0",0,0,0,0,0,0,0,0,0,0,0
"33",32,4,9,42,111,63,50,0,10038,0,0,0,0,1,8,2,4,2.3,1868.2644801,2756,0,24506,1,2,8,7,4,1,0,0,0,0,0,1,0,1,1,0,10654.7826086957,1,1,"1_1","1_0",15000,0,0,15000,3,9,0,1.5,0,1,0
"46",45,2,10,21,111,38,30,0,10057,0,0,5,370,1,1,0,1,1,3471.688024,2080,0,1584,1,3,9,7,1,1,0,1,0,0,0,1,0,0,1,0,1584,1,1,"1_0","1_0",2500,0,0,2500,2,12,38.8,30,3.3,0,1
"78",77,0,0,46,111,54,41,0,10090,0,0,0,118,1,3,1,2,1.5,4240.0765552,0,0,13728,4,3,9,7,2,0,0,0,0,0,0,1,0,0,0,0,9152,1,1,"1_0","1_0",0,0,0,0,0,0,0,0,0,0,0
"79",78,0,0,48,111,62,50,0,10091,0,0,0,0,1,1,0,1,1,1656.159734,0,0,9039,4,3,6,5,1,0,0,0,0,0,1,0,0,0,0,0,9039,1,1,"1_0","1_0",0,0,0,0,0,0,0,0,0,0,0
"83",82,0,0,51,111,85,71,0,10095,0,0,0,0,2,6,2,3,2,1577.0294067,0,0,16330,6,4,8,7,2,0,0,0,0,0,0,1,0,0,0,0,8165,1,1,"1_0","1_0",0,0,0,0,0,0,0,80,5.5,0,0
"84",83,0,0,32,111,85,33,0,10096,0,0,0,0,0,3,2,3,1.6,666.11690144,0,0,14400,6,3,6,5,2,0,0,0,0,0,1,0,0,0,0,0,9000,1,1,"1_0","1_0",0,0,0,0,0,0,0,0,0,0,0
"102",101,0,0,32,111,85,71,0,10119,0,0,0,0,0,3,1,2,1.3,1379.5245978,0,0,12774,6,3,8,7,2,0,0,0,0,0,0,1,0,0,0,0,9826.15384615385,1,1,"1_0","1_0",0,0,0,0,0,0,0,0,0,0,0
"106",105,1,13,30,211,55,60,2,10123,0,0,0,0,1,6,3,4,1.9,87.059175869,2080,300,9170,4,3,1,2,2,1,0,0,0,1,0,0,0,0,0,1,4826.31578947368,1,1,"1_0","1_0",25000,0,25000,0,10,15,0,0,0,0,1
"140",139,0,0,65,112,68,70,0,10177,0,0,0,0,2,5,1,2,1.5,2545.6804894,0,0,14960,1,1,9,1,2,0,0,0,0,1,0,0,0,0,0,0,9973.33333333333,1,1,"1_0","1_0",0,0,0,0,0,0,0,0,0,0,0
"142",141,0,0,44,111,85,71,0,10180,0,0,0,0,0,4,1,2,1.3,920.61941401,0,0,14015,6,3,8,7,2,0,0,0,0,0,0,1,0,0,0,0,10780.7692307692,1,1,"1_0","1_0",0,0,0,0,0,0,0,0,0,0,0
"147",146,2,-4,48,111,68,71,0,10188,0,0,30,336,1,3,0,1,1,10020.303183,1559.48,0,10632,1,3,8,7,1,1,1,1,0,0,0,1,0,0,1,0,10632,1,1,"1_0","1_0",4000,0,0,4000,1,1,0,0,0,0,0
"162",161,0,0,19,111,84,41,0,10202,0,0,0,380,0,1,0,1,1,4968.8749887,0,0,6400,3,3,10,8,1,0,0,0,0,0,0,0,1,0,0,0,6400,1,1,"1_0","1_0",0,0,0,0,0,0,0,0,0,0,0
"167",166,2,1,21,120,68,50,0,10208,0,0,0,197,1,1,0,1,1,4190.2268832,0,0,5441,4,3,0,0,1,1,0,0,1,0,0,0,0,0,0,1,5441,1,1,"1_0","1_1",15000,0,15000,0,3,3,0,4,1.1,0,0
"171",170,2,10,32,112,43,50,0,10215,0,0,0,52,1,3,1,2,1.3,599.85662962,0,0,14056,4,3,9,3,2,1,0,0,0,1,0,0,0,0,0,1,10812.3076923077,1,1,"1_0","1_0",15000,0,15000,0,7,11,0,20,3.3,1,0
"187",186,4,1,61,111,56,50,0,10235,0,0,0,0,2,3,1,3,2,1897.1538616,440.96,0,10130,1,2,9,7,4,1,0,0,0,0,0,1,0,0,0,1,5065,1,1,"1_0","1_0",8644,0,8644,0,1,1,150.6,40,3.32,0,1
