,Unnamed: 0,X,age_carte_grise,age_vehicule,agepr,cataeu,cs42pr,dip14pr,etat_veh_achat,ident_men,km_autre_carbu,km_diesel,km_essence,mloy_d,nactifs,nbphab,nenfants,npers,ocde10,pondmen,poste_07_2_2_1_1,prix_achat,revtot,situapr,stalog,tau,tuu,typmen,veh_tot,vp_deplacements_pro,vp_domicile_travail,rural,petite_ville,moyenne_ville,grande_ville,paris,aides_logement,nb_essence,nb_diesel,niveau_vie,niveau_vie_decile,niveau_vie_quintile,donation_class_1,donation_class_3,distance,distance_autre_carbu,distance_diesel,distance_essence,age_carte_grise.1,age_vehicule.1,distance_routiere_hebdomadaire_teg,duree_moyenne_trajet_aller_retour_teg,mode_principal_deplacement_teg,vp_deplacements_pro.1,vp_domicile_travail.1,depenses_carburants_corrigees_entd,depenses_diesel_corrigees_entd,depenses_essence_corrigees_entd
0,28,27,3,8,40,111,38,31,0,10031,0,400,0,700,1,1,0,1,1.0,3084.9728435,0.0,0,9115.0,1,3,10,8,1,1,0,1,0,0,0,0,1,0,0,1,9115.0,1,1,1_0,1_0,6000,0,6000,0,6,13,39.3,67.5,3.3,1,1,349.44090401809046,349.44090401809046,0.0
1,33,32,10,10,42,111,63,50,0,10038,0,0,0,0,1,8,2,4,2.3,1868.2644801,2756.0,0,24506.0,1,2,8,7,4,2,0,0,0,0,0,1,0,1,0,2,10654.7826086957,1,1,1_1,1_0,3000,0,3000,0,4,11,0.0,0.0,0.0,0,1,174.72045200904523,174.72045200904523,0.0
2,46,45,7,9,21,111,38,30,0,10057,0,300,0,370,1,1,0,1,1.0,3471.688024,2080.0,0,1584.0,1,3,9,7,1,1,0,1,0,0,0,1,0,0,0,1,1584.0,1,1,1_0,1_0,26000,0,26000,0,7,11,137.0,40.0,3.3,0,1,1514.2439174117253,1514.2439174117253,0.0
3,78,77,4,9,46,111,54,41,0,10090,0,0,444,118,1,3,1,2,1.5,4240.0765552,0.0,0,13728.0,4,3,9,7,2,1,1,1,0,0,0,1,0,0,1,0,9152.0,1,1,1_0,1_0,25000,0,0,25000,3,8,0.0,0.0,0.0,0,0,1456.0037667420434,0.0,1456.0037667420434
4,79,78,16,21,48,111,62,50,0,10091,0,50,150,0,1,1,0,1,1.0,1656.159734,0.0,0,9039.0,4,3,6,5,1,3,0,1,0,0,1,0,0,0,2,1,9039.0,1,1,1_0,1_0,3000,0,3000,0,3,20,0.0,0.0,0.0,0,0,174.72045200904523,174.72045200904523,0.0
5,83,82,6,6,51,111,85,71,0,10095,0,0,0,0,2,6,2,3,2.0,1577.0294067,0.0,0,16330.0,6,4,8,7,2,1,0,0,0,0,0,1,0,0,0,1,8165.0,1,1,1_0,1_0,10000,0,10000,0,4,7,0.0,7.33333333333333,1.1,0,1,582.4015066968174,582.4015066968174,0.0
6,84,83,10,11,32,111,85,33,0,10096,0,0,0,0,0,3,2,3,1.6,666.11690144,0.0,0,14400.0,6,3,6,5,2,2,0,0,0,0,1,0,0,0,2,0,9000.0,1,1,1_0,1_0,11750,0,0,11750,3,5,0.0,0.0,0.0,0,0,684.3217703687604,0.0,684.3217703687604
7,102,101,1,9,32,111,85,71,0,10119,0,0,0,0,0,3,1,2,1.3,1379.5245978,0.0,0,12774.0,6,3,8,7,2,1,0,0,0,0,0,1,0,0,1,0,9826.15384615385,1,1,1_0,1_0,15000,0,0,15000,1,12,0.0,0.0,0.0,0,1,873.6022600452261,0.0,873.6022600452261
8,106,105,0,0,30,211,55,60,0,10123,0,0,0,0,1,6,3,4,1.9,87.059175869,2080.0,0,9170.0,4,3,1,2,2,0,0,0,0,1,0,0,0,0,0,0,4826.31578947368,1,1,1_0,1_0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0
9,140,139,0,13,65,112,68,70,0,10177,0,20,0,0,2,5,1,2,1.5,2545.6804894,0.0,0,14960.0,1,1,9,1,2,2,0,1,0,1,0,0,0,0,1,1,9973.33333333333,1,1,1_0,1_0,20000,0,20000,0,3,14,0.0,0.0,0.0,0,0,1164.8030133936347,1164.8030133936347,0.0
