,age_carte_grise,age_vehicule,agepr,cataeu,cs42pr,dip14pr,etat_veh_achat,ident_men,km_autre_carbu,km_diesel,km_essence,mloy_d,nactifs,nbphab,nenfants,npers,ocde10,pondmen,poste_07_2_2_1_1,prix_achat,revtot,situapr,stalog,tau,tuu,typmen,veh_tot,vp_deplacements_pro,vp_domicile_travail,rural,petite_ville,moyenne_ville,grande_ville,paris,aides_logement,nb_essence,nb_diesel,niveau_vie,niveau_vie_decile,niveau_vie_quintile,donation_class_1,donation_class_3
0,3.0,5.0,73.0,112,71,71,0.0,1,0.0,0.0,0.0,0.0,0.0,5.0,0.0,2.0,1.5,1443.2610177173326,1585.48,0.0,35243.0,5,1,4,0.0,3,1.0,0.0,0.0,1,0,0,0,0,0,0.0,1.0,23495.333333333332,3,0,3_0,3_1
1,12.0,12.0,45.0,111,37,12,0.0,100,0.0,0.0,0.0,0.0,2.0,6.0,1.0,3.0,1.8,2769.2862169113164,3120.0,0.0,107062.0,1,2,10,8.0,4,2.0,0.0,0.0,0,0,0,0,1,0,0.0,2.0,59478.88888888889,5,0,5,5_0
2,3.0,8.0,54.0,111,45,41,0.0,1000,0.0,600.0,0.0,0.0,3.0,5.0,1.0,3.0,2.0,2682.038149509965,0.0,0.0,51770.0,1,1,10,8.0,4,1.0,0.0,1.0,0,0,0,0,1,0,0.0,1.0,25885.0,4,0,4_0,4_0
3,0.0,0.0,44.0,111,85,60,0.0,10001,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,12125.921549462557,0.0,0.0,12986.0,7,3,9,7.0,1,0.0,0.0,0.0,0,0,0,1,0,1,0.0,0.0,12986.0,1,0,1_1,1_0
4,2.0,14.0,47.0,111,63,71,0.0,10003,0.0,0.0,120.0,0.0,3.0,5.0,1.0,3.0,2.0,3320.293532673264,0.0,0.0,48481.0,1,1,9,7.0,4,2.0,0.0,0.0,0,0,0,1,0,0,2.0,0.0,24240.5,4,0,4_0,4_0
5,10.0,21.0,44.0,112,38,12,0.0,10005,0.0,0.0,0.0,0.0,2.0,5.0,2.0,4.0,2.3,4103.151020986681,3465.28,0.0,93808.0,1,2,9,3.0,4,2.0,0.0,0.0,0,1,0,0,0,0,1.0,1.0,40786.08695652174,5,0,5,5_0
6,11.0,11.0,35.0,111,33,12,0.0,10007,0.0,0.0,0.0,1132.0,2.0,3.0,0.0,2.0,1.5,3812.108337325521,0.0,0.0,74204.0,1,3,10,8.0,3,1.0,0.0,0.0,0,0,0,0,1,0,0.0,1.0,49469.333333333336,5,0,5,5_0
7,2.0,2.0,60.0,112,22,50,0.0,10009,0.0,0.0,0.0,0.0,2.0,4.0,0.0,2.0,1.5,3079.940945500461,9193.08,0.0,31815.0,1,1,8,0.0,3,2.0,0.0,0.0,1,0,0,0,0,0,1.0,1.0,21210.0,3,0,3_0,3_1
8,0.0,0.0,49.0,111,64,71,0.0,1001,0.0,0.0,0.0,273.0,2.0,3.0,0.0,2.0,1.5,1518.3133034450746,0.0,0.0,24138.0,1,3,7,5.0,3,0.0,0.0,0.0,0,0,1,0,0,0,0.0,0.0,16092.0,2,0,2_0,2_0
9,9.0,12.0,63.0,111,46,30,0.0,10010,0.0,0.0,250.0,0.0,1.0,3.0,0.0,1.0,1.0,2678.775772033954,2326.48,0.0,28228.0,1,1,9,7.0,1,2.0,0.0,0.0,0,0,0,1,0,0,2.0,0.0,28228.0,4,0,4_0,4_0
