"","X","ident_men","pondmen","agepr","cataeu","chomage","cs42pr","nactifs","nactoccup","npers","ocde10","prest_precarite_hand","prest_precarite_rsa","prest_precarite_vieil","retraites","rev_valeurs_mobilieres_bruts","rev_etranger","rev_disponible","rsa_act","salaires","stalog","tau","tuu","typmen","donation_class_1","revdecm"
"2",1,2,656.70655944347,77,300,0,71,0,0,2,1.5,0,0,0,18720,0,0,25288.5,0,0,1,0,0,3,0,30270
"3",2,3,3494.51619730826,20,111,0,84,0,0,1,1,0,0,0,0,0,0,6007,0,0,3,8,7,1,0,80
"10",9,12,3847.42308842512,75,111,0,75,0,0,1,1,0,0,0,20510,0,0,20290.85,0,0,3,9,7,1,0,24650
"11",10,13,2997.94313624583,65,111,0,78,0,0,2,1.5,0,0,0,30950,0,0,29746.5,0,0,1,8,6,3,0,29810
"18",17,22,2739.63997746812,75,221,0,77,0,0,2,1.5,0,0,0,31830,0,0,30333.8,0,0,1,1,1,3,0,41730
"20",19,24,2041.88523561573,68,111,0,74,0,0,2,1.5,0,0,0,45550,0,0,38891.8,0,0,1,9,7,3,0,57510
"21",20,26,1979.13039415737,75,221,0,72,0,0,2,1.5,0,0,0,19100,0,0,20455,0,0,5,1,2,3,0,25320
"22",21,27,1834.42587481825,64,112,0,77,0,0,1,1,0,0,2670,6040,0,0,10977.4,0,0,1,8,2,1,0,0
"24",23,32,3495.06329161857,68,112,0,74,0,0,2,1.5,0,0,0,96860,0,0,82067.4,0,0,5,9,1,3,0,213110
"25",24,36,2565.97415459213,58,111,0,75,0,0,2,1.5,0,0,0,42350,0,0,39646.45,0,0,1,9,7,3,0,44690
"30",29,43,4750.34743819285,86,111,0,72,0,0,1,1,0,0,0,13450,0,0,13565,0,0,3,4,3,1,0,8500
"32",31,45,1375.82605633765,82,111,0,75,0,0,2,1.5,0,0,0,32710,0,0,31813.55,0,0,3,8,7,3,0,44020
"34",33,50,1641.86881775581,69,112,0,77,0,0,1,1,0,0,0,21110,0,0,24906.65,0,0,1,8,0,1,0,27010
