,ident_men,pondmen,agepr,cataeu,chomage,cs42pr,nactifs,nactoccup,npers,ocde10,prest_precarite_hand,prest_precarite_rsa,prest_precarite_vieil,retraites,rev_valeurs_mobilieres_bruts,rev_etranger,rev_disponible,ppa,salaires,stalog,tau,tuu,typmen,donation_class_1
0,1,1443.2610177173326,73.0,112,0.0,71,0.0,0.0,2.0,1.5,0.0,0.0,0.0,25180.0,0.0,0.0,34009.3,0.0,0.0,1,4,0.0,3,0.0
1,2,2407.1262995995844,65.0,212,0.0,74,0.0,0.0,1.0,1.0,0.0,0.0,0.0,17170.0,0.0,0.0,15422.05,0.0,0.0,1,2,0.0,1,0.0
2,3,968.686099856059,40.0,111,0.0,62,2.0,1.0,5.0,2.6,0.0,0.0,0.0,0.0,0.0,0.0,34021.8,2270.0,19460.0,3,7,5.0,4,2.0
3,4,2076.2034037169337,78.0,120,0.0,71,0.0,0.0,2.0,1.5,0.0,0.0,0.0,23710.0,1771.0,0.0,23743.45,0.0,0.0,1,0,0.0,3,0.0
4,5,1364.6628510044739,56.0,111,0.0,33,3,3.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,40984.75,0.0,42870.0,3,8,7.0,4,3.0
5,6,1834.8595620262238,48.0,112,0.0,52,2.0,2.0,3.0,1.8,0.0,130.0,0.0,0.0,0.0,0.0,20441.15,6390.0,13510.0,1,7,0.0,4,2.0
6,7,4365.148639364243,25.0,111,0.0,84,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3693.0,0.0,0.0,3,7,6.0,1,0.0
7,8,2409.3564236983652,46.0,111,0.0,64,2.0,2.0,6.0,3.3,0.0,0.0,0.0,0.0,45.0,0.0,50637.8,0.0,41220.0,2,6,5.0,4,2.0
8,9,2838.8770949380814,36.0,111,6860.0,54,1.0,1.0,2.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,31428.75,0.0,24910.0,3,9,7.0,3,1.0
9,12,2461.4647651619143,61.0,111,6720.0,62,3,2.0,3.0,2.0,0.0,0.0,0.0,12810.0,0.0,0.0,44625.1,0.0,31620.0,2,9,7.0,4,3.0
10,13,755.8603817739759,42.0,111,0.0,56,2.0,2.0,4.0,2.1,0.0,0.0,0.0,0.0,0.0,0.0,36607.25,0.0,34910.0,1,9,7.0,4,2.0
11,14,2035.2929129067068,40.0,111,0.0,47,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,27660.7,0.0,30210.0,2,6,4.0,1,1.0
12,16,1403.9672542002645,60.0,112,2460.0,33,1.0,0.0,2.0,1.5,0.0,0.0,0.0,35990.0,0.0,0.0,36883.2,0.0,20.0,1,8,0.0,3,1.0
13,17,2156.3222245494717,79.0,300,0.0,77,0.0,0.0,2.0,1.5,0.0,0.0,0.0,25190.0,0.0,0.0,24795.5,0.0,0.0,1,0,1.0,3,0.0
14,18,2028.9885385804282,45.0,112,0.0,21,1.0,1.0,5.0,2.8,0.0,0.0,0.0,0.0,0.0,0.0,57727.5,0.0,0.0,2,9,0.0,4,1.0
15,19,4779.2975941882405,38.0,300,4960.0,69,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,15467.4,740.0,6790.0,3,0,1.0,1,1.0
16,20,2225.422466192601,79.0,400,0.0,78,0.0,0.0,2.0,1.5,0.0,0.0,0.0,26180.0,0.0,0.0,26262.25,0.0,0.0,1,0,0.0,3,0.0
17,21,666.089278780956,32.0,111,0.0,81,1.0,0.0,4.0,1.9,0.0,5190.0,0.0,0.0,0.0,0.0,21161.0,0.0,0.0,3,7,6.0,2,1.0
18,23,3471.1368200759825,37.0,111,940.0,67,2.0,2.0,2.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,34766.25,0.0,34820.0,3,10,8.0,3,2.0
19,24,1991.7174274932624,57.0,300,0.0,47,1.0,1.0,2.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,25903.3,0.0,28450.0,1,0,0.0,3,1.0
20,25,1387.2404248635814,80.0,111,0.0,72,0.0,0.0,2.0,1.5,0.0,0.0,0.0,21500.0,0.0,0.0,18227.55,0.0,0.0,1,9,7.0,3,0.0
21,26,2855.3500202763066,21.0,111,0.0,85,0.0,0.0,1.0,1.0,9720.0,0.0,0.0,0.0,0.0,0.0,11844.0,0.0,0.0,3,8,6.0,1,0.0
22,28,1890.4634260707105,74.0,111,0.0,74,0.0,0.0,2.0,1.5,0.0,0.0,0.0,47440.0,0.0,0.0,41443.2,0.0,0.0,1,7,6.0,3,0.0
23,29,1031.2008961107038,73.0,111,0.0,75,0.0,0.0,2.0,1.5,0.0,0.0,0.0,33240.0,0.0,0.0,31790.65,0.0,0.0,3,8,7.0,3,0.0
24,32,1829.2131170365235,33.0,112,0.0,47,2.0,2.0,4.0,2.1,0.0,0.0,0.0,0.0,0.0,0.0,44686.55,0.0,36150.0,2,10,5.0,4,2.0
25,34,2234.977513829303,43.0,400,0.0,65,2.0,2.0,4.0,2.1,0.0,0.0,0.0,0.0,249.0,0.0,40206.05,0.0,37810.0,2,0,0.0,4,2.0
26,35,5446.835168305039,58.0,111,0.0,78,1.0,1.0,4.0,2.5,9700.0,0.0,0.0,0.0,0.0,0.0,27885.0,0.0,14170.0,3,10,8.0,4,1.0
27,38,2327.8883973261636,63.0,111,0.0,78,1.0,1.0,2.0,1.5,0.0,0.0,0.0,16430.0,0.0,0.0,21223.5,0.0,4190.0,1,7,5.0,3,1.0
28,39,1448.1158159501165,73.0,111,0.0,78,0.0,0.0,2.0,1.5,0.0,0.0,0.0,37160.0,0.0,0.0,33889.4,0.0,0.0,1,8,7.0,3,0.0
29,40,4724.114883566748,78.0,112,0.0,78,0.0,0.0,1.0,1.0,0.0,0.0,1140.0,8230.0,0.0,0.0,9876.75,0.0,0.0,1,8,0.0,1,0.0
30,43,1946.6509623970333,75.0,112,0.0,78,0.0,0.0,2.0,1.5,0.0,0.0,0.0,33020.0,0.0,0.0,31815.05,0.0,0.0,2,8,1.0,3,0.0
31,44,2740.8485978600324,75.0,112,0.0,74,0.0,0.0,2.0,1.5,0.0,0.0,0.0,69010.0,1089.0,0.0,71504.65,0.0,0.0,1,9,1.0,3,0.0
32,45,104.1483605566685,38.0,112,0.0,52,1.0,1.0,3.0,1.6,0.0,0.0,0.0,0.0,0.0,0.0,26869.35,0.0,21260.0,2,5,0.0,2,1.0
33,46,2335.8498005296447,61.0,111,0.0,34,2.0,2.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,124708.85,0.0,143900.0,1,7,5.0,4,2.0
34,47,1166.6992218579433,29.0,111,0.0,56,1.0,0.0,3.0,1.6,0.0,7680.0,0.0,0.0,0.0,0.0,15706.0,0.0,0.0,3,7,5.0,2,1.0
35,48,589.1078317783387,41.0,211,0.0,52,1.0,1.0,4.0,2.1,0.0,0.0,0.0,0.0,0.0,0.0,38222.15,0.0,17750.0,2,2,2.0,2,1.0
36,52,3471.4069741335106,27.0,111,0.0,34,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,24795.15,0.0,27450.0,3,9,7.0,1,1.0
37,53,1729.25424924465,69.0,400,0.0,71,0.0,0.0,1.0,1.0,0.0,0.0,0.0,9040.0,0.0,0.0,12018.0,2760.0,0.0,5,0,0.0,1,0.0
38,55,5196.968885264095,31.0,111,0.0,37,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,31954.6,0.0,36080.0,3,10,8.0,1,1.0
39,57,3621.7097596834515,69.0,111,0.0,74,0.0,0.0,1.0,1.0,0.0,0.0,0.0,58950.0,0.0,0.0,45859.53565243262,0.0,0.0,1,10,8.0,1,0.0
40,58,1934.9301693322184,67.0,300,0.0,78,0.0,0.0,2.0,1.5,0.0,0.0,0.0,27570.0,0.0,0.0,26702.25,0.0,0.0,1,0,0.0,3,0.0
41,62,851.5262988384949,44.0,221,7660.0,68,2.0,1.0,5.0,2.4,0.0,0.0,0.0,0.0,0.0,0.0,33598.0,0.0,12260.0,3,1,3.0,2,2.0
42,63,3448.9613895374214,57.0,111,0.0,78,0.0,0.0,1.0,1.0,9720.0,0.0,0.0,0.0,0.0,0.0,13020.0,0.0,0.0,3,8,7.0,1,0.0
43,64,2488.057607323587,54.0,111,17750.0,52,3,1.0,3.0,2.0,0.0,0.0,0.0,5650.0,0.0,0.0,55152.35,0.0,34580.0,3,10,8.0,2,3.0
44,66,1391.8790322186903,63.0,221,0.0,75,0.0,0.0,2.0,1.5,0.0,0.0,0.0,40380.0,0.0,0.0,36227.5,0.0,0.0,1,1,3.0,3,0.0
45,67,1747.4193348393649,59.0,300,0.0,54,1.0,1.0,2.0,1.5,0.0,0.0,0.0,20010.0,0.0,0.0,39216.95,0.0,18290.0,1,0,1.0,3,1.0
46,68,1718.4388403910796,44.0,300,8950.0,62,2.0,2.0,4.0,2.3,0.0,0.0,0.0,0.0,0.0,0.0,40634.65,0.0,29730.0,2,0,0.0,4,2.0
47,69,1719.6629230279357,45.0,111,0.0,46,1.0,1.0,2.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,42160.45,0.0,41840.0,1,8,7.0,2,1.0
48,72,1497.0068606314055,62.0,222,0.0,72,0.0,0.0,2.0,1.5,0.0,0.0,0.0,23720.0,0.0,0.0,25368.8,0.0,0.0,1,1,0.0,3,0.0
49,73,2536.102174771881,39.0,120,2660.0,38,2.0,2.0,4.0,2.1,0.0,0.0,0.0,0.0,23.0,0.0,37536.75,0.0,33370.0,1,0,0.0,4,2.0
50,74,2973.8092948770895,54.0,111,0.0,37,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,676.0,0.0,67834.98175310515,0.0,77170.0,2,9,7.0,1,1.0
51,75,484.95147107788654,54.0,111,0.0,69,3,0.0,3.0,2.0,0.0,11650.0,0.0,0.0,0.0,0.0,15400.95,0.0,0.0,3,8,7.0,2,3.0
52,77,1951.9516134447072,63.0,111,0.0,52,1.0,0.0,2.0,1.5,0.0,0.0,0.0,31640.0,0.0,0.0,30018.1,0.0,0.0,1,9,7.0,3,1.0
53,79,1657.0377486495654,60.0,111,0.0,75,0.0,0.0,2.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,17885.1,0.0,19650.0,1,9,7.0,3,0.0
54,80,2948.8438237666796,38.0,400,0.0,64,2.0,2.0,4.0,2.1,0.0,0.0,0.0,0.0,0.0,0.0,37019.5,0.0,32650.0,2,0,0.0,4,2.0
55,82,1399.48355556834,54.0,112,0.0,67,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,35379.0,0.0,26960.0,1,8,0.0,1,1.0
56,85,2840.9211598665165,59.0,112,0.0,21,1.0,1.0,2.0,1.5,0.0,0.0,0.0,18610.0,0.0,0.0,42967.85,0.0,31860.0,2,9,3.0,3,1.0
57,87,1816.6345479317195,79.0,112,0.0,74,0.0,0.0,2.0,1.5,0.0,0.0,0.0,44340.0,0.0,0.0,41888.3,0.0,0.0,1,7,1.0,3,0.0
58,88,2461.9281072899744,38.0,111,0.0,52,1.0,1.0,5.0,2.4,0.0,0.0,0.0,0.0,0.0,0.0,29404.5,0.0,24200.0,1,10,8.0,4,1.0
59,90,488.03067373515734,48.0,221,0.0,22,1.0,1.0,2.0,1.3,0.0,4390.0,0.0,0.0,0.0,0.0,16750.0,1370.0,0.0,3,1,3.0,2,1.0
60,92,1624.9821242257512,54.0,112,0.0,31,1.0,1.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,29617.6,0.0,31940.0,1,6,0.0,2,1.0
