Source;annee;super_plombe;sp_95;sp_98;sp_e10;sp_e85;somme
;2000;0.16;0.48;0.36;0;0;1
;2001;0.16;0.48;0.36;0;0;1
;2002;0.121;0.534;0.345;0;0;1
;2003;0.092;0.573;0.33;0;0;0.995
;2004;0.068852459;0.609836066;0.314754098;0;0;0.993442623
;2005;0.031578947;0.673684211;0.294736842;0;0;1
;2006;0.007407407;0.733333333;0.259259259;0;0;1
;2007;0;0.76;0.24;0;0;1
;2008;0;0.791666667;0.208333333;0;0;1
;2009;0;0.745;0.193;0.059;0.003;1
;2010;0;0.658;0.198;0.141;0.003;1
;2011;0;0.627;0.188;0.181;0.005;1.001
;2012;0;0.627;0.188;0.181;0.005;1.001
;2013;0;0.627;0.188;0.181;0.005;1.001
;2014;0;0.475;0.199;0.326;0.0;1.001
;2015;0;0.447;0.212;0.341;0.0;1.001
;2016;0;0.447;0.212;0.341;0.0;1.001
;2017;0;0.447;0.212;0.341;0.0;1.001
;;;;;;;
Source : Rapports sur l’industrie pétrolière et gazière et ufip;;;;;;;
