;date;temps;mois;bien;prix;vag;indice_prix_produit
45;2011_8;164.0;8.0;poste_01_0_0;127.88;28;poste_01_0_0_28
47;2011_6;162.0;6.0;poste_01_0_0;128.42;27;poste_01_0_0_27
49;2011_4;160.0;4.0;poste_01_0_0;126.68;26;poste_01_0_0_26
51;2011_2;158.0;2.0;poste_01_0_0;125.3;25;poste_01_0_0_25
53;2010_12;156.0;12.0;poste_01_0_0;125.14;24;poste_01_0_0_24
54;2010_11;155.0;11.0;poste_01_0_0;124.85;23;poste_01_0_0_23
111;2006_2;98.0;2.0;poste_01_0_0;115.89;22;poste_01_0_0_22
114;2005_11;95.0;11.0;poste_01_0_0;114.3;21;poste_01_0_0_21
116;2005_9;93.0;9.0;poste_01_0_0;113.6;20;poste_01_0_0_20
118;2005_7;91.0;7.0;poste_01_0_0;114.4;19;poste_01_0_0_19
120;2005_5;89.0;5.0;poste_01_0_0;115.7;18;poste_01_0_0_18
122;2005_3;87.0;3.0;poste_01_0_0;115.7;17;poste_01_0_0_17
169;2001_4;40.0;4.0;poste_01_0_0;107.8;16;poste_01_0_0_16
170;2001_3;39.0;3.0;poste_01_0_0;106.6;15;poste_01_0_0_15
171;2001_2;38.0;2.0;poste_01_0_0;105.3;14;poste_01_0_0_14
173;2000_12;36.0;12.0;poste_01_0_0;104.2;13;poste_01_0_0_13
175;2000_10;34.0;10.0;poste_01_0_0;103.3;12;poste_01_0_0_12
176;2000_9;33.0;9.0;poste_01_0_0;102.9;11;poste_01_0_0_11
178;2000_7;31.0;7.0;poste_01_0_0;102.7;10;poste_01_0_0_10
179;2000_6;30.0;6.0;poste_01_0_0;103.0;9;poste_01_0_0_9
254;2011_8;164.0;8.0;poste_01_1_1;127.25;28;poste_01_1_1_28
256;2011_6;162.0;6.0;poste_01_1_1;126.52;27;poste_01_1_1_27
258;2011_4;160.0;4.0;poste_01_1_1;125.42;26;poste_01_1_1_26
260;2011_2;158.0;2.0;poste_01_1_1;124.06;25;poste_01_1_1_25
262;2010_12;156.0;12.0;poste_01_1_1;123.88;24;poste_01_1_1_24
263;2010_11;155.0;11.0;poste_01_1_1;123.86;23;poste_01_1_1_23
320;2006_2;98.0;2.0;poste_01_1_1;114.7;22;poste_01_1_1_22
