region,carburant,annee,prix_moyen_par_litre
82,Gazole,2007,1.1
82,Gazole,2008,1.28
82,Gazole,2009,1.01
82,Gazole,2010,1.16
82,Gazole,2011,1.35
82,Gazole,2012,1.41
82,Gazole,2013,1.36
82,Gazole,2014,1.31
82,Gazole,2015,1.18
82,Gazole,2016,
82,Gazole,2017,
82,Gazole,2018,
82,Gazole,2019,
82,Gazole,2020,
82,Gazole,2021,
82,SP95,2007,1.28
82,SP95,2008,1.38
82,SP95,2009,1.23
82,SP95,2010,1.37
82,SP95,2011,1.52
82,SP95,2012,1.59
82,SP95,2013,1.56
82,SP95,2014,1.51
82,SP95,2015,1.38
82,SP95,2016,
82,SP95,2017,
82,SP95,2018,
82,SP95,2019,
82,SP95,2020,
82,SP95,2021,
82,GPLc,2007,0.74
82,GPLc,2008,0.76
82,GPLc,2009,0.66
82,GPLc,2010,0.75
82,GPLc,2011,0.85
82,GPLc,2012,0.88
82,GPLc,2013,0.88
82,GPLc,2014,0.87
82,GPLc,2015,0.8
82,GPLc,2016,
82,GPLc,2017,
82,GPLc,2018,
82,GPLc,2019,
82,GPLc,2020,
82,GPLc,2021,
82,E85,2007,0.83
82,E85,2008,0.89
82,E85,2009,0.95
82,E85,2010,1.09
82,E85,2011,0.91
82,E85,2012,0.94
82,E85,2013,0.95
82,E85,2014,0.93
82,E85,2015,0.94
82,E85,2016,
82,E85,2017,
82,E85,2018,
82,E85,2019,
82,E85,2020,
82,E85,2021,
82,E10,2009,1.24
82,E10,2010,1.36
82,E10,2011,1.5
82,E10,2012,1.56
82,E10,2013,1.55
82,E10,2014,1.5
82,E10,2015,1.37
82,E10,2016,
82,E10,2017,
82,E10,2018,
82,E10,2019,
82,E10,2020,
82,E10,2021,
82,SP98,2013,1.58
82,SP98,2014,1.56
82,SP98,2015,1.43
82,SP98,2016,
82,SP98,2017,
82,SP98,2018,
82,SP98,2019,
82,SP98,2020,
82,SP98,2021,
22,Gazole,2007,1.09
22,Gazole,2008,1.27
22,Gazole,2009,1.0
22,Gazole,2010,1.15
22,Gazole,2011,1.35
22,Gazole,2012,1.41
22,Gazole,2013,1.37
22,Gazole,2014,1.3
22,Gazole,2015,1.16
22,Gazole,2016,
22,Gazole,2017,
22,Gazole,2018,
22,Gazole,2019,
22,Gazole,2020,
22,Gazole,2021,
22,SP95,2007,1.29
22,SP95,2008,1.37
22,SP95,2009,1.21
22,SP95,2010,1.35
22,SP95,2011,1.51
22,SP95,2012,1.58
22,SP95,2013,1.56
22,SP95,2014,1.5
22,SP95,2015,1.37
22,SP95,2016,
22,SP95,2017,
22,SP95,2018,
22,SP95,2019,
22,SP95,2020,
22,SP95,2021,
22,E85,2007,0.81
22,E85,2008,0.83
22,E85,2009,0.88
22,E85,2010,0.97
22,E85,2011,0.88
22,E85,2012,0.92
22,E85,2013,0.91
22,E85,2014,0.85
22,E85,2015,0.77
22,E85,2016,
22,E85,2017,
22,E85,2018,
22,E85,2019,
22,E85,2020,
22,E85,2021,
22,GPLc,2007,0.73
22,GPLc,2008,0.76
22,GPLc,2009,0.66
22,GPLc,2010,0.74
22,GPLc,2011,0.83
22,GPLc,2012,0.88
22,GPLc,2013,0.89
22,GPLc,2014,0.87
22,GPLc,2015,0.81
22,GPLc,2016,
22,GPLc,2017,
22,GPLc,2018,
22,GPLc,2019,
22,GPLc,2020,
22,GPLc,2021,
22,E10,2009,1.26
22,E10,2010,1.37
22,E10,2011,1.52
22,E10,2012,1.58
22,E10,2013,1.55
22,E10,2014,1.49
22,E10,2015,1.36
22,E10,2016,
22,E10,2017,
22,E10,2018,
22,E10,2019,
22,E10,2020,
22,E10,2021,
22,SP98,2013,1.58
22,SP98,2014,1.55
22,SP98,2015,1.42
22,SP98,2016,
22,SP98,2017,
22,SP98,2018,
22,SP98,2019,
22,SP98,2020,
22,SP98,2021,
83,Gazole,2007,1.12
83,Gazole,2008,1.3
83,Gazole,2009,1.03
83,Gazole,2010,1.18
83,Gazole,2011,1.38
83,Gazole,2012,1.43
83,Gazole,2013,1.39
83,Gazole,2014,1.32
83,Gazole,2015,1.18
83,Gazole,2016,
83,Gazole,2017,
83,Gazole,2018,
83,Gazole,2019,
83,Gazole,2020,
83,Gazole,2021,
83,SP95,2007,1.3
83,SP95,2008,1.39
83,SP95,2009,1.24
83,SP95,2010,1.39
83,SP95,2011,1.55
83,SP95,2012,1.62
83,SP95,2013,1.59
83,SP95,2014,1.53
83,SP95,2015,1.39
83,SP95,2016,
83,SP95,2017,
83,SP95,2018,
83,SP95,2019,
83,SP95,2020,
83,SP95,2021,
83,GPLc,2007,0.73
83,GPLc,2008,0.75
83,GPLc,2009,0.66
83,GPLc,2010,0.73
83,GPLc,2011,0.81
83,GPLc,2012,0.86
83,GPLc,2013,0.86
83,GPLc,2014,0.85
83,GPLc,2015,0.79
83,GPLc,2016,
83,GPLc,2017,
83,GPLc,2018,
83,GPLc,2019,
83,GPLc,2020,
83,GPLc,2021,
83,E85,2007,0.84
83,E85,2008,0.85
83,E85,2009,0.93
83,E85,2010,1.34
83,E85,2011,0.83
83,E85,2012,0.86
83,E85,2013,0.91
83,E85,2014,0.81
83,E85,2015,0.91
83,E85,2016,
83,E85,2017,
83,E85,2018,
83,E85,2019,
83,E85,2020,
83,E85,2021,
