Date,diesel_ttc,super_98_ttc,super_95_ttc,super_plombe_ttc,super_95_e10_ttc
2022,1.87,1.95,1.9,,1.86
2021,1.44,1.62,1.56,,1.54
2020,1.27,1.42,1.37,,1.35
2019,1.44,1.56,1.51,,1.49
2018,1.44,1.57,1.51,,
2017,1.23,1.45,1.38,,
2016,1.11,1.35,1.32,,
2015,1.17,1.41,1.37,,
2014,1.3,1.54,1.5,,
2013,1.36,1.6,1.56,,
2012,1.41,1.63,1.59,,
2011,1.34,1.55,1.5,,
2010,1.16,1.4,1.36,,
2009,1.01,1.25,1.22,,
2008,1.28,1.42,1.38,,
2007,1.1,1.32,1.29,,
2006,1.09,1.29,1.25,,
2005,1.03,1.21,1.18,1.24,
2004,0.89,1.09,1.08,1.16,
2003,0.8,1.04,1.02,1.11,
2002,0.77,1.03,1.0,1.1,
2001,0.8,1.05,,1.13,
2000,0.85,1.11,,1.18,
1999,0.69,0.96,,1.01,
1998,0.64,0.93,,0.96,
1997,0.68,0.96,,0.99,
1996,0.66,0.92,,0.96,
1995,0.59,0.87,,0.9,
1994,0.6,0.82,,0.87,
1993,0.56,0.79,,0.84,
1992,0.54,0.78,,0.81,
