vag,diesel_ht,diesel_ttc,gplc_ht,gplc_ttc,super_95_e10_ht,super_95_e10_ttc,super_95_ht,super_95_ttc,super_98_ht,super_98_ttc,super_plombe_ht,super_plombe_ttc
9,0.296327731848,0.823175345335,0.368681532479,0.512599353311,,,0.360053719985,1.13539681717,0.37753044788,1.15629858969,0.375996018032,1.21474436282
10,0.301700145741,0.829601292463,0.375158089631,0.520344374707,,,0.358509776555,1.13355230221,0.370871387149,1.14833679647,0.365544128655,1.20224336351
11,0.373914817587,0.915969251033,0.398148415216,0.547836711858,,,0.356095405644,1.13066669309,0.373348188982,1.15130295126,0.374102637825,1.21247651294
12,0.391973101895,0.907083086239,0.409196029618,0.561046684463,,,0.352526918685,1.09591406144,0.371503010106,1.11861372011,0.375558153964,1.18371707292
13,0.362814451325,0.87220532465,0.419825248586,0.573763206219,,,0.309968682749,1.04501237759,0.327593023259,1.06609529643,0.330261645156,1.12954272279
14,0.302519829806,0.800098177167,0.379441792678,0.525461272614,,,0.302798049262,1.03643988859,0.323557794185,1.06126239982,0.32674016742,1.12533291054
15,0.296665787544,0.797866323555,0.377189358449,0.522762925009,,,0.29990075569,1.03779363586,0.320389903606,1.06230743784,0.323198014504,1.1255097514
16,0.302851406418,0.812435113887,0.365633722942,0.508951044047,,,0.332552286202,1.08408782893,0.353205316812,1.10878838095,0.355915098093,1.17128104434
17,0.4158,0.9959,0.455125,0.616,,,0.33655,1.107175,0.353825,1.12785,0.354925,1.18945
18,0.406625,0.984925,0.47935,0.644925,,,0.3524,1.1261,0.373275,1.1511,0.375,1.213475
19,0.46682,1.05694,0.47362,0.6381,,,0.41118,1.19642,0.44276,1.23422,0.43966,1.2908
20,0.5056,1.10332,0.48466,0.65126,,,0.48808,1.28844,0.54224,1.35322,0.54992,1.42264
21,0.45745,1.045725,0.5067,0.677675,,,0.388625,1.169475,0.439775,1.23065,0.471725,1.32915
22,0.473075,1.0644,0.540075,0.717575,,,0.420775,1.2079,0.4591,1.25375,0.480275,1.339375
23,0.557125,1.1781,0.573675,0.7577,,,0.530425,1.3594,0.55925,1.3939,,
24,0.59582,1.22436,0.60544,0.79576,,,0.57488,1.4126,0.60418,1.44764,,
25,0.656075,1.30745,0.630075,0.8252,,,0.616325,1.4679,0.6448,1.501975,,
26,0.70378,1.36448,0.66262,0.86412,,,0.6709,1.53314,0.70272,1.57122,,
27,0.665875,1.319125,0.668525,0.871225,,,0.6434,1.50025,0.67675,1.540175,,
28,0.658925,1.31085,0.662075,0.8635,,,0.639,1.495,0.6725,1.535075,,
