region,carburant,annee,mois,prix_moyen_par_hectolitre
82,Gazole,2007,1,102.04
82,Gazole,2007,2,102.66
82,Gazole,2007,3,104.28
82,Gazole,2007,4,107.07
82,Gazole,2007,5,107.77
82,Gazole,2007,6,108.82
82,Gazole,2007,7,109.87
82,Gazole,2007,8,109.87
82,Gazole,2007,9,111.57
82,Gazole,2007,10,113.19
82,Gazole,2007,11,121.56
82,Gazole,2007,12,122.36
82,Gazole,2008,1,121.3
82,Gazole,2008,2,121.61
82,Gazole,2008,3,128.08
82,Gazole,2008,4,130.72
82,Gazole,2008,5,140.18
82,Gazole,2008,6,145.9
82,Gazole,2008,7,144.68
82,Gazole,2008,8,136.16
82,Gazole,2008,9,132.21
82,Gazole,2008,10,123.74
82,Gazole,2008,11,113.55
82,Gazole,2008,12,102.93
82,Gazole,2009,1,99.73
82,Gazole,2009,2,98.34
82,Gazole,2009,3,95.81
82,Gazole,2009,4,98.12
82,Gazole,2009,5,98.38
82,Gazole,2009,6,102.94
82,Gazole,2009,7,101.42
82,Gazole,2009,8,104.48
82,Gazole,2009,9,102.8
82,Gazole,2009,10,103.47
82,Gazole,2009,11,105.86
82,Gazole,2009,12,105.21
82,Gazole,2010,1,109.09
82,Gazole,2010,2,109.6
82,Gazole,2010,3,113.36
82,Gazole,2010,4,117.01
82,Gazole,2010,5,118.52
82,Gazole,2010,6,118.11
82,Gazole,2010,7,116.01
82,Gazole,2010,8,115.85
82,Gazole,2010,9,115.92
82,Gazole,2010,10,119.36
82,Gazole,2010,11,120.05
82,Gazole,2010,12,123.58
82,Gazole,2011,1,128.79
82,Gazole,2011,2,131.76
82,Gazole,2011,3,137.19
82,Gazole,2011,4,138.3
82,Gazole,2011,5,134.8
82,Gazole,2011,6,133.76
82,Gazole,2011,7,134.26
82,Gazole,2011,8,133.45
82,Gazole,2011,9,134.68
82,Gazole,2011,10,135.34
82,Gazole,2011,11,138.5
82,Gazole,2011,12,138.75
82,Gazole,2012,1,141.19
82,Gazole,2012,2,143.02
82,Gazole,2012,3,145.64
82,Gazole,2012,4,144.32
82,Gazole,2012,5,141.32
82,Gazole,2012,6,135.46
82,Gazole,2012,7,138.29
82,Gazole,2012,8,143.91
82,Gazole,2012,9,140.22
82,Gazole,2012,10,139.41
82,Gazole,2012,11,137.09
82,Gazole,2012,12,136.81
82,Gazole,2013,1,138.66
82,Gazole,2013,2,141.9
82,Gazole,2013,3,140.26
82,Gazole,2013,4,136.11
82,Gazole,2013,5,133.79
82,Gazole,2013,6,133.97
