carburant,annee,prix_moyen_par_hectolitre
E10,2009,123.95
E10,2010,136.0
E10,2011,151.87
E10,2012,157.29
E10,2013,155.62
E10,2014,150.04
E10,2015,136.87
E10,2016,128.93
E10,2017,137.64
E10,2018,150.77
E10,2019,150.62
E10,2020,136.92
E10,2021,154.69
E10,2022,179.0
E10,2023,187.85
E10,2024,184.77
E85,2007,82.24
E85,2008,85.82
E85,2009,95.36
E85,2010,110.73
E85,2011,90.32
E85,2012,92.09
E85,2013,93.14
E85,2014,88.33
E85,2015,91.36
E85,2016,83.08
E85,2017,73.15
E85,2018,77.23
E85,2019,76.46
E85,2020,71.08
E85,2021,74.54
E85,2022,91.38
E85,2023,114.46
E85,2024,96.0
GPLc,2007,73.27
GPLc,2008,75.73
GPLc,2009,66.64
GPLc,2010,72.95
GPLc,2011,83.52
GPLc,2012,87.48
GPLc,2013,88.3
GPLc,2014,86.78
GPLc,2015,80.59
GPLc,2016,73.92
GPLc,2017,77.31
GPLc,2018,85.62
GPLc,2019,88.46
GPLc,2020,88.23
GPLc,2021,89.15
GPLc,2022,89.15
GPLc,2023,102.77
GPLc,2024,102.15
Gazole,2007,110.09
Gazole,2008,128.09
Gazole,2009,101.35
Gazole,2010,116.22
Gazole,2011,136.25
Gazole,2012,142.54
Gazole,2013,138.21
Gazole,2014,131.42
Gazole,2015,117.3
Gazole,2016,112.93
Gazole,2017,126.14
Gazole,2018,146.0
Gazole,2019,146.38
Gazole,2020,129.0
Gazole,2021,145.62
Gazole,2022,187.62
Gazole,2023,182.85
Gazole,2024,176.69
SP95,2007,129.48
SP95,2008,137.83
SP95,2009,122.74
SP95,2010,136.77
SP95,2011,152.88
SP95,2012,160.17
SP95,2013,157.04
SP95,2014,151.48
SP95,2015,137.95
SP95,2016,133.08
SP95,2017,140.77
SP95,2018,153.46
SP95,2019,153.54
SP95,2020,139.15
SP95,2021,157.69
SP95,2022,184.54
SP95,2023,191.15
SP95,2024,188.31
SP98,2013,159.52
SP98,2014,155.96
SP98,2015,141.91
SP98,2016,136.62
SP98,2017,145.54
SP98,2018,157.92
SP98,2019,158.23
SP98,2020,143.62
SP98,2021,162.08
SP98,2022,185.62
SP98,2023,195.38
SP98,2024,193.08
