,identifiant_menage,depenses_gaz_prix_unitaire,depenses_electricite_prix_unitaire
0,201700000,0.0,0.1449
1,201703228,0.0,0.1449
2,201703732,0.0476,0.1449
3,201704276,0.0,0.1449
4,201704789,0.0476,0.1449
5,201705325,0.0,0.1449
6,201705836,0.0,0.1449
7,201706334,0.0476,0.1449
8,201706845,0.0,0.1449
9,201701035,0.0,0.1449
10,201701562,0.0,0.1449
11,201702080,0.0,0.1449
12,201703009,0.0,0.1449
13,201703062,0.0,0.1449
14,201703114,0.0,0.1449
15,201703170,0.0,0.1449
16,201703229,0.0,0.1449
17,201703389,0.0,0.1449
18,201703445,0.0,0.1449
19,201703537,0.0,0.1449
20,201703833,0.0,0.1449
21,201704156,0.0,0.1449
22,201704445,0.0,0.1449
23,201704498,0.0476,0.1449
24,201704542,0.0,0.1449
25,201704587,0.0476,0.1449
26,201705434,0.0,0.1449
27,201705532,0.0,0.1564
28,201705736,0.0,0.1449
29,201705787,0.0476,0.1449
30,201705969,0.0476,0.1449
31,201706069,0.0476,0.1449
32,201706751,0.0,0.1449
33,201706846,0.0,0.1449
34,201706941,0.0,0.1449
35,201706989,0.0476,0.1449
36,201707133,0.0,0.1449
37,201707191,0.0,0.1449
38,201700001,0.0476,0.1449
39,201700062,0.0,0.1449
40,201700165,0.0,0.1449
41,201700265,0.0,0.1449
42,201700315,0.0897,0.1564
43,201700469,0.0476,0.1449
44,201700517,0.0,0.1449
45,201700670,0.0,0.1449
46,201700727,0.0,0.1449
47,201700776,0.0,0.1449
48,201700882,0.0,0.1449
49,201700987,0.0,0.1449
50,201701036,0.0,0.1449
51,201701186,0.0,0.1449
52,201701240,0.0,0.1449
53,201701337,0.0,0.1449
54,201701454,0.0,0.1449
55,201701507,0.0476,0.1449
56,201701563,0.0,0.1564
57,201701646,0.0476,0.1449
58,201701706,0.0,0.1449
59,201701797,0.0,0.1449
60,201701852,0.0708,0.1449
61,201701909,0.0476,0.1449
62,201701965,0.0708,0.1449
63,201702027,0.0,0.1449
64,201702188,0.0476,0.1449
65,201702331,0.0,0.1564
66,201702384,0.0476,0.1449
67,201702648,0.0,0.1449
68,201702755,0.0,0.1564
69,201702947,0.0,0.1449
70,201703019,0.0,0.1564
71,201703025,0.0476,0.1449
72,201703030,0.0,0.1449
73,201703041,0.0476,0.1449
74,201703047,0.0476,0.1449
75,201703051,0.0,0.1449
76,201703063,0.0,0.1449
77,201703075,0.0,0.1449
78,201703099,0.0,0.1449
79,201703102,0.0,0.1449
80,201703115,0.0,0.1449
81,201703122,0.0,0.1449
82,201703128,0.0,0.1449
83,201703138,0.0897,0.1449
84,201703144,0.0,0.1449
85,201703154,0.0476,0.1449
86,201703179,0.0476,0.1449
87,201703184,0.0476,0.1449
88,201703203,0.0,0.1449
89,201703247,0.0476,0.1449
90,201703252,0.0,0.1449
91,201703267,0.0,0.1449
92,201703271,0.0476,0.1449
93,201703286,0.0,0.1449
94,201703335,0.0476,0.1449
95,201703340,0.0,0.1449
96,201703355,0.0,0.1449
97,201703363,0.0476,0.1449
98,201703381,0.0708,0.1449
99,201703384,0.0476,0.1449
100,201703401,0.0476,0.1449
101,201703406,0.0,0.1449
102,201703416,0.0476,0.1449
103,201703424,0.0,0.1449
104,201703433,0.0476,0.1449
105,201703439,0.0,0.1449
106,201703456,0.0,0.1449
107,201703462,0.0476,0.1449
108,201703478,0.0,0.1449
109,201703481,0.0,0.1449
110,201703488,0.0476,0.1449
111,201703504,0.0,0.1449
112,201703518,0.0,0.1564
113,201703529,0.0,0.1449
114,201703538,0.0476,0.1449
115,201703542,0.0,0.1449
116,201703547,0.0,0.1449
117,201703551,0.0,0.1449
118,201703564,0.0,0.1449
119,201703569,0.0476,0.1449
120,201703575,0.0708,0.1449
121,201703583,0.0476,0.1449
122,201703587,0.0476,0.1449
123,201703597,0.0476,0.1449
124,201703622,0.0476,0.1449
125,201703635,0.0,0.1449
126,201703646,0.0,0.1449
127,201703648,0.0476,0.1449
128,201703652,0.0,0.1449
129,201703657,0.0476,0.1449
130,201703662,0.0476,0.1449
131,201703681,0.0897,0.1564
132,201703691,0.0,0.1449
133,201703696,0.0,0.1449
134,201703705,0.0,0.1449
135,201703736,0.0476,0.1449
136,201703744,0.0,0.1449
137,201703753,0.0476,0.1449
138,201703757,0.0476,0.1449
139,201703775,0.0,0.1449
140,201703798,0.0476,0.1449
141,201703804,0.0,0.1449
142,201703834,0.0476,0.1449
143,201703856,0.0476,0.1449
144,201703867,0.0476,0.1449
145,201703869,0.0,0.1449
146,201703875,0.0476,0.1449
147,201703882,0.0476,0.1449
148,201703894,0.0,0.1449
149,201703908,0.0476,0.1449
150,201703913,0.0,0.1449
151,201703921,0.0476,0.1449
152,201703939,0.0476,0.1449
153,201703957,0.0476,0.1449
154,201703966,0.0476,0.1449
155,201703972,0.0,0.1449
156,201703978,0.0708,0.1449
157,201703983,0.0,0.1449
158,201703995,0.0,0.1449
159,201704003,0.0,0.1564
160,201704019,0.0,0.1449
161,201704024,0.0476,0.1449
162,201704031,0.0897,0.1564
163,201704035,0.0708,0.1449
164,201704051,0.0,0.1449
165,201704074,0.0476,0.1449
166,201704086,0.0476,0.1449
167,201704114,0.0,0.1449
168,201704120,0.0476,0.1449
169,201704124,0.0,0.1449
170,201704131,0.0,0.1449
171,201704138,0.0,0.1449
172,201704150,0.0476,0.1449
173,201704163,0.0,0.1449
174,201704171,0.0476,0.1449
175,201704178,0.0476,0.1449
176,201704183,0.0,0.1449
177,201704212,0.0476,0.1449
178,201704222,0.0,0.1449
179,201704229,0.0708,0.1449
180,201704235,0.0,0.1449
181,201704252,0.0,0.1449
182,201704259,0.0,0.1449
183,201704278,0.0476,0.1449
184,201704286,0.0,0.1564
185,201704298,0.0476,0.1449
186,201704314,0.0,0.1449
187,201704324,0.0,0.1449
188,201704330,0.0,0.1449
189,201704342,0.0,0.1449
190,201704348,0.0,0.1449
191,201704354,0.0,0.1449
192,201704361,0.0,0.1449
193,201704369,0.0476,0.1449
194,201704375,0.0,0.1449
195,201704381,0.0897,0.1449
196,201704389,0.0,0.1449
197,201704409,0.0476,0.1449
198,201704420,0.0476,0.1449
199,201704434,0.0476,0.1449
200,201704446,0.0476,0.1449
201,201704450,0.0,0.1449
202,201704465,0.0,0.1449
203,201704482,0.0897,0.1564
204,201704501,0.0,0.1449
205,201704506,0.0,0.1449
206,201704512,0.0,0.1449
207,201704516,0.0476,0.1449
208,201704522,0.0476,0.1449
209,201704538,0.0476,0.1449
210,201704543,0.0,0.1449
211,201704553,0.0,0.1449
212,201704558,0.0,0.1449
213,201704566,0.0,0.1449
214,201704578,0.0476,0.1449
215,201704596,0.0476,0.1449
216,201704604,0.0,0.1449
217,201704620,0.0,0.1449
218,201704630,0.0,0.1449
219,201704640,0.0,0.1449
220,201704657,0.0476,0.1449
221,201704663,0.0476,0.1449
222,201704678,0.0476,0.1449
223,201704690,0.0,0.1449
224,201704695,0.0,0.1449
225,201704702,0.0476,0.1449
226,201704727,0.0,0.1449
227,201704740,0.0,0.1449
228,201704765,0.0,0.1449
229,201704770,0.0,0.1449
230,201704784,0.0476,0.1449
231,201704790,0.0,0.1449
232,201704815,0.0,0.1449
233,201704818,0.0,0.1449
234,201704828,0.0708,0.1564
235,201704833,0.0,0.1449
236,201704842,0.0,0.1564
237,201704850,0.0476,0.1449
238,201704854,0.0,0.1449
239,201704866,0.0,0.1449
240,201704875,0.0,0.1449
241,201704885,0.0476,0.1564
242,201704891,0.0,0.1449
243,201704899,0.0,0.1449
244,201704918,0.0,0.1449
245,201704946,0.0,0.1449
246,201704984,0.0,0.1449
247,201704990,0.0476,0.1449
248,201705004,0.0,0.1449
249,201705009,0.0,0.1449
250,201705015,0.0476,0.1449
251,201705032,0.0476,0.1449
252,201705048,0.0476,0.1449
253,201705054,0.0708,0.1449
254,201705060,0.0,0.1449
255,201705068,0.0476,0.1449
256,201705078,0.0,0.1449
257,201705082,0.0476,0.1449
258,201705092,0.0,0.1449
259,201705102,0.0,0.1449
260,201705108,0.0476,0.1449
261,201705117,0.0476,0.1449
262,201705122,0.0,0.1449
263,201705126,0.0476,0.1449
264,201705135,0.0,0.1449
265,201705140,0.0,0.1449
266,201705145,0.0476,0.1449
267,201705149,0.0,0.1449
268,201705164,0.0,0.1449
269,201705185,0.0,0.1449
270,201705209,0.0476,0.1449
271,201705214,0.0476,0.1449
272,201705220,0.0476,0.1449
273,201705226,0.0,0.1449
274,201705230,0.0,0.1449
275,201705244,0.0476,0.1449
276,201705250,0.0708,0.1449
277,201705272,0.0476,0.1449
278,201705300,0.0,0.1449
279,201705306,0.0476,0.1449
280,201705321,0.0476,0.1449
281,201705329,0.0476,0.1449
282,201705336,0.0708,0.1449
283,201705352,0.0,0.1449
284,201705363,0.0,0.1449
285,201705373,0.0708,0.1449
286,201705376,0.0,0.1449
287,201705383,0.0897,0.1564
288,201705388,0.0,0.1564
289,201705395,0.0,0.1449
290,201705410,0.0,0.1449
291,201705420,0.0,0.1449
292,201705427,0.0,0.1449
293,201705435,0.0,0.1449
294,201705441,0.0476,0.1449
295,201705448,0.0476,0.1449
296,201705452,0.0,0.1449
297,201705470,0.0,0.1449
298,201705479,0.0,0.1449
299,201705485,0.0,0.1449
300,201705489,0.0,0.1449
301,201705496,0.0476,0.1449
302,201705501,0.0,0.1449
303,201705509,0.0708,0.1564
304,201705519,0.0,0.1449
305,201705559,0.0,0.1449
306,201705569,0.0,0.1449
307,201705578,0.0,0.1564
308,201705584,0.0476,0.1449
309,201705590,0.0,0.1449
310,201705604,0.0476,0.1449
311,201705620,0.0,0.1449
312,201705624,0.0,0.1449
313,201705630,0.0476,0.1449
314,201705638,0.0476,0.1449
315,201705646,0.0,0.1449
316,201705664,0.0476,0.1449
317,201705670,0.0476,0.1449
318,201705681,0.0476,0.1449
319,201705685,0.0,0.1449
320,201705699,0.0476,0.1449
321,201705706,0.0,0.1564
322,201705710,0.0,0.1449
323,201705729,0.0,0.1449
324,201705737,0.0,0.1449
325,201705754,0.0,0.1449
326,201705758,0.0476,0.1449
327,201705767,0.0,0.1449
328,201705770,0.0476,0.1449
329,201705778,0.0,0.1449
330,201705797,0.0,0.1449
331,201705805,0.0,0.1449
332,201705817,0.0,0.1449
333,201705827,0.0,0.1449
334,201705851,0.0,0.1449
335,201705867,0.0476,0.1449
336,201705872,0.0,0.1449
337,201705888,0.0,0.1449
338,201705895,0.0,0.1449
339,201705911,0.0,0.1449
340,201705917,0.0476,0.1449
341,201705928,0.0476,0.1449
342,201705948,0.0,0.1449
343,201705957,0.0476,0.1449
344,201705963,0.0,0.1449
345,201705992,0.0476,0.1449
346,201706005,0.0476,0.1449
347,201706010,0.0476,0.1449
348,201706025,0.0476,0.1449
349,201706031,0.0476,0.1449
350,201706050,0.0476,0.1449
351,201706055,0.0,0.1449
352,201706076,0.0476,0.1449
353,201706080,0.0,0.1449
354,201706114,0.0,0.1449
355,201706121,0.0,0.1449
356,201706128,0.0,0.1449
357,201706145,0.0,0.1449
358,201706153,0.0476,0.1449
359,201706162,0.0,0.1449
360,201706178,0.0,0.1449
361,201706188,0.0,0.1449
362,201706191,0.0,0.1449
363,201706202,0.0,0.1449
364,201706210,0.0,0.1449
365,201706233,0.0476,0.1449
366,201706243,0.0,0.1564
367,201706256,0.0476,0.1449
368,201706259,0.0708,0.1449
369,201706262,0.0,0.1449
370,201706281,0.0,0.1449
371,201706295,0.0476,0.1449
372,201706302,0.0476,0.1449
373,201706316,0.0,0.1449
374,201706342,0.0476,0.1449
375,201706353,0.0,0.1449
376,201706355,0.0,0.1449
377,201706367,0.0,0.1449
378,201706376,0.0,0.1449
379,201706388,0.0,0.1564
380,201706418,0.0476,0.1449
381,201706427,0.0,0.1449
382,201706434,0.0,0.1449
383,201706440,0.0,0.1449
384,201706446,0.0476,0.1449
385,201706454,0.0,0.1564
386,201706468,0.0476,0.1449
387,201706482,0.0,0.1449
388,201706492,0.0,0.1449
389,201706496,0.0,0.1449
390,201706506,0.0476,0.1449
391,201706520,0.0,0.1449
392,201706532,0.0476,0.1449
393,201706539,0.0,0.1449
394,201706543,0.0,0.1449
395,201706560,0.0476,0.1449
396,201706569,0.0,0.1449
397,201706574,0.0708,0.1449
398,201706580,0.0476,0.1449
399,201706591,0.0,0.1449
400,201706597,0.0476,0.1449
401,201706602,0.0,0.1564
402,201706614,0.0476,0.1449
403,201706624,0.0,0.1449
404,201706629,0.0708,0.1449
405,201706644,0.0476,0.1449
406,201706652,0.0708,0.1449
407,201706662,0.0,0.1449
408,201706671,0.0,0.1449
409,201706692,0.0,0.1449
410,201706706,0.0476,0.1449
411,201706737,0.0476,0.1449
412,201706743,0.0476,0.1449
413,201706748,0.0,0.1449
414,201706770,0.0,0.1449
415,201706776,0.0476,0.1449
416,201706783,0.0,0.1449
417,201706796,0.0,0.1449
418,201706807,0.0,0.1449
419,201706817,0.0,0.1449
420,201706839,0.0,0.1449
421,201706847,0.0,0.1449
422,201706851,0.0,0.1449
423,201706855,0.0,0.1449
424,201706874,0.0,0.1449
425,201706889,0.0,0.1449
426,201706898,0.0,0.1449
427,201706902,0.0,0.1449
428,201706907,0.0476,0.1449
429,201706919,0.0476,0.1449
430,201706925,0.0,0.1449
431,201706936,0.0476,0.1449
432,201706942,0.0476,0.1449
433,201706953,0.0,0.1449
434,201706966,0.0,0.1449
435,201706973,0.0476,0.1449
436,201706980,0.0,0.1449
437,201706998,0.0,0.1449
438,201707004,0.0,0.1449
439,201707026,0.0,0.1449
440,201707032,0.0,0.1449
441,201707060,0.0,0.1449
442,201707121,0.0476,0.1449
443,201707128,0.0,0.1449
444,201707137,0.0476,0.1449
445,201707145,0.0,0.1449
446,201707150,0.0476,0.1449
447,201707156,0.0708,0.1449
448,201707169,0.0,0.1564
449,201707174,0.0476,0.1449
450,201707179,0.0476,0.1449
451,201707187,0.0476,0.1449
452,201707196,0.0,0.1449
453,201707200,0.0,0.1449
454,201707221,0.0,0.1449
455,201707229,0.0476,0.1449
456,201707259,0.0,0.1449
457,201707275,0.0,0.1449
458,201707291,0.0476,0.1449
459,201707306,0.0476,0.1449
460,201707309,0.0708,0.1449
461,201707319,0.0,0.1449
462,201707328,0.0476,0.1449
463,201707336,0.0476,0.1449
464,201700002,0.0,0.1449
465,201700007,0.0476,0.1449
466,201700020,0.0476,0.1449
467,201700033,0.0,0.1449
468,201700039,0.0,0.1449
469,201700044,0.0,0.1449
470,201700048,0.0476,0.1449
471,201700054,0.0,0.1564
472,201700067,0.0,0.1449
473,201700077,0.0476,0.1449
474,201700082,0.0,0.1449
475,201700086,0.0,0.1449
476,201700097,0.0,0.1449
477,201700103,0.0476,0.1449
478,201700110,0.0476,0.1449
479,201700127,0.0476,0.1449
480,201700132,0.0,0.1449
481,201700142,0.0708,0.1449
482,201700159,0.0,0.1449
483,201700172,0.0,0.1449
484,201700179,0.0,0.1449
485,201700188,0.0708,0.1449
486,201700197,0.0,0.1449
487,201700205,0.0897,0.1449
488,201700209,0.0,0.1449
489,201700219,0.0,0.1449
490,201700229,0.0,0.1449
491,201700240,0.0,0.1449
492,201700244,0.0,0.1449
493,201700256,0.0476,0.1449
494,201700269,0.0,0.1449
495,201700279,0.0,0.1449
496,201700288,0.0476,0.1449
497,201700297,0.0476,0.1449
498,201700303,0.0,0.1564
499,201700305,0.0,0.1449
500,201700309,0.0476,0.1449
501,201700344,0.0476,0.1449
502,201700354,0.0476,0.1449
503,201700357,0.0476,0.1449
504,201700371,0.0708,0.1449
505,201700380,0.0,0.1449
506,201700388,0.0,0.1449
507,201700394,0.0,0.1449
508,201700428,0.0476,0.1449
509,201700444,0.0,0.1449
510,201700450,0.0,0.1449
511,201700456,0.0476,0.1449
512,201700464,0.0476,0.1449
513,201700473,0.0,0.1564
514,201700477,0.0,0.1449
515,201700479,0.0,0.1449
516,201700483,0.0,0.1449
517,201700491,0.0,0.1449
518,201700498,0.0,0.1449
519,201700504,0.0,0.1449
520,201700518,0.0,0.1449
521,201700522,0.0476,0.1449
522,201700528,0.0476,0.1449
523,201700531,0.0,0.1449
524,201700537,0.0476,0.1564
525,201700549,0.0476,0.1449
526,201700560,0.0708,0.1564
527,201700565,0.0,0.1449
