start;stop;value
1990-01-01;1990-12-31;21.16989088461538
1991-01-01;1991-12-31;21.076076249999996
1992-01-01;1992-12-31;18.762955826923083
1993-01-01;1993-12-31;18.918059981132078
1994-01-01;1994-12-31;17.253123711538453
1995-01-01;1995-12-31;16.23875121153846
1996-01-01;1996-12-31;19.275506711538462
1997-01-01;1997-12-31;20.25689723076923
1998-01-01;1998-12-31;16.234354
1999-01-01;1999-12-31;19.107906540347734
2000-01-01;2000-12-31;32.126659281920574
2001-01-01;2001-12-31;29.123857093368464
2002-01-01;2002-12-31;26.25824730769231
2003-01-01;2003-12-31;27.152692307692316
2004-01-01;2004-12-31;32.37679245283018
2005-01-01;2005-12-31;44.16384615384615
2006-01-01;2006-12-31;48.403076923076924
2007-01-01;2007-12-31;48.96942307692306
2008-01-01;2008-12-31;63.17346153846154
2009-01-01;2009-12-31;41.019423076923076
2010-01-01;2010-12-31;53.093584905660386
2011-01-01;2011-12-31;67.94865384615385
2012-01-01;2012-12-31;73.67538461538462
2013-01-01;2013-12-31;68.97000000000001
2014-01-01;2014-12-31;63.050000000000004
