start;stop;value
01/01/1990;31/12/1990;54.18682992307693
01/01/1991;31/12/1991;54.597269750000024
01/01/1992;31/12/1992;52.72683715384615
01/01/1993;31/12/1993;55.96604733962266
01/01/1994;31/12/1994;58.813071173076914
01/01/1995;31/12/1995;58.692871000000025
01/01/1996;31/12/1996;65.33431267307694
01/01/1997;31/12/1997;67.64001586538461
01/01/1998;31/12/1998;64.23914226923077
01/01/1999;31/12/1999;68.99851655879738
01/01/2000;31/12/2000;84.68271801972327
01/01/2001;31/12/2001;79.6018342320654
01/01/2002;31/12/2002;77.24235269230768
01/01/2003;31/12/2003;79.34711538461539
01/01/2004;31/12/2004;88.47094339622645
01/01/2005;31/12/2005;102.68038461538464
01/01/2006;31/12/2006;107.75096153846155
01/01/2007;31/12/2007;109.49326923076923
01/01/2008;31/12/2008;126.70923076923076
01/01/2009;31/12/2009;100.23500000000001
01/01/2010;31/12/2010;114.67490566037736
01/01/2011;31/12/2011;133.54423076923078
01/01/2012;31/12/2012;139.5775
01/01/2013;31/12/2013;135.01807692307693
01/01/2014;31/12/2014;128.56192307692314
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
