start,stop,value
1990-01-01,1990-12-31,nan
1991-01-01,1991-12-31,nan
1992-01-01,1992-12-31,nan
1993-01-01,1993-12-31,nan
1994-01-01,1994-12-31,nan
1995-01-01,1995-12-31,nan
1996-01-01,1996-12-31,nan
1997-01-01,1997-12-31,29.273336442307695
1998-01-01,1998-12-31,28.45713938461538
1999-01-01,1999-12-31,29.891474548965665
2000-01-01,2000-12-31,37.715597152702124
2001-01-01,2001-12-31,36.40178568598863
2002-01-01,2002-12-31,35.57865211538464
2003-01-01,2003-12-31,38.954807692307696
2004-01-01,2004-12-31,41.345283018867896
2005-01-01,2005-12-31,47.79576923076924
2006-01-01,2006-12-31,53.41749999999996
2007-01-01,2007-12-31,53.50057692307691
2008-01-01,2008-12-31,57.784230769230746
2009-01-01,2009-12-31,50.44183017499999
2010-01-01,2010-12-31,55.69056603773584
2011-01-01,2011-12-31,65.4148076923077
2012-01-01,2012-12-31,67.77673076923075
2013-01-01,2013-12-31,67.0119230769231
2014-01-01,2014-12-31,65.38288461538461
