start;stop;value
1990-01-01;1990-12-31;nan
1991-01-01;1991-12-31;nan
1992-01-01;1992-12-31;nan
1993-01-01;1993-12-31;nan
1994-01-01;1994-12-31;nan
1995-01-01;1995-12-31;nan
1996-01-01;1996-12-31;nan
1997-01-01;1997-12-31;43.52666340384612
1998-01-01;1998-12-31;42.00776576923072
1999-01-01;1999-12-31;43.23530005726341
2000-01-01;2000-12-31;52.376069639495384
2001-01-01;2001-12-31;50.702196725012485
2002-01-01;2002-12-31;49.71465961538461
2003-01-01;2003-12-31;53.75615384615384
2004-01-01;2004-12-31;56.61339622641511
2005-01-01;2005-12-31;64.32788461538462
2006-01-01;2006-12-31;71.05192307692307
2007-01-01;2007-12-31;71.15096153846152
2008-01-01;2008-12-31;76.2740384615385
2009-01-01;2009-12-31;67.49169581346153
2010-01-01;2010-12-31;73.768679245283
2011-01-01;2011-12-31;85.40019230769231
2012-01-01;2012-12-31;88.22499999999998
2013-01-01;2013-12-31;87.31173076923073
2014-01-01;2014-12-31;85.6473076923077
