start,stop,value
1990-01-01,1990-12-31,nan
1991-01-01,1991-12-31,nan
1992-01-01,1992-12-31,nan
1993-01-01,1993-12-31,nan
1994-01-01,1994-12-31,nan
1995-01-01,1995-12-31,nan
1996-01-01,1996-12-31,nan
1997-01-01,1997-12-31,nan
1998-01-01,1998-12-31,nan
1999-01-01,1999-12-31,nan
2000-01-01,2000-12-31,nan
2001-01-01,2001-12-31,nan
2002-01-01,2002-12-31,nan
2003-01-01,2003-12-31,nan
2004-01-01,2004-12-31,nan
2005-01-01,2005-12-31,nan
2006-01-01,2006-12-31,nan
2007-01-01,2007-12-31,nan
2008-01-01,2008-12-31,nan
2009-01-01,2009-12-31,nan
2010-01-01,2010-12-31,nan
2011-01-01,2011-12-31,nan
2012-01-01,2012-12-31,nan
2013-01-01,2013-12-31,65.04846153846154
2014-01-01,2014-12-31,61.632115384615396
