start;stop;value
1990-01-01;1990-12-31;26.256075942857127
1991-01-01;1991-12-31;23.063776673076912
1992-01-01;1992-12-31;20.46628025
1993-01-01;1993-12-31;19.053250528301888
1994-01-01;1994-12-31;17.06549401923077
1995-01-01;1995-12-31;16.918908365384606
1996-01-01;1996-12-31;18.59262313461539
1997-01-01;1997-12-31;20.317613019230762
1998-01-01;1998-12-31;17.26602334615384
1999-01-01;1999-12-31;20.237127474156416
2000-01-01;2000-12-31;32.80686891426191
2001-01-01;2001-12-31;29.186948690816923
2002-01-01;2002-12-31;26.766328269230772
2003-01-01;2003-12-31;26.056730769230768
2004-01-01;2004-12-31;29.7311320754717
2005-01-01;2005-12-31;38.56538461538462
2006-01-01;2006-12-31;44.493269230769236
2007-01-01;2007-12-31;46.49769230769229
2008-01-01;2008-12-31;52.61673076923078
2009-01-01;2009-12-31;40.485192307692316
2010-01-01;2010-12-31;51.95509433962263
2011-01-01;2011-12-31;64.27923076923078
2012-01-01;2012-12-31;70.58673076923078
2013-01-01;2013-12-31;67.25865384615386
2014-01-01;2014-12-31;62.38769230769231
