start,stop,value
1990-01-01,1990-12-31,27.15334725714286
1991-01-01,1991-12-31,23.72048005769231
1992-01-01,1992-12-31,21.61551117307692
1993-01-01,1993-12-31,20.592122584905663
1994-01-01,1994-12-31,18.41115040384616
1995-01-01,1995-12-31,17.43488969230769
1996-01-01,1996-12-31,19.26501119230769
1997-01-01,1997-12-31,21.096510192307683
1998-01-01,1998-12-31,18.02973446153846
1999-01-01,1999-12-31,20.95585011062435
2000-01-01,2000-12-31,34.2730166759952
2001-01-01,2001-12-31,31.2061048355875
2002-01-01,2002-12-31,28.597199615384618
2003-01-01,2003-12-31,27.74807692307691
2004-01-01,2004-12-31,31.60528301886793
2005-01-01,2005-12-31,41.8551923076923
2006-01-01,2006-12-31,47.62769230769232
2007-01-01,2007-12-31,49.180769230769236
2008-01-01,2008-12-31,55.88711538461537
2009-01-01,2009-12-31,43.31744959423077
2010-01-01,2010-12-31,54.94377358490566
2011-01-01,2011-12-31,67.44692307692304
2012-01-01,2012-12-31,74.9678846153846
2013-01-01,2013-12-31,72.07038461538458
2014-01-01,2014-12-31,67.40653846153847
