start;stop;value
1990-01-01;1990-12-31;82.37473702857142
1991-01-01;1991-12-31;79.10638080769232
1992-01-01;1992-12-31;77.37667063461538
1993-01-01;1993-12-31;79.71645350943398
1994-01-01;1994-12-31;81.89737082692307
1995-01-01;1995-12-31;86.31252840384617
1996-01-01;1996-12-31;91.70749426923075
1997-01-01;1997-12-31;95.0343713653846
1998-01-01;1998-12-31;92.77666009615385
1999-01-01;1999-12-31;96.36062888918984
2000-01-01;2000-12-31;110.9293672278854
2001-01-01;2001-12-31;105.70287687805731
2002-01-01;2002-12-31;103.6501703846154
2003-01-01;2003-12-31;103.65499999999999
2004-01-01;2004-12-31;108.26849056603774
2005-01-01;2005-12-31;120.52730769230773
2006-01-01;2006-12-31;127.43038461538463
2007-01-01;2007-12-31;130.85519230769228
2008-01-01;2008-12-31;139.28673076923076
2009-01-01;2009-12-31;124.30819740384618
2010-01-01;2010-12-31;138.21471698113209
2011-01-01;2011-12-31;153.74288461538455
2012-01-01;2012-12-31;161.8167307692308
2013-01-01;2013-12-31;159.42769230769233
2014-01-01;2014-12-31;154.4803846153846
