start,stop,value
1990-01-01,1990-12-31,21.026237230769222
1991-01-01,1991-12-31,20.23760674999999
1992-01-01,1992-12-31,18.220589076923073
1993-01-01,1993-12-31,17.704220320754715
1994-01-01,1994-12-31,16.36188309615384
1995-01-01,1995-12-31,15.757950519230771
1996-01-01,1996-12-31,17.729057923076923
1997-01-01,1997-12-31,19.401394442307694
1998-01-01,1998-12-31,16.38677373076923
1999-01-01,1999-12-31,19.477625445840186
2000-01-01,2000-12-31,34.20978808506673
2001-01-01,2001-12-31,31.379613575567877
2002-01-01,2002-12-31,28.516676730769223
2003-01-01,2003-12-31,27.680961538461542
2004-01-01,2004-12-31,31.438301886792452
2005-01-01,2005-12-31,42.613653846153845
2006-01-01,2006-12-31,49.248269230769225
2007-01-01,2007-12-31,nan
2008-01-01,2008-12-31,nan
2009-01-01,2009-12-31,nan
2010-01-01,2010-12-31,nan
2011-01-01,2011-12-31,nan
2012-01-01,2012-12-31,nan
2013-01-01,2013-12-31,nan
2014-01-01,2014-12-31,nan
