start,stop,value
1990-01-01,1990-12-31,81.44002340384617
1991-01-01,1991-12-31,81.49572623076925
1992-01-01,1992-12-31,79.99175805769231
1993-01-01,1993-12-31,82.92291666037737
1994-01-01,1994-12-31,85.5385565576923
1995-01-01,1995-12-31,89.11231359615385
1996-01-01,1996-12-31,94.69221119230771
1997-01-01,1997-12-31,98.00627723076924
1998-01-01,1998-12-31,95.80412178846154
1999-01-01,1999-12-31,100.24807667711076
2000-01-01,2000-12-31,116.88560606537996
2001-01-01,2001-12-31,111.85613846807611
2002-01-01,2002-12-31,109.52166249999999
2003-01-01,2003-12-31,109.60326923076921
2004-01-01,2004-12-31,114.0958490566038
2005-01-01,2005-12-31,127.46173076923077
2006-01-01,2006-12-31,135.39673076923074
2007-01-01,2007-12-31,nan
2008-01-01,2008-12-31,nan
2009-01-01,2009-12-31,nan
2010-01-01,2010-12-31,nan
2011-01-01,2011-12-31,nan
2012-01-01,2012-12-31,nan
2013-01-01,2013-12-31,nan
2014-01-01,2014-12-31,nan
