,elas_exp_1,elas_exp_2,elas_exp_3,elas_price_1_1,elas_price_1_2,elas_price_1_3,elas_price_2_1,elas_price_2_2,elas_price_2_3,elas_price_3_1,elas_price_3_2,elas_price_3_3,ident_men,year
0,0.0,0.6543285,1.079216,0.0,0.0,0.0,0.0811505,-0.646617591381073,-0.0888614,-0.0271186,-0.0354025,-1.0166950225830078,13400,2017
1,0.0,0.2509742,1.093853,0.0,0.0,0.0,0.1316023,-0.4970740079879761,0.1144976,-0.0272042,-0.034407,-1.032241940498352,7936,2017
2,0.0,-7.122066,1.095038,0.0,0.0,0.0,1.737357,0.0,1.895819,-0.0285331,-0.0310817,-1.0354230403900146,6409,2017
3,-0.3361139,0.742642,1.05046,-0.32240089774131775,0.1927769,0.4657379,0.1284473,-0.29154521226882935,-0.5795441,-0.0255081,-0.0340124,-0.9909396767616272,9693,2017
4,0.0,0.6563599,1.100637,0.0,0.0,0.0,0.0624286,-0.768711507320404,0.049923,-0.0300369,-0.0387805,-1.0318200588226318,2988,2017
5,0.2968294,0.2268735,1.104926,-0.7394670844078064,0.0789744,0.3636633,0.1266588,-0.48894020915031433,0.135408,-0.0291445,-0.0376209,-1.038161039352417,15731,2017
6,0.0,0.1626605,1.068453,0.0,0.0,0.0,0.2107015,-0.047547098249197006,-0.3258149,-0.0253898,-0.0326964,-1.0103670358657837,6395,2017
7,0.0,0.4969223,1.115877,0.0,0.0,0.0,0.1039015,-0.7710906267166138,0.1702667,-0.0336056,-0.034455,-1.0478169918060303,4276,2017
8,0.6104483,0.6893849,1.114612,-0.8433380722999573,0.0476658,0.185224,0.0535397,-0.7880867123603821,0.0451621,-0.0339989,-0.0434883,-1.0371240377426147,1814,2017
9,0.0,0.6063695,1.078845,0.0,0.0,0.0,0.0902412,-0.5755584239959717,-0.1210523,-0.0260716,-0.0343184,-1.0184550285339355,3067,2017
10,0.0,-1.58546,1.081418,0.0,0.0,0.0,0.5409735,0.0,0.1803245,-0.0266552,-0.0317634,-1.0230000019073486,6574,2017
11,0.0,0.6364109,1.151529,0.0,0.0,0.0,0.0717817,-0.8631278872489929,0.1549353,-0.0398967,-0.0397471,-1.0718849897384644,14258,2017
12,0.0,0.6226861,1.102391,0.0,0.0,0.0,0.0729791,-0.7414132952690125,0.045748,-0.0291218,-0.0358735,-1.03739595413208,6435,2017
13,0.0,0.8244085,1.130626,0.0,0.0,0.0,0.0281068,-0.8947988748550415,0.0422835,-0.036177,-0.0476902,-1.046759009361267,3795,2017
14,0.0,0.5146794,1.104637,0.0,0.0,0.0,0.0864021,-0.7643017172813416,0.1632202,-0.0325874,-0.0377467,-1.034301996231079,9322,2017
15,0.0,0.5833018,1.107127,0.0,0.0,0.0,0.0643623,-0.7523577809333801,0.1046937,-0.0292973,-0.0380401,-1.0397900342941284,14853,2017
16,0.0,0.6992316,1.144967,0.0,0.0,0.0,0.0584717,-0.8887569904327393,0.1310537,-0.0410504,-0.0403572,-1.0635590553283691,1164,2017
17,0.6626987,0.5491444,1.107081,-0.8674010038375854,0.0422403,0.162462,0.0819605,-0.6526070237159729,0.021502,-0.0325068,-0.0426881,-1.0318859815597534,15298,2017
