,ident_men,w1,w2,w3,w4,p1,p2,p3,p4,agepr,depenses_par_uc,depenses_tot,dip14pr,elect_only,nactifs,nenfants,situacj,situapr,sourcp,typmen,vag,veh_diesel,veh_essence,veh_tot,part_veh_essence,year,rural,villes_petites,villes_moyennes,villes_grandes,agglo_paris,proprietaire,accedant,locataire,sous_loc,loge_gratuit,vag_9,vag_10,vag_11,vag_12,vag_13,vag_14,vag_15,vag_16
0,11002220,0.0,0.01599752296418619,0.04685726081122923,0.9371452162245846,121.290671929,92.0992992412,104.027973568,100.901398678,31,9689.0,9689,31,1,0,0,0,4,1,1,9,0,0,0,0.5,2000,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0
1,11002480,0.0,0.05672698088428425,0.20636947322340582,0.7369035458923099,121.290671929,92.9,104.233109422,101.389762376,69,18274.666666666668,27412,50,1,0,1,0,5,1,2,9,0,0,0,0.5,2000,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0
2,11002860,0.0,0.023762670330078343,0.04633720714365277,0.9299001225262689,121.290671929,92.0992992412,104.019391026,102.715979237,52,26933.0,26933,10,1,1,0,0,1,1,1,9,0,0,0,0.5,2000,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0
3,11002930,0.0,0.07312,0.23776,0.68912,121.290671929,92.0992992412,104.006931359,101.200719759,72,6250.0,6250,60,1,0,0,0,5,0,1,9,0,0,0,0.5,2000,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0
4,11003670,0.0,0.01650879566982409,0.08459630130807397,0.898894903022102,121.290671929,92.0992992412,102.927006132,102.625609052,39,29560.0,44340,20,1,2,0,0,1,4,5,9,1,1,2,0.5,2000,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0
5,11004020,0.0,0.03775920767564222,0.24760136180748993,0.7146394305168678,121.290671929,92.9,103.008041667,101.914667244,61,9693.0,9693,41,1,0,0,0,5,1,1,9,0,0,0,0.5,2000,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0
6,11004460,0.028328996932157974,0.019261387907265736,0.07366704205661916,0.8787425731039571,140.625957518,92.0992992412,103.608750659,101.081653667,46,34334.666666666664,51502,12,1,1,1,0,1,0,2,9,0,1,1,1.0,2000,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0
7,11004570,0.0,0.036477193448722633,0.10893325803129464,0.8545895485199827,121.290671929,92.9,103.444708753,101.689814959,52,20067.333333333332,30101,31,1,2,1,0,1,2,2,9,0,0,0,0.5,2000,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0
8,11004680,0.0,0.013653532938281874,0.04463388432616003,0.9417125827355581,140.625957518,98.1564460747,102.585326087,101.002101196,38,16031.66709136081,28857,12,0,1,1,3,1,4,4,9,0,1,1,1.0,2000,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0
9,11004840,0.03226790289130169,0.011848847139197267,0.09881664023423203,0.857066609735269,140.625957518,92.0992992412,102.899737654,101.906823479,48,26230.4,65576,41,1,2,2,1,1,0,4,9,0,1,1,1.0,2000,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0
10,11005160,0.03241013553329405,0.02694881724050846,0.09206372590285378,0.8485773213233437,101.955386339,92.0992992412,102.619190765,101.741518068,49,47516.0,95032,10,1,2,1,1,1,0,4,9,1,0,1,0.0,2000,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0
11,11005320,0.0315406168572768,0.011970825201966791,0.11838906272145482,0.8380994952193016,140.625957518,92.0992992412,103.192181601,101.230240787,43,38217.91514802316,91723,10,1,1,3,6,1,4,4,9,0,2,2,1.0,2000,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0
