,ident_men,w1,w2,w3,w4,p1,p2,p3,p4,depenses_par_uc,depenses_tot,typmen,dip14pr,agepr,situapr,situacj,nenfants,nactifs,vag,veh_diesel,veh_essence,elect_only,veh_tot,part_veh_essence,year,rural,villes_petites,villes_moyennes,villes_grandes,agglo_paris,proprietaire,accedant,locataire,sous_loc,loge_gratuit,vag_17,vag_18,vag_19,vag_20,vag_21,vag_22
0,11000401000,0.0,0.027422026124048614,0.09641714478828466,0.8761608290876667,146.110502675,96.2,117.459555265,113.828201225,36904.639920552574,55356.95988082886,3,20,50,4,1,0,2,18,0.0,2.0,1,2.0,1.0,2005,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0
1,11001401000,0.04714003806047707,0.03105319759751072,0.11998880367935341,0.8018179606626588,146.110502675,122.637274005,115.227218841,112.732748977,34471.75833662351,82732.22000789642,4,20,37,1,1,3,2,18,0.0,1.0,0,1.0,1.0,2005,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0
2,11001501000,0.0,0.034799351770678576,0.010107782681880919,0.9550928655474406,136.951835499,96.2,116.063359813,112.010709607,19081.00666300456,28621.509994506836,5,20,26,1,0,0,2,18,0.0,0.0,1,0.0,0.5,2005,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0
3,11001801000,0.0,0.01644015774734311,0.1623386623175644,0.8212211799350925,136.951835499,96.2,117.137093738,120.506667833,21532.640102386475,21532.640102386475,1,41,61,5,0,0,0,18,0.0,0.0,1,0.0,0.5,2005,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0
4,11002201000,0.01220708858809319,0.016097259676606405,0.10013099053253215,0.8715646612027682,136.951835499,96.2,117.557119421,110.985104588,19879.159958203632,29818.73993730545,3,41,33,1,3,0,1,18,0.0,0.0,1,0.0,0.5,2005,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0
5,11002301000,0.0,0.03608930037835476,0.06270170837267684,0.9012089912489684,136.951835499,96.2,115.667481798,110.820233699,20283.01996231079,20283.01996231079,1,20,49,1,0,0,1,18,0.0,0.0,1,0.0,0.5,2005,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0
6,11003201000,0.016816325934891217,0.011765610750788266,0.08290332597356073,0.8885147373407598,146.110502675,96.2,119.419149943,112.700228521,61195.29323641459,91792.93985462189,3,20,70,5,6,0,0,18,0.0,2.0,1,2.0,1.0,2005,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0
7,11003301000,0.0,0.0442302390097062,0.28349076866067535,0.6722789923296184,127.793168322,96.2,116.38158669,114.837959827,13565.380007743835,27130.76001548767,4,70,54,1,5,1,2,18,1.0,0.0,1,1.0,0.0,2005,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0
8,11003501000,0.05497096214527707,0.02539694632784723,0.16141185888884124,0.7582202326380345,146.110502675,96.2,117.474872631,114.788331609,47669.773012797035,71504.65951919556,3,20,69,5,5,0,0,18,0.0,1.0,1,1.0,1.0,2005,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0
9,11003601000,0.0,0.02762429387712069,0.08574255232218084,0.8866331538006985,146.110502675,96.2,113.970077478,113.475246129,23747.213337580364,35620.820006370544,3,20,27,1,3,0,1,18,0.0,1.0,1,1.0,1.0,2005,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0
10,11003701000,0.0,0.027481637807907945,0.11998391417442915,0.8525344480176629,136.951835499,96.2,117.386667262,118.278308327,21832.7599029541,21832.7599029541,1,20,33,1,0,0,1,18,0.0,0.0,1,0.0,0.5,2005,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0
11,11056101000,0.017229006420129128,0.050190380846298156,0.1164682225182262,0.8161123902153465,133.89894644,121.400803213,117.167951393,110.951543782,39688.87994893392,59533.31992340088,3,41,78,5,5,0,0,18,2.0,1.0,0,3.0,0.333333333333,2005,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0
12,11056201000,0.0,0.08896388187686737,0.21710004460309612,0.6939360735200365,136.951835499,96.2,117.031394796,111.938325071,13488.620040893555,13488.620040893555,1,70,85,5,0,0,0,18,0.0,0.0,1,0.0,0.5,2005,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0
13,11056301000,0.01646319152207972,0.05554383028364135,0.06046131051993293,0.867531667674346,136.951835499,96.2,114.304952229,111.093547853,18003.799790064495,27005.69968509674,3,41,26,3,3,0,0,18,0.0,0.0,1,0.0,0.5,2005,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0
14,11056501000,0.0,0.10733086532074816,0.08826033292804214,0.8044088017512097,146.110502675,106.466906475,114.911837703,112.70867452,23908.81540445181,31081.460025787354,2,20,32,1,0,1,1,18,0.0,1.0,0,1.0,1.0,2005,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0
15,11056601000,0.0,0.11645723148741823,0.11463255515213318,0.7689102133604486,136.951835499,106.080184332,116.179612255,114.554536931,14906.7599995931,22360.13999938965,3,42,59,1,4,0,2,18,0.0,0.0,0,0.0,0.5,2005,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0
16,11056801000,0.055348017451250876,0.04117543230985328,0.25246029916981017,0.6510162510690857,136.951835499,96.2,116.695984129,109.956149372,15838.908700113712,36429.490010261536,4,71,59,1,1,2,2,18,1.0,1.0,1,2.0,0.5,2005,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0
17,11057101000,0.0,0.02138416656581459,0.17153729214167843,0.807078541292507,136.951835499,97.875,117.759976763,111.186281573,20950.079986572266,31425.1199798584,3,20,73,5,5,0,0,18,0.0,0.0,0,0.0,0.5,2005,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0
18,11057201000,0.0,0.02378848205864768,0.09945887621927196,0.8767526417220803,136.951835499,96.2,118.729638947,106.648240098,7818.909989356995,15637.81997871399,5,20,57,1,0,1,2,18,0.0,0.0,1,0.0,0.5,2005,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0
19,11057301000,0.0,0.009738729341921831,0.19442788967380398,0.7958333809842743,136.951835499,96.2,120.301517696,110.316081959,20536.560056050617,30804.840084075928,3,60,85,5,5,0,0,18,0.0,0.0,1,0.0,0.5,2005,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0
20,11057601000,0.04608923687558766,0.007574105360673496,0.04043283098257704,0.9059038267811618,146.110502675,96.2,116.83792752,113.589680373,37232.12004208565,37232.12004208565,1,20,39,1,0,0,1,18,0.0,1.0,1,1.0,1.0,2005,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0
21,11057701000,0.0,0.015544309922581373,0.12237948788109546,0.8620762021963232,136.951835499,96.2,115.38664339,113.903890347,23159.599994659424,23159.599994659424,1,20,36,1,0,0,1,18,0.0,0.0,1,0.0,0.5,2005,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0
22,11057801000,0.021870773572798142,0.003613973980690291,0.16613936991171654,0.808375882534795,146.110502675,102.668965517,117.498032133,115.041262723,22926.878638267517,64195.26018714905,4,20,51,1,6,3,1,18,0.0,2.0,0,2.0,1.0,2005,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0
23,11057901000,0.0,0.017223340025259142,0.20202977946441947,0.7807468805103214,146.110502675,96.2,116.934426482,113.678591824,24850.00002161662,37275.00003242493,3,41,76,5,6,0,0,18,0.0,1.0,1,1.0,1.0,2005,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0
24,11058101000,0.0,0.009742944265560714,0.10026542940031678,0.8899916263341225,146.110502675,96.2,119.314602727,115.770695826,53166.67999744415,53166.67999744415,1,41,69,5,0,0,0,18,0.0,1.0,1,1.0,1.0,2005,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0
25,11058201000,0.0,0.01943496091366328,0.1862720697895862,0.7942929692967505,136.951835499,96.2,117.307757192,111.593193733,14407.02665901184,21610.53998851776,2,41,51,1,0,1,2,18,0.0,0.0,1,0.0,0.5,2005,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0
26,11058401000,0.0,0.008068550430393123,0.20954921456929798,0.7823822350003089,127.793168322,96.2,115.365728599,106.154494371,29745.119903564453,44617.67985534668,2,20,43,4,0,1,1,18,1.0,0.0,1,1.0,0.0,2005,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0
27,11058901000,0.0,0.002070768513862509,0.24507286514511145,0.752856366341026,136.951835499,96.2,117.424948481,114.391947079,7726.60000038147,7726.60000038147,1,20,55,1,0,0,1,18,0.0,0.0,1,0.0,0.5,2005,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0
28,11059101000,0.0,0.011949929809415233,0.11122684047929529,0.8768232297112895,146.110502675,96.2,118.258632952,111.378428189,41841.24994659424,83682.49989318848,4,20,67,5,1,1,1,18,0.0,1.0,1,1.0,1.0,2005,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0
29,11059401000,0.0,0.03137271773728191,0.03716053569432201,0.9314667465683961,146.110502675,96.2,115.991847102,113.413865774,22312.38000679016,22312.38000679016,1,20,40,1,0,0,1,18,0.0,1.0,1,1.0,1.0,2005,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0
30,11059701000,0.0,0.007708132548197572,0.21459036884727115,0.7777014986045313,146.110502675,96.2,117.752163443,114.336971213,27710.992080688477,69277.48020172119,2,20,60,1,0,3,1,18,0.0,1.0,1,1.0,1.0,2005,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0
31,11059801000,0.0,0.007105410301480125,0.12480322198690733,0.8680913677116125,136.951835499,96.2,116.431862259,112.675490728,18882.3250134786,45317.58003234863,4,20,43,1,6,3,1,18,1.0,1.0,1,2.0,0.5,2005,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0
32,11059901000,0.0,0.023902231896503957,0.09628184198248588,0.8798159261210101,146.110502675,96.2,118.447905183,117.520161531,40163.61334609985,60245.42001914978,5,20,90,5,0,0,1,18,0.0,1.0,1,1.0,1.0,2005,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0
33,11076001000,0.0773889019702621,0.019113286825688608,0.17444219183356888,0.7290556193704805,146.110502675,96.2,116.445084483,112.07831262,25113.42001914978,25113.42001914978,1,70,39,1,0,0,1,18,0.0,1.0,1,1.0,1.0,2005,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0
34,11076301000,0.07310736867926168,0.038509734337738175,0.0720743300305085,0.8163085669524917,146.110502675,96.2,119.985402483,113.352779616,10224.687517881393,16359.50002861023,2,31,29,1,0,2,1,18,0.0,1.0,1,1.0,1.0,2005,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0
35,11076801000,0.02485390055196905,0.021204995510650138,0.21177690206189287,0.7421642018754879,146.110502675,101.706849315,115.770188793,111.752300864,19671.914428529286,41311.0202999115,4,60,39,1,1,2,2,18,0.0,1.0,0,1.0,1.0,2005,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0
36,11076901000,0.036168563994733505,0.01796087313454047,0.249986383738823,0.695884179131903,146.110502675,96.2,115.984435054,114.973416535,11506.493315696716,17259.739973545074,3,71,72,5,5,0,0,18,0.0,1.0,1,1.0,1.0,2005,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0
37,11077501000,0.0,0.011737300450143005,0.3904037389544061,0.597858960595451,136.951835499,96.2,119.228961162,110.360735554,11112.843465390413,25559.53997039795,4,71,78,5,6,2,0,18,0.0,0.0,1,0.0,0.5,2005,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0
38,11077701000,0.09139014475071264,0.012051447659434633,0.13419989826037929,0.7623585093294735,146.110502675,96.2,117.50365793,114.966329783,13276.413300832113,19914.61995124817,3,50,39,1,6,0,1,18,0.0,1.0,1,1.0,1.0,2005,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0
39,11077901000,0.0,0.03208982594152908,0.15610509753685295,0.8118050765216179,136.951835499,96.2,117.280059479,110.015063038,11724.899994333586,28139.759986400604,4,41,52,1,1,3,2,18,0.0,0.0,1,0.0,0.5,2005,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0
40,11078101000,0.0,0.014823643271383245,0.15236264566685964,0.8328137110617572,136.951835499,96.2,115.540742612,118.229849853,11998.207161426544,33594.980051994324,5,71,20,1,0,2,2,18,0.0,0.0,1,0.0,0.5,2005,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0
41,11078701000,0.0,0.007509240148788209,0.08420561558118969,0.908285144270022,136.951835499,96.2,115.052475579,115.965629359,39950.77984666824,39950.77984666824,1,20,31,1,0,0,1,18,0.0,0.0,1,0.0,0.5,2005,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0
