,ident_men,w1,w2,w3,w4,p1,p2,p3,p4,agepr,depenses_par_uc,depenses_tot,dip14pr,elect_only,nactifs,nenfants,situacj,situapr,sourcp,typmen,vag,veh_diesel,veh_essence,prix_carbu_consommateur,year,rural,villes_petites,villes_moyennes,villes_grandes,agglo_paris,proprietaire,accedant,locataire,sous_loc,loge_gratuit,vag_23,vag_24,vag_25,vag_26,vag_27,vag_28
0,1,0.025654941042972026,0.061769204203463414,0.16695446247964874,0.7456213922739159,154.908767291,170.032558942,123.608794326,130.395910144,40.0,11260.555853858414,20269.0,50,0,1.0,1.0,1,7,2,4,24,1.0,0.0,1.17647058824,2011,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
1,10006,0.1118823299027394,0.045954002480471726,0.3475271437585674,0.49463652385822143,194.606008141,121.329421411,126.716212747,125.89186557,38.0,13926.969898208992,45959.0,41,0,2.0,2.0,1,1,6,5,24,2.0,1.0,1.47795537255,2011,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
2,10016,0.0,0.047702560505085936,0.08172571027709576,0.8705717292178183,168.16,122.019177462,126.573476395,127.185672844,77.0,8553.0,8553.0,71,0,0.0,0.0,0,5,2,1,24,0.0,0.0,,2011,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
3,10028,0.0470966015520471,0.042755626914042756,0.3001219040823001,0.61002586745161,168.16,112.934781773,126.010646919,124.528115222,49.0,13453.2,33633.0,71,0,3.0,2.0,1,1,1,4,24,1.0,0.0,,2011,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
4,10032,0.054252712635631785,0.0636493363129695,0.1861554616192348,0.695942489432164,182.225268666,175.950209666,126.184181371,121.121568013,48.0,13264.643083038383,37141.0,71,0,2.0,3.0,1,1,4,4,24,1.0,2.0,1.38392857143,2011,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
5,10037,0.0,0.14094047153836134,0.06161260909209326,0.7974469193695454,168.16,167.736960494,123.88,121.270264619,41.0,3838.5,7677.0,50,0,3.0,1.0,4,1,2,4,24,0.0,1.0,,2011,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
6,10038,0.0,0.09757771893694224,0.19741100323624594,0.7050112778268118,168.16,108.038435503,123.88914307,121.543759911,68.0,13596.0,20394.0,31,0,0.0,0.0,6,5,0,3,24,2.0,0.0,,2011,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
7,10055,0.05534291920968242,0.03051618909692769,0.16509775524981898,0.7490431364435709,159.375302233,109.157850308,125.590501253,115.542586199,52.0,23200.8,58002.0,50,0,4.0,2.0,1,1,1,4,24,3.0,0.0,1.21039214789,2011,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
8,10096,0.0,0.13442092490225158,0.06557008673767471,0.8000089883600737,168.16,233.194543785,124.10747087,137.066129993,69.0,14834.0,22251.0,50,0,0.0,0.0,5,5,4,3,24,0.0,2.0,,2011,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
9,10100,0.0,0.10057326762546515,0.0065372623956552346,0.8928894699788796,168.16,220.934614505,127.23,118.711236765,41.0,9943.0,9943.0,20,0,1.0,0.0,0,1,4,1,24,1.0,0.0,,2011,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
