v1,ident_men,w1,w2,w3,w4,p1,p2,p3,p4,depenses_par_uc,depenses_tot,typmen,dip14pr,agepr,situapr,situacj,nenfants,nactifs,vag,veh_diesel,veh_essence,elect_only,veh_tot,part_veh_essence,year,rural,villes_petites,villes_moyennes,villes_grandes,agglo_paris,proprietaire,accedant,locataire,sous_loc,loge_gratuit,vag_9,vag_10,vag_11,vag_12,vag_13,vag_14,vag_15,vag_16,elas_exp_1,elas_exp_2,elas_exp_3,elas_exp_4,elas_price_1_1,elas_price_1_2,elas_price_1_3,elas_price_1_4,elas_price_2_1,elas_price_2_2,elas_price_2_3,elas_price_2_4,elas_price_3_1,elas_price_3_2,elas_price_3_3,elas_price_3_4,elas_price_4_1,elas_price_4_2,elas_price_4_3,elas_price_4_4
0,0,,.0159975,.0468573,.9371452,121.2907,92.9,104.028,100.9014,9689,9689,1,31,31,4,0,0,0,9,0,0,1,0,.5,2000,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,,.4440243,-3.928953,1.245629,,,,,-.1702846,6.466427,-1.646164,-5.094348,.1105624,-.6971144,9.655722,-5.139212,-.034167,-.0898958,-.5081357,-.6134666
1,1,,.056727,.2063695,.7369035,121.2907,92.9,104.2331,101.3898,18274.67,27412,2,50,69,5,0,1,0,9,0,0,1,0,.5,2000,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,,.8613874,-.0956416,1.297306,,,,,-.0485401,1.106326,-.456407,-1.462862,.0242099,-.1576576,1.431186,-1.201874,-.04296,-.114886,-.6535169,-.4859877
2,2,,.0237627,.0463372,.9299001,121.2907,92.9,104.0194,102.716,26933,26933,1,10,52,1,0,0,1,9,0,0,1,0,.5,2000,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,,.7396923,-4.326992,1.256827,,,,,-.1183976,4.031599,-1.048647,-3.604451,.1207758,-.730756,9.522918,-4.585054,-.0346367,-.089698,-.5038388,-.6286848
3,3,,.07312,.23776,.68912,121.2907,92.9,104.0069,101.2007,6250,6250,1,60,72,5,0,0,0,9,0,0,1,0,.5,2000,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,,.8268322,.209334,1.280389,,,,,-.0361575,.6313406,-.3796438,-1.042444,.017484,-.1298692,1.171167,-1.267925,-.0451288,-.1244994,-.7128961,-.3979113
4,4,,.0165088,.0845963,.8988949,121.2907,92.9,102.927,102.6256,29560,44340,5,20,39,1,0,0,2,9,1,1,1,2,.5,2000,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,,.7758595,-2.120864,1.28188,,,,,-.1754031,6.250692,-1.409347,-5.442077,.0732141,-.410604,4.600399,-2.141688,-.0363815,-.0919994,-.5085456,-.6449842
5,5,,.0377592,.2476014,.7146394,121.2907,92.9,103.008,101.9147,9693,9693,1,41,61,5,0,0,0,9,0,0,1,0,.5,2000,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,,.7184245,.1591482,1.292863,,,,,-.0709423,2.161021,-.7224541,-2.086169,.0181365,-.1283467,1.050411,-1.099192,-.0439054,-.1190075,-.6769038,-.453085
6,6,.028329,.0192614,.073667,.8787426,140.626,92.9,103.6087,101.0817,34334.67,51502,2,12,46,1,0,1,1,9,0,1,1,1,1,2000,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1.61517,.8339602,-2.590465,1.284805,.0314775,-.0755073,.2800464,-1.851711,-.1507113,5.215755,-1.193852,-4.705674,.1023889,-.4684744,5.476475,-2.518763,-.0385329,-.0945372,-.5257978,-.6260056
7,7,,.0364772,.1089333,.8545895,121.2907,92.9,103.4447,101.6898,20067.33,30101,2,31,52,1,0,1,2,9,0,0,1,0,.5,2000,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,,.8595442,-1.221382,1.273667,,,,,-.0778049,2.279183,-.6709824,-2.39007,.0503213,-.3059432,3.512065,-2.034688,-.0375623,-.0982079,-.5525518,-.5853789
8,8,,.0136535,.0446339,.9417126,140.626,94.5396,102.5853,101.0021,16031.67,28857,4,12,38,1,3,1,1,9,0,1,0,1,1,2000,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,,.475502,-4.56518,1.25788,,,,,-.2013973,7.755557,-1.860127,-6.170174,.1529371,-.7407176,9.910542,-4.755917,-.0355582,-.0892795,-.495552,-.6375459
9,9,.0322679,.0118488,.0988166,.8570666,140.626,92.9,102.8997,101.9068,26230.4,65576,4,41,48,1,1,2,2,9,0,1,1,1,1,2000,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1.493019,.7419144,-1.572166,1.281567,-.0921166,-.0687976,.2124214,-1.544954,-.2442636,9.10352,-1.964096,-7.637862,.0711159,-.3448054,3.884125,-2.037466,-.0390036,-.097335,-.5439658,-.6013287
10,10,.0324101,.0269488,.0920637,.8485773,101.9554,92.9,102.6192,101.7415,47516,95032,4,10,49,1,1,1,2,9,1,0,1,1,0,2000,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1.574013,.9506728,-1.988053,1.303822,-.0945774,-.0642967,.2818966,-1.697139,-.1109722,3.446168,-.8081942,-3.477759,.0577716,-.3792307,4.069806,-1.760083,-.0373248,-.0976007,-.5351329,-.6337802
11,11,.0315406,.0119708,.1183891,.8380995,140.626,92.9,103.1922,101.2302,38217.91,91723,4,10,43,1,6,3,1,9,0,2,1,2,1,2000,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1.644913,.9172739,-1.290549,1.300472,-.0772578,-.0635349,.3058995,-1.810475,-.2498033,9.009814,-1.818387,-7.859707,.0664889,-.2941761,2.984385,-1.465452,-.0405501,-.0990271,-.5483696,-.6125947
12,12,,.050344,.069945,.879711,140.626,97.69975,104.0738,101.4065,30814.67,46222,3,12,72,5,5,0,0,9,0,1,0,1,1,2000,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,,.8426681,-2.528584,1.27035,,,,,-.0541591,1.37434,-.5123821,-1.65063,.0961135,-.4598877,6.001735,-3.108376,-.0378165,-.0967195,-.535324,-.600546
13,13,.0289608,.0153341,.0950419,.8606633,140.626,95.32987,103.5772,102.2851,20303.33,60910,4,31,52,1,6,3,1,9,0,1,0,1,1,2000,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1.564584,.6479626,-1.596471,1.273999,.0115382,-.0776312,.2346554,-1.733567,-.183219,6.800546,-1.605495,-5.660331,.0701912,-.3476822,4.136338,-2.261638,-.0385244,-.0979729,-.5464903,-.5910691
14,14,,.0371856,.0737388,.8890756,140.626,92.9,103.0644,101.1015,22137.6,55344,4,12,59,4,1,2,2,9,0,2,1,2,1,2000,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,,.8902778,-2.289304,1.260198,,,,,-.0766379,2.218017,-.6445765,-2.387341,.0895952,-.451598,5.666824,-3.014399,-.0372115,-.0945869,-.5329004,-.5955654
