v1,ident_men,w1,w2,w3,w4,p1,p2,p3,p4,depenses_par_uc,depenses_tot,typmen,dip14pr,agepr,situapr,situacj,nenfants,nactifs,vag,veh_diesel,veh_essence,elect_only,indice_ess,indice_die,veh_tot,part_veh_essence,rural,villes_petites,villes_moyennes,villes_grandes,agglo_paris,proprietaire,accedant,locataire,sous_loc,loge_gratuit,vag_17,vag_18,vag_19,vag_20,vag_21,vag_22,mu_1,mu_2,mu_3,mu_4,ce_1_1,ce_1_2,ce_1_3,ce_1_4,ce_2_1,ce_2_2,ce_2_3,ce_2_4,ce_3_1,ce_3_2,ce_3_3,ce_3_4,ce_4_1,ce_4_2,ce_4_3,ce_4_4
0,0,,.027422,.0964171,.8761608,146.1105,96.2,117.4596,113.8282,36904.64,55356.96,3,20,50,4,1,0,2,18,0,2,1,1.075132,.9403471,2,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,,.2258504,.5122414,1.101753,,,,,.1120661,1.857707,.326618,-2.522241,-.2402364,.0796464,.8906565,-1.242308,.0107046,-.1013315,-.1924339,-.8186921
1,1,.04714,.0310532,.1199888,.801818,146.1105,122.6373,115.2272,112.7327,34471.76,82732.22,4,20,37,1,1,3,2,18,0,1,0,1.075132,.9403471,1,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,.5567494,.3163747,.608061,1.111187,-.7724286,.0667632,-.4805927,.6295087,.0995137,1.53689,.2880986,-2.240877,-.1927258,.0716516,.519052,-1.006039,.0116074,-.1128974,-.2102229,-.7996743
2,2,,.0347994,.0101078,.9550928,136.9518,96.2,116.0634,112.0107,19081.01,28621.51,5,20,26,1,0,0,2,18,0,0,1,1.075132,.9403471,0,.5,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,,.3899671,-3.652682,1.093344,,,,,.0879792,1.252604,.2586412,-1.989191,-2.294103,.7652295,17.04444,-11.86288,.0098704,-.0930673,-.1767241,-.8334227
3,3,,.0164402,.1623387,.8212212,136.9518,96.2,117.1371,120.5067,21532.64,21532.64,1,41,61,5,0,0,0,18,0,0,1,1.075132,.9403471,0,.5,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,,-.2912742,.7103075,1.10856,,,,,.1872875,3.760192,.5349302,-4.191135,-.1426013,.0458603,.1206967,-.7342631,.0113903,-.1075695,-.2044783,-.8079026
4,4,.0122071,.0160973,.100131,.8715647,136.9518,96.2,117.5571,110.9851,19879.16,29818.74,3,41,33,1,3,0,1,18,0,0,1,1.075132,.9403471,0,.5,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,-.7116981,-.3187805,.5303323,1.102289,-.1242888,.2278856,-1.845263,2.453364,.1895833,3.870848,.5639672,-4.305618,-.2317975,.0776481,.823227,-1.19941,.0108637,-.102074,-.1940356,-.8170436
5,5,,.0360893,.0627017,.901209,136.9518,96.2,115.6675,110.8202,20283.02,20283.02,1,20,49,1,0,0,1,18,0,0,1,1.075132,.9403471,0,.5,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,,.4117716,.2499679,1.098925,,,,,.0847955,1.172611,.2500184,-1.919197,-.369869,.1240251,1.909633,-1.913756,.0104671,-.0987198,-.1873951,-.8232769
6,6,.0168163,.0117656,.0829033,.8885148,146.1105,96.2,119.4192,112.7002,61195.29,91792.94,3,20,70,5,6,0,0,18,0,2,1,1.075132,.9403471,2,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,-.2425337,-.8043051,.4327333,1.100338,-.3637786,.1640644,-1.341102,1.78335,.2601596,5.662135,.7692564,-5.887246,-.2797211,.0931631,1.201365,-1.44754,.0106132,-.100017,-.1902038,-.8207306
7,7,,.0442302,.2834908,.672279,127.7932,96.2,116.3816,114.838,13565.38,27130.76,4,70,54,1,5,1,2,18,1,0,1,1.075132,.9403471,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,,.5200399,.83411,1.132612,,,,,.0690432,.7712263,.2027286,-1.563038,-.0818567,.0269137,-.3568951,-.4222718,.0140715,-.1319227,-.250857,-.7639032
8,8,.054971,.0253969,.1614119,.7582203,146.1105,96.2,117.4749,114.7883,47669.77,71504.66,3,20,69,5,5,0,0,18,0,1,1,1.075132,.9403471,1,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,.619893,.1641219,.7086441,1.117581,-.8051093,.0495605,-.4124338,.5480897,.1211007,2.084975,.351593,-2.721791,-.1434675,.0473678,.1289852,-.7415296,.0123558,-.1170096,-.2222165,-.7907101
9,9,,.0276243,.0857426,.8866332,146.1105,96.2,113.9701,113.4752,23747.21,35620.82,3,20,27,1,3,0,1,18,0,1,1,1.075132,.9403471,1,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,,.2315188,.4515175,1.100551,,,,,.1118101,1.836853,.3205388,-2.500721,-.2697418,.0896126,1.123403,-1.394792,.0105043,-.1001439,-.1896785,-.821233
