v1,ident_men,w1,w2,w3,w4,p1,p2,p3,p4,depenses_par_uc,depenses_tot,typmen,dip14pr,agepr,situapr,situacj,nenfants,nactifs,vag,veh_diesel,veh_essence,elect_only,veh_tot,part_veh_essence,rural,villes_petites,villes_moyennes,villes_grandes,agglo_paris,proprietaire,accedant,locataire,sous_loc,loge_gratuit,vag_23,vag_24,vag_25,vag_26,vag_27,vag_28,mu_1,mu_2,mu_3,mu_4,ce_1_1,ce_1_2,ce_1_3,ce_1_4,ce_2_1,ce_2_2,ce_2_3,ce_2_4,ce_3_1,ce_3_2,ce_3_3,ce_3_4,ce_4_1,ce_4_2,ce_4_3,ce_4_4
0,0,.0256549,.0617692,.1669545,.7456214,160.4695,159.9655,123.6088,130.3959,11260.56,20269,4,50,40,7,1,1,1,24,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1.610341,.5587646,1.005303,1.014365,-1.94446,.292841,-.5832062,.6244841,.1590284,-.0784855,.1743702,-.8136776,-.0747979,.0379345,-.1028465,-.8655935,.0360704,-.0949106,-.1952631,-.760262
1,7,.1118823,.045954,.3475271,.4946365,168.6933,121.315,126.7162,125.8919,13926.97,45959,5,41,38,1,1,2,2,24,2,1,0,3,.3333333,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1.139953,.4069122,1.002548,1.021654,-1.215901,.0688672,-.1346255,.1417059,.2109323,.2313763,.2381715,-1.087392,-.0359213,.0182553,-.5690175,-.4158643,.0544761,-.1428036,-.2944805,-.6388464
2,14,0,.0477026,.0817257,.8705717,172.8052,140.7818,126.5735,127.1857,8553,8553,1,71,77,5,0,0,0,24,0,0,0,0,.5,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,,.4286521,1.010834,1.012303,,,,,.2037604,.1906508,.2288757,-1.051939,-.1527608,.0775443,.8327036,-1.768321,.0309399,-.0812323,-.1673041,-.7947069
3,24,.0470966,.0427556,.3001219,.6100259,160.4695,112.9118,126.0107,124.5281,13453.2,33633,4,71,49,1,1,2,3,24,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1.332471,.3625456,1.00295,1.017558,-1.513004,.1648195,-.3201124,.3358257,.2269267,.3211531,.2565577,-1.167183,-.0415962,.0211496,-.500945,-.4815586,.0441658,-.1157272,-.2387938,-.7072031
4,29,.0542527,.0636493,.1861555,.6959425,176.9171,175.9456,126.1842,121.1216,13264.64,37141,4,71,48,1,1,3,2,24,1,2,0,3,.6666667,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1.288617,.5717982,1.004756,1.015391,-1.445528,.1351876,-.2795666,.3012893,.1527176,-.100824,.1748289,-.7985208,-.0670649,.0339675,-.1954457,-.7762132,.0387032,-.1018611,-.2094034,-.7428294
5,33,0,.1409405,.0616126,.7974469,185.1409,158.0288,123.88,121.2703,3838.5,7677,4,50,41,1,4,1,3,24,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,,.8066222,1.014371,1.013432,,,,,.0686388,-.5950442,.0781432,-.3583601,-.2026045,.1027119,1.430929,-2.345407,.0337997,-.088818,-.1826928,-.7757205
6,34,0,.0975777,.197411,.7050112,160.4695,108.0138,123.8891,121.5438,13596,20394,3,31,68,5,6,0,0,24,2,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,,.7206867,1.004485,1.015193,,,,,.0992015,-.4213514,.1126005,-.5111372,-.0632345,.0321573,-.2412948,-.7321132,.0382279,-.1001223,-.2066314,-.7466669
7,48,.0553429,.0305162,.1650978,.7490431,160.4695,109.1336,125.5905,115.5426,23200.8,58002,4,50,52,1,1,2,4,24,3,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1.282932,.1068754,1.005363,1.0143,-1.435914,.1393133,-.2752597,.2889282,.3158879,.854032,.3684397,-1.645235,-.075603,.0384286,-.09285,-.8753387,.0360018,-.0942969,-.1946191,-.7613854
8,75,0,.1344209,.0655701,.800009,185.1409,233.1892,124.1075,137.0661,14834,22251,3,50,69,5,5,0,0,24,0,2,0,2,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,,.7972432,1.013503,1.013389,,,,,.073307,-.5727735,.0789209,-.3766976,-.1904655,.0963376,1.284411,-2.203787,.033603,-.0887073,-.1819088,-.7763757
9,78,0,.1005733,.0065373,.8928895,160.4695,220.927,127.23,118.7112,9943,9943,1,20,41,1,0,0,1,24,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,,.7290059,1.135442,1.011996,,,,,.0976091,-.4273509,.112485,-.5117491,-1.910224,.9654658,21.90961,-22.1003,.0301239,-.0795523,-.1632962,-.7992713
10,83,.0845865,.0292799,.3032461,.5828875,160.4695,105.77,126.804,136.6074,18442.67,27664,3,31,28,1,1,0,2,24,2,0,1,2,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1.185116,.0691658,1.00292,1.018376,-1.285988,.0936343,-.1758657,.1831041,.3331497,.919818,.3627245,-1.684858,-.0411732,.0209611,-.5060492,-.4766585,.0461869,-.1209302,-.2496766,-.693956
11,97,.1104902,.0236199,.2882337,.5776563,176.9171,112.7625,124.4627,121.5434,12015.71,25233,4,50,36,1,1,2,2,24,1,2,0,3,.6666667,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1.141716,-.1538916,1.003072,1.018542,-1.218271,.0699188,-.1365071,.1431427,.407533,1.394226,.4648878,-2.112755,-.0433032,.0220146,-.4803627,-.5014206,.0466927,-.1222561,-.2521826,-.6907964
12,99,.0830406,.068402,.2050463,.6435111,172.8052,123.4429,124.4285,120.7685,12524,18786,3,50,29,1,1,0,2,24,1,1,0,2,.5,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1.188562,.6015502,1.004318,1.016645,-1.290636,.0920387,-.1819603,.1919962,.1411784,-.1711542,.1612271,-.7328016,-.0608762,.0309232,-.2695532,-.7048119,.0418954,-.1098324,-.2264041,-.7223036
13,103,0,.0195263,.109823,.8706507,172.8052,109.2249,123.9499,122.0159,46808.67,70213,3,10,47,1,1,0,2,24,0,0,0,0,.5,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,,-.3957976,1.008062,1.012302,,,,,.493585,1.893004,.5608297,-2.551621,-.113654,.0577962,.3638124,-1.316017,.0309741,-.0810862,-.1673038,-.7948865
14,104,.0709085,.0487009,.1616383,.7187523,160.4695,188.025,123.731,127.4975,27378,41067,3,20,47,1,1,0,2,24,2,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1.220824,.4403644,1.005478,1.014902,-1.341869,.1036244,-.2119806,.2294021,.2021085,.1746878,.2236304,-1.040791,-.0772619,.0391244,-.073364,-.8939763,.037408,-.0986156,-.2026284,-.7510662
15,111,.1361409,.0751844,.1133476,.6753271,160.4695,164.1599,123.6799,124.6591,14010,21015,3,50,74,5,5,0,0,24,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1.115015,.6374944,1.007812,1.015861,-1.17786,.0546558,-.1106752,.1188643,.1302812,-.2412464,.1456949,-.6722241,-.1101649,.0558394,.3214026,-1.274889,.0398412,-.1048626,-.2156946,-.7351446
16,134,.1047522,.046208,.1082284,.7408114,185.1409,143.9939,126.5775,127.5576,15726,23589,2,50,38,1,0,1,1,24,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1.149479,.410172,1.008181,1.014459,-1.230542,.0721579,-.1434723,.1523768,.2095577,.2301197,.2356127,-1.085462,-.1153421,.0585422,.3839249,-1.335306,.0363788,-.0954845,-.1965927,-.7587602
17,143,.0790794,.0068434,.1826431,.731434,185.1409,180.19,127.3376,119.3513,13151.33,19727,3,71,79,5,5,0,0,24,0,2,0,2,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1.198007,-2.982627,1.004848,1.014644,-1.305382,.0921929,-.1924054,.2075879,1.414899,7.374195,1.638276,-7.444744,-.0683479,.0346072,-.1799882,-.7911188,.0368454,-.0969594,-.1992874,-.7552426
18,152,0,.0652443,.2803361,.6544197,172.8052,105.77,126.0608,127.2366,24278,24278,1,41,90,5,0,0,0,24,0,0,1,0,.5,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,,.5822657,1.003158,1.016367,,,,,.1480002,-.1361086,.1662991,-.7604564,-.0445266,.0226565,-.4657085,-.5155798,.0411975,-.1078029,-.2225232,-.7272387
19,153,.0926545,.0196033,.0865141,.8012281,160.4695,105.77,123.909,132.6259,23125.33,34688,3,12,29,1,1,0,2,24,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1.168996,-.3903134,1.010234,1.013368,-1.260997,.0851551,-.1606859,.1675312,.4968696,1.870161,.5428753,-2.519592,-.1443135,.0734524,.731371,-1.670744,.0336076,-.0880016,-.1816485,-.7773259
20,159,.0317758,.1397319,.2585245,.5699678,172.8052,162.7738,126.8302,123.5037,8766.786,24547,5,60,56,1,6,1,3,24,1,1,0,2,.5,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1.492774,.8049497,1.003425,1.018792,-1.760858,.2336924,-.476217,.5106087,.0696364,-.5915554,.0791994,-.36223,-.0482926,.024479,-.4206577,-.5589535,.0472505,-.1242648,-.2556437,-.6861344
21,162,.1209176,.0406761,.3370354,.5013709,185.1409,158.5865,127.3268,120.7699,19208.67,28813,3,20,51,1,1,0,2,24,0,2,0,2,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1.129495,.3299561,1.002627,1.021364,-1.199622,.0613171,-.1255046,.1343138,.2375449,.403593,.2739325,-1.245026,-.0370365,.0187748,-.5556202,-.4287451,.0537686,-.1412821,-.29068,-.6431701
22,164,0,.0299916,.1760295,.7939789,185.1409,141.7262,126.2388,126.1239,29252.67,43879,3,12,38,1,1,0,2,24,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,,.0912526,1.00503,1.01349,,,,,.3224925,.8951504,.3640288,-1.672924,-.0709138,.0359941,-.1491257,-.8209845,.0339483,-.0890891,-.1834434,-.7749062
23,172,.0473179,.0343055,.3349561,.5834205,168.6933,116.9998,127.3285,134.5375,10989.5,21979,4,70,73,5,5,1,1,24,2,1,0,3,.3333333,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1.330917,.2055273,1.002643,1.018359,-1.510976,.1650311,-.3153202,.3303488,.2837148,.6442221,.3118421,-1.445306,-.0372733,.0189579,-.5528185,-.4315095,.0461593,-.1209502,-.2495006,-.6940676
24,174,.1065888,.0601977,.1977538,.6354597,172.8052,152.4008,125.6179,124.3157,11925,33390,4,50,42,1,1,3,2,24,1,1,0,2,.5,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1.146904,.5472456,1.004477,1.016856,-1.226786,.0702797,-.1415559,.1511591,.1615266,-.0537981,.18257,-.837544,-.063132,.0320201,-.2426106,-.7307549,.042385,-.1113875,-.2292492,-.7186039
25,194,0,.0529633,.2788281,.6682087,185.1409,105.77,125.8976,129.9572,9944,14916,3,70,79,5,5,0,0,24,0,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,,.4854025,1.003175,1.016029,,,,,.1817948,.0637381,.2027524,-.9336878,-.0447642,.0227819,-.4628059,-.5183874,.0403636,-.1055637,-.2178656,-.7329639
26,197,.1181102,.0409979,.0135524,.8273395,185.1409,160.385,123.7954,128.9182,17610.67,26416,3,50,47,4,1,0,2,24,0,2,0,2,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1.132573,.3352154,1.065333,1.012946,-1.204663,.0633229,-.126693,.1354598,.2371677,.3898264,.2627824,-1.224992,-.9212098,.4671814,10.0522,-10.6635,.032555,-.085564,-.1759779,-.7839595
27,198,.0592726,.0414582,.1780137,.7212555,160.4695,145.5853,122.1372,123.3885,19988.7,45974,4,30,45,1,1,2,2,24,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1.264174,.3425969,1.004974,1.014851,-1.40822,.1271249,-.253895,.2708165,.2355199,.3720455,.2634452,-1.213608,-.0701403,.0355849,-.1586102,-.8118082,.037321,-.0980959,-.2019421,-.7521337
28,207,0,.0153566,.0682727,.9163707,185.1409,105.77,123.8454,127.2408,15628.5,31257,5,41,22,3,0,0,1,24,0,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,,-.7747959,1.012969,1.011689,,,,,.6263258,2.671172,.7002934,-3.222995,-.1828136,.0930244,1.193912,-2.117092,.0294372,-.0769921,-.1588722,-.8052614
29,211,0,.1136874,.0331588,.8531538,172.8052,105.77,120.7853,133.858,8022,8022,1,71,56,1,0,0,1,24,0,0,1,0,.5,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,,.7602657,1.026702,1.012555,,,,,.0853976,-.5051385,.0921514,-.4326762,-.3764947,.1916483,3.517452,-4.359308,.0315767,-.0826431,-.1705164,-.7909719
30,212,.0761384,.0458783,.1639416,.7140417,185.1409,142.97,125.6799,129.2655,11382.78,20489,2,60,47,1,0,2,1,24,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1.205655,.4059332,1.005401,1.015001,-1.317263,.0995584,-.1967687,.2088181,.2112976,.2381437,.2355082,-1.090883,-.0761469,.0386549,-.0863658,-.881543,.0377367,-.0990436,-.2039177,-.7497761
31,225,0,.0600007,.1509952,.7890041,160.4695,116.1262,122.1391,123.4261,18455.33,27683,3,50,50,1,1,0,2,24,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,,.5457594,1.005864,1.013575,,,,,.1618771,-.0576667,.1813563,-.8313261,-.0826798,.0420258,-.0080467,-.9571632,.034142,-.0895025,-.184582,-.7736331
32,239,0,.0588585,.2013822,.7397593,160.4695,114.7879,124.4903,128.9435,10924.5,21849,4,50,46,1,1,1,3,24,3,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,,.5369446,1.004397,1.014479,,,,,.1654195,-.0410419,.1832518,-.844574,-.0619966,.0315265,-.2562239,-.7177027,.0364023,-.0954086,-.1968186,-.7586543
33,257,0,.0194308,.2132438,.7673253,160.4695,105.77,124.802,120.0807,12111.33,18167,3,71,30,1,1,0,2,24,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,,-.402655,1.004152,1.013959,,,,,.497328,1.905483,.5692567,-2.569412,-.058537,.0297708,-.297638,-.677748,.0351318,-.0919877,-.1898888,-.7672142
34,264,0,.1892557,.3052703,.505474,185.1409,124.1762,122.3755,128.0465,7855.333,11783,3,71,76,5,5,0,0,24,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,,.8559898,1.0029,1.02119,,,,,.0510615,-.7009093,.056582,-.262724,-.0408905,.0207803,-.5093338,-.4734564,.0533311,-.1397559,-.287983,-.6467824
35,266,0,.0179641,.0149701,.9670659,172.8052,105.77,121.7318,130.7068,16700,16700,1,20,26,1,0,0,1,24,0,0,1,0,.5,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,,-.5171816,1.059146,1.011076,,,,,.5393069,2.13439,.5901648,-2.74668,-.8338947,.4244009,9.005923,-9.655576,.0278656,-.0729276,-.150482,-.8155319
36,267,.0382083,.04585,.1831648,.7327769,160.4695,105.77,125.189,122.6231,16201.91,34024,4,50,39,1,1,2,2,24,2,0,1,2,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1.409813,.4055667,1.004834,1.014617,-1.631978,.2042179,-.3949152,.4128619,.2110825,.2304568,.2397303,-1.086836,-.0681524,.0346668,-.1822851,-.7890632,.0367804,-.0963035,-.1988043,-.7562897
37,268,0,.0629983,.3033079,.6336938,160.4695,228.7929,126.0494,121.6443,22995.33,34493,3,70,70,5,5,0,0,24,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,,.567373,1.002919,1.016903,,,,,.1562946,-.0857258,.1775488,-.8154907,-.0411746,.0208084,-.5062103,-.4763426,.042427,-.1120939,-.230009,-.7172266
38,275,0,.082472,.1549373,.7625907,160.4695,155.37,122.0654,126.1662,18188,18188,1,70,73,5,0,0,0,24,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,,.6695269,1.005715,1.014046,,,,,.1187794,-.3096068,.1314822,-.6101817,-.0805936,.0408732,-.0332774,-.9327169,.0352817,-.0928073,-.1909557,-.7655644
39,277,.1594673,.033383,.1637898,.6433599,160.4695,124.9572,125.3523,118.7653,22826,34239,3,71,54,1,1,0,2,24,2,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1.098191,.1835733,1.005406,1.016649,-1.151471,.0478028,-.0951968,.1006742,.2903244,.6993523,.3340416,-1.507292,-.076217,.0387055,-.0855878,-.8823065,.0418839,-.1098794,-.2265325,-.7221206
40,281,0,.0751494,.4762311,.4486194,172.8052,112.5355,125.3175,123.4767,17565,17565,1,71,72,5,0,0,0,24,0,0,0,0,.5,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,,.6373259,1.001859,1.023876,,,,,.1284095,-.24798,.1457668,-.6635222,-.0262104,.0133267,-.6854934,-.303482,.0601019,-.1573879,-.3246951,-.6018946
