,quantite_carbu,quantite_diesel,quantite_essence,diesel_ttc,super_95_ttc,rev_disponible,rural,petite_villes,villes_moyennes,grandes_villes,agglo_paris,nenfants,nadultes,ocde10,situapr,situacj,poste_coicop_411,poste_coicop_412,poste_coicop_421,ln_quantite_carbu,ln_diesel_ttc,ln_super_95_ttc,ln_rev_disponible,loyer
0,0.0,0.0,0.0,0.984925,1.1261,129963.859375,0.0,0.0,0.0,0.0,1.0,0.0,2.0,1.5,4.0,1.0,31543.2929688,0.0,0.0,0.0,-0.015189782841,0.118760335721,11.775011686,31543.2929688
1,4513.42964043,0.0,4513.42964043,0.984925,1.1261,210610.234375,0.0,0.0,0.0,0.0,1.0,3.0,2.0,2.40000009537,1.0,1.0,0.0,0.0,22285.8417969,8.41481259592,-0.015189782841,0.118760335721,12.2577644738,22285.8417969
2,0.0,0.0,0.0,0.984925,1.1261,70511.3671875,0.0,0.0,0.0,0.0,1.0,0.0,2.0,1.5,1.0,0.0,26640.4511719,0.0,0.0,0.0,-0.015189782841,0.118760335721,11.1635292125,26640.4511719
3,0.0,0.0,0.0,0.984925,1.1261,26963.0410156,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,5.0,0.0,0.0,0.0,11402.4462891,0.0,-0.015189782841,0.118760335721,10.202222356,11402.4462891
4,464.52423061,278.087130094,186.437100516,0.984925,1.1261,41889.8828125,0.0,0.0,0.0,0.0,1.0,0.0,2.0,1.5,1.0,3.0,14958.6757812,0.0,0.0,6.14101372182,-0.015189782841,0.118760335721,10.6427996164,14958.6757812
5,0.0,0.0,0.0,0.984925,1.1261,44404.3476562,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,15859.1972656,0.0,-0.015189782841,0.118760335721,10.7010926638,15859.1972656
6,1786.41553,0.0,1786.41553,0.984925,1.1261,87684.3984375,0.0,0.0,0.0,0.0,1.0,0.0,2.0,1.5,5.0,6.0,0.0,0.0,21043.4550781,7.48796639395,-0.015189782841,0.118760335721,11.3814992656,21043.4550781
7,0.0,0.0,0.0,0.984925,1.1261,70755.3828125,0.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,1.0,5.0,3552.06005859,0.0,14485.484375,0.0,-0.015189782841,0.118760335721,11.1669838948,18037.5444336
8,4548.93569273,0.0,4548.93569273,0.984925,1.1261,82758.578125,0.0,0.0,0.0,0.0,1.0,0.0,2.0,1.5,5.0,5.0,2501.45068359,0.0,14585.5419922,8.4226485709,-0.015189782841,0.118760335721,11.323682951,17086.9926758
9,0.0,0.0,0.0,0.984925,1.1261,69989.1328125,0.0,0.0,0.0,0.0,1.0,0.0,2.0,1.5,1.0,3.0,32518.859375,0.0,0.0,0.0,-0.015189782841,0.118760335721,11.1560952634,32518.859375
10,0.0,0.0,0.0,0.984925,1.1261,19820.0820312,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,11256.5283203,0.0,0.0,0.0,-0.015189782841,0.118760335721,9.89445094669,11256.5283203
11,1349.55285349,1044.46766159,305.085191901,0.984925,1.1261,84814.9140625,0.0,0.0,0.0,0.0,1.0,0.0,2.0,1.5,5.0,5.0,2751.59570312,0.0,24305.7636719,7.20752859693,-0.015189782841,0.118760335721,11.3482266797,27057.359375
12,0.0,0.0,0.0,0.984925,1.1261,13372.7724609,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,5.0,0.0,3752.17602539,0.0,0.0,0.0,-0.015189782841,0.118760335721,9.50097601292,3752.17602539
13,567.383181878,339.663572579,227.719609299,0.984925,1.1261,15374.2451172,0.0,0.0,0.0,0.0,1.0,0.0,2.0,1.5,3.0,3.0,25941.5449219,0.0,0.0,6.34103488125,-0.015189782841,0.118760335721,9.6404489934,25941.5449219
14,0.0,0.0,0.0,0.984925,1.1261,47982.5039062,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.29999995232,1.0,0.0,0.0,0.0,22262.9121094,0.0,-0.015189782841,0.118760335721,10.7785917215,22262.9121094
