annee,voitures_particulieres_moyen,voitures_particulieres_diesel,voitures_particulieres_essence,voitures_particulieres_electrique,voitures_particulieres_gpl,vehicules_utilitaires_legers_moyen,vehicules_utilitaires_legers_diesel,vehicules_utilitaires_legers_essence,vehicules_utilitaires_legers_electrique,vehicules_utilitaires_legers_gpl,poids_lourds_moyen,poids_lourds_diesel,poids_lourds_gnv,bus_et_cars_moyen,bus_et_cars_diesel,bus_et_cars_gnv
2012-01-01,12335,14931,7938,8495,12661,14716,15276,5191,5204,9135,43899,43984,17783,34095,33725,46575
2013-01-01,12321,14797,7924,8988,12540,14456,14960,5200,7119,8829,43545,43624,18586,34107,33752,46390
2014-01-01,12338,14727,7969,9286,12124,14268,14736,5212,7632,8553,43000,43077,19716,34095,33716,47051
2015-01-01,12359,14685,8054,9309,11757,14155,14591,5264,7695,8452,43414,43492,20607,34045,33705,46186
2016-01-01,12392,14678,8198,9296,11518,14142,14556,5318,7763,8305,44047,44120,26482,34560,34255,45584
2017-01-01,12259,14495,8271,9045,11115,14015,14408,5313,7724,8382,44322,44376,36012,34105,33807,44434
2018-01-01,12103,14295,8385,8938,10875,13944,14321,5522,7695,8748,44526,44549,44078,34110,33809,45019
2019-01-01,11924,14066,8519,9041,10594,14016,14367,6146,7550,9048,43689,43715,43178,33528,33222,44305
2020-01-01,9882,11616,7282,8508,8715,12842,13160,5784,7340,7311,41498,41466,46971,25856,25324,39125
2021-01-01,9882,11616,7282,8508,8715,12842,13160,5784,7340,7311,41498,41466,46971,25856,25324,39125
2022-01-01,9882,11616,7282,8508,8715,12842,13160,5784,7340,7311,41498,41466,46971,25856,25324,39125
