,essence,diesel
1990,20487.9477818,5040.38462967
1991,19801.8342483,5701.53366321
1992,19672.6596,6350.26802689
1993,19169.2099912,6953.38304701
1994,18092.0506896,7871.5475308
1995,17707.429639,8967.77926686
1996,16975.9345102,9690.34465427
1997,16902.6495559,10070.490874
1998,16746.9321025,10940.599691
1999,16656.1421134,11712.2845966
2000,15839.7387959,12200.6631115
2001,15521.3843471,13382.0884168
2002,14880.0700261,14041.3963045
2003,14001.4528258,14775.5040021
2004,13102.5033489,15275.6606623
2005,12322.3825727,15519.9620794
2006,11298.6281348,16183.3550726
2007,10640.0063318,17009.2394095
2008,10076.4083456,17317.4272729
2009,9439.81263975,17986.7121375
2010,9120.23524553,18454.5868269
2011,8429.5479449,18612.7069105
2012,7806.99710672,18964.4923836
2013,7471.56687239,18754.7266492
2014,7416.19899864,18861.5835809
