niveau_vie_decile;Total energy expenditures;Housing energy expenditures;Fuel expenditures
1;1972.40013288;1271.98087402;700.419261591
2;2384.3534388;1541.65160841;842.701829489
3;2470.47319826;1571.91446452;898.558737768
4;2668.61454339;1634.60705524;1034.00748751
5;2934.55681483;1719.84358309;1214.71323302
6;3129.48299926;1783.10821817;1346.37478161
7;3269.21386549;1874.75800626;1394.45586206
8;3405.32633111;1902.74948638;1502.57684608
9;3640.84717075;2045.89516189;1594.95201715
10;4048.95019785;2520.18319614;1528.76700935
