niveau_vie_decile;Total energy expenditures;Housing energy expenditures;Fuel expenditures
1;1353.51060169;873.191896452;480.318702678
2;1553.77265368;1003.33921983;550.433434692
3;1635.0137291;1042.25927937;592.754449595
4;1724.55753362;1055.24494931;669.312587352
5;1935.83273655;1134.22925822;801.603477646
6;2010.20488859;1146.47308039;863.731807433
7;2065.05782252;1182.08619867;882.971625927
8;2174.45485772;1215.99009571;958.464760914
9;2341.94930801;1318.45570518;1023.49360369
10;2680.82270248;1666.41036187;1014.41234284
